Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
AAGAB,ENSG00000103591.12,44.099,18.661,1.198,1.42e-114
AARD,ENSG00000205002.3,10.68,3.43,1.399,1.8299999999999997e-42
ABAT,ENSG00000183044.11,12.67,5.31,1.115,1.68e-20
ABCA3,ENSG00000167972.13,17.98,7.99,1.078,2.9799999999999998e-52
ABCC11,ENSG00000121270.15,5.9,0.95,1.823,1.09e-20
ABHD17C,ENSG00000136379.11,16.31,4.83,1.57,5.980000000000001e-122
ABHD2,ENSG00000140526.16,26.67,12.42,1.044,5.610000000000001e-32
ABRACL,ENSG00000146386.7,61.031,20.05,1.559,4.64e-145
AC005255.3,ENSG00000256210.3,7.47,1.27,1.9,3.1e-112
AC005786.7,ENSG00000267436.1,3.13,0.8,1.198,9.12e-17
AC005943.2,ENSG00000267059.2,2.96,0.2,1.722,1.01e-19
AC005943.6,ENSG00000279009.1,4.01,0.0,2.325,6.74e-16
AC007009.1,ENSG00000244239.1,8.77,3.69,1.059,4.1700000000000003e-51
AC009005.2,ENSG00000267751.5,3.3,0.67,1.364,2.65e-77
AC066694.1,ENSG00000281204.1,6.29,0.0,2.866,5.61e-13
AC093850.2,ENSG00000230838.1,7.45,0.03,3.036,5.169999999999999e-180
AC104667.3,ENSG00000234949.2,1.92,0.35,1.113,5.81e-100
AC113188.2,ENSG00000279535.1,4.94,1.9,1.034,8.05e-44
AC144530.1,ENSG00000234742.1,3.52,0.68,1.428,3.2e-54
AC234582.1,ENSG00000279487.1,8.23,1.92,1.66,3.8e-26
AC239868.2,ENSG00000280874.1,60.3,8.3,2.721,1.64e-116
AC239868.3,ENSG00000281134.1,59.979,8.3,2.713,2.35e-114
ACOT4,ENSG00000177465.4,6.96,2.83,1.055,1.25e-51
ACOT7,ENSG00000097021.19,26.379,10.21,1.288,1.23e-124
ACP5,ENSG00000102575.10,59.059,24.39,1.242,3.2900000000000003e-65
ACSL3,ENSG00000123983.13,81.148,36.511,1.131,8.87e-59
ACTR2,ENSG00000138071.13,111.329,50.001,1.139,7.25e-91
ACTR3,ENSG00000115091.11,117.18,56.371,1.043,7.490000000000001e-57
ADAM12,ENSG00000148848.14,14.4,4.45,1.499,1.73e-44
ADAM8,ENSG00000151651.15,7.97,2.83,1.228,5.959999999999999e-68
ADAMDEC1,ENSG00000134028.14,2.72,0.28,1.539,2.49e-65
ADCK2,ENSG00000133597.9,29.09,13.63,1.04,1e-154
ADGRB2,ENSG00000121753.12,7.81,2.41,1.369,8.06e-45
ADIPOR1,ENSG00000159346.12,118.578,54.288,1.113,6.889999999999999e-137
ADM2,ENSG00000128165.8,3.64,0.57,1.563,1.34e-139
AGR2,ENSG00000106541.11,376.524,21.23,4.086,1.32e-65
AGR3,ENSG00000173467.8,232.904,11.82,4.189,1.49e-44
AHCY,ENSG00000101444.12,122.972,54.071,1.171,2.8899999999999997e-141
AKR7A3,ENSG00000162482.4,13.2,2.42,2.054,9.620000000000001e-35
AL158801.1,ENSG00000279392.1,4.18,0.77,1.549,2.1800000000000002e-103
ALCAM,ENSG00000170017.12,55.008,20.949,1.351,1.69e-39
ALDH18A1,ENSG00000059573.8,52.859,16.52,1.62,2.9000000000000003e-213
ALDH3B2,ENSG00000132746.14,30.25,12.76,1.183,8.45e-24
ALG1,ENSG00000033011.11,28.561,11.83,1.204,4.36e-177
AMACR,ENSG00000242110.7,12.76,4.81,1.244,2.99e-96
ANKEF1,ENSG00000132623.15,5.49,1.82,1.203,3.4500000000000005e-80
ANKRD22,ENSG00000152766.5,3.95,0.35,1.874,3.01e-125
ANLN,ENSG00000011426.10,11.03,0.74,2.79,6.379999999999999e-216
ANOS1,ENSG00000011201.10,7.04,2.79,1.085,4.25e-36
ANXA9,ENSG00000143412.9,21.621,2.75,2.593,2.91e-77
AP000275.65,ENSG00000265590.9,8.25,1.78,1.734,1.75e-81
AP000349.2,ENSG00000280178.1,26.15,0.15,4.561,7.370000000000001e-163
AP000439.3,ENSG00000255774.1,1.55,0.1,1.213,4.59e-40
AP003391.1,ENSG00000281272.1,12.26,0.0,3.729,1.42e-33
AP004372.1,ENSG00000238117.1,1.08,0.0,1.057,6.55e-34
AP1M2,ENSG00000129354.11,93.759,19.61,2.201,3.19e-201
AP1S1,ENSG00000106367.13,64.888,25.679,1.304,5.5e-182
AP1S3,ENSG00000152056.16,3.33,0.89,1.196,2.08e-75
