,,,,,
A1BG,ENSG00000121410.11,8.040,2.975,1.185,5.78e-7
A2ML1,ENSG00000166535.19,43.640,236.270,-2.410,1.51e-4
AADAC,ENSG00000114771.13,0.270,4.034,-1.987,1.96e-14
ABCA8,ENSG00000141338.13,0.310,2.210,-1.293,6.05e-22
ABCD1,ENSG00000101986.11,6.790,2.765,1.049,2.03e-17
ABCG1,ENSG00000160179.18,12.280,5.605,1.008,2.46e-12
ABI3BP,ENSG00000154175.16,2.090,6.725,-1.322,3.68e-7
ABL2,ENSG00000143322.19,5.580,1.800,1.233,1.48e-19
AC002398.12,ENSG00000267328.1,0.220,2.135,-1.362,3.51e-26
AC005083.1,ENSG00000233834.6,0.880,3.140,-1.139,2.92e-12
AC005339.2,ENSG00000268565.1,4.450,1.285,1.254,9.58e-9
AC005786.7,ENSG00000267436.1,1.370,0.000,1.245,5.07e-3
AC006011.4,ENSG00000244563.1,12.480,5.625,1.025,5.72e-16
AC006262.5,ENSG00000268621.5,5.820,1.740,1.316,1.22e-5
AC007879.7,ENSG00000229647.1,3.240,0.565,1.438,4.41e-16
AC009948.5,ENSG00000223960.6,5.510,1.855,1.189,1.50e-19
AC010677.5,ENSG00000232383.1,4.420,0.000,2.438,2.99e-12
AC021066.1,ENSG00000281415.1,0.000,8.344,-3.224,1.79e-4
AC098973.2,ENSG00000225548.5,6.660,0.000,2.937,5.86e-10
AC108676.1,ENSG00000244675.2,1.170,0.010,1.103,2.98e-10
AC133644.2,ENSG00000280721.1,2.700,0.465,1.337,2.24e-22
AC239868.2,ENSG00000280874.1,28.769,12.141,1.180,1.73e-5
AC239868.3,ENSG00000281134.1,28.620,12.141,1.173,3.05e-5
ACADSB,ENSG00000196177.12,3.290,7.645,-1.011,8.13e-11
ACD,ENSG00000102977.13,19.030,8.530,1.072,1.60e-30
ACER1,ENSG00000167769.4,0.240,3.366,-1.816,1.65e-14
ACKR1,ENSG00000213088.9,4.600,22.709,-2.082,1.21e-16
ACKR3,ENSG00000144476.5,48.650,19.161,1.300,3.69e-7
ACLY,ENSG00000131473.16,47.980,23.365,1.007,3.68e-15
ACOT7,ENSG00000097021.19,70.599,28.773,1.266,1.13e-37
ACOT9,ENSG00000123130.16,24.680,8.461,1.441,1.19e-32
ACP5,ENSG00000102575.10,75.269,25.425,1.529,1.32e-24
ACPP,ENSG00000014257.15,4.230,15.315,-1.641,1.10e-10
ACTA1,ENSG00000143632.14,0.780,219.017,-6.950,1.28e-8
ACTL6A,ENSG00000136518.16,59.371,22.579,1.356,1.16e-26
ACTN1,ENSG00000072110.13,167.927,65.689,1.341,8.34e-11
ACTN2,ENSG00000077522.12,0.370,19.018,-3.869,1.35e-7
ACVR1,ENSG00000115170.13,19.860,8.081,1.200,5.50e-12
ADA,ENSG00000196839.12,21.290,5.443,1.791,2.15e-28
ADAM12,ENSG00000148848.14,5.560,0.230,2.415,7.12e-21
ADAM19,ENSG00000135074.15,5.710,1.773,1.275,7.70e-11
ADAM23,ENSG00000114948.12,6.530,2.429,1.135,3.35e-5
ADAM8,ENSG00000151651.15,13.000,2.945,1.828,1.32e-21
ADAMDEC1,ENSG00000134028.14,2.670,0.620,1.180,1.40e-8
ADAMTS12,ENSG00000151388.10,2.370,0.220,1.466,5.77e-14
ADAMTS2,ENSG00000087116.13,11.320,0.970,2.645,4.45e-24
ADAMTS4,ENSG00000158859.9,3.040,0.815,1.154,1.33e-3
ADAMTS7,ENSG00000136378.14,1.780,0.330,1.064,5.66e-16
ADAR,ENSG00000160710.15,72.579,33.205,1.105,4.38e-19
ADCY2,ENSG00000078295.15,0.460,2.285,-1.170,1.43e-7
ADCY3,ENSG00000138031.14,34.009,15.880,1.052,2.44e-24
ADGRB2,ENSG00000121753.12,1.740,0.355,1.016,5.73e-11
ADGRF1,ENSG00000153292.15,2.510,9.973,-1.644,3.60e-10
