,,,,,
A1BG,ENSG00000121410.11,1.870,8.650,-1.750,1.86e-8
A1CF,ENSG00000148584.14,0.000,1.040,-1.029,1.86e-16
A2M,ENSG00000175899.14,62.865,215.224,-1.759,2.62e-9
A4GALT,ENSG00000128274.15,7.035,28.561,-1.879,5.27e-10
AARSD1,ENSG00000266967.6,14.455,30.890,-1.045,5.11e-6
AASS,ENSG00000008311.14,1.029,5.890,-1.763,9.04e-19
ABAT,ENSG00000183044.11,2.120,11.820,-2.039,5.10e-15
ABC12-49244600F4.4,ENSG00000276144.1,0.135,3.360,-1.942,3.45e-28
ABCA4,ENSG00000198691.11,0.060,1.460,-1.215,1.08e-13
ABCA6,ENSG00000154262.12,0.160,1.730,-1.235,1.83e-16
ABCA8,ENSG00000141338.13,0.220,3.140,-1.763,3.92e-11
ABCB1,ENSG00000085563.14,0.515,20.841,-3.850,1.33e-27
ABCB6,ENSG00000115657.12,1.875,11.030,-2.065,5.46e-19
ABCC10,ENSG00000124574.14,3.585,8.520,-1.054,7.83e-11
ABCC2,ENSG00000023839.10,0.045,1.900,-1.473,4.35e-15
ABCC3,ENSG00000108846.15,0.665,9.290,-2.628,4.98e-21
ABCC6,ENSG00000091262.14,1.455,13.030,-2.515,3.16e-20
ABCC6P1,ENSG00000256340.8,0.220,5.020,-2.303,2.46e-24
ABCC6P2,ENSG00000255277.3,0.095,4.200,-2.248,1.53e-24
ABCD3,ENSG00000117528.11,11.848,25.210,-1.029,5.93e-4
ABCG1,ENSG00000160179.18,37.269,8.560,2.001,2.47e-16
ABHD16A,ENSG00000204427.11,16.515,38.689,-1.180,5.22e-6
ABHD2,ENSG00000140526.16,58.409,11.870,2.207,1.40e-15
ABHD3,ENSG00000158201.9,45.041,10.390,2.015,1.88e-20
ABI2,ENSG00000138443.15,8.060,17.259,-1.011,3.44e-4
ABI3,ENSG00000108798.8,3.284,7.900,-1.055,1.54e-6
ABI3BP,ENSG00000154175.16,2.010,13.090,-2.227,1.77e-11
ABLIM1,ENSG00000099204.18,13.193,30.199,-1.136,1.51e-5
ABLIM2,ENSG00000163995.18,0.570,4.510,-1.811,8.88e-20
ABLIM3,ENSG00000173210.19,1.110,6.380,-1.806,1.11e-9
ABO,ENSG00000175164.13,0.255,7.430,-2.748,4.13e-13
ABRACL,ENSG00000146386.7,10.629,23.169,-1.055,3.44e-6
ABTB1,ENSG00000114626.17,11.570,26.339,-1.121,7.05e-10
AC000089.3,ENSG00000235776.2,2.140,0.490,1.075,6.28e-8
AC002398.12,ENSG00000267328.1,0.195,1.700,-1.176,4.32e-10
AC004540.4,ENSG00000225792.1,2.305,8.910,-1.584,1.05e-6
AC005083.1,ENSG00000233834.6,5.971,13.610,-1.068,2.83e-3
AC005255.3,ENSG00000256210.3,4.330,1.420,1.139,9.70e-6
AC005523.2,ENSG00000269604.1,21.044,9.270,1.102,1.83e-14
AC005786.7,ENSG00000267436.1,0.386,2.600,-1.377,6.63e-3
AC005943.2,ENSG00000267059.2,10.565,0.260,3.198,9.16e-10
AC005944.2,ENSG00000267469.1,20.774,8.740,1.161,6.05e-8
AC006126.4,ENSG00000267045.1,2.379,9.010,-1.567,2.51e-10
AC006273.5,ENSG00000267530.2,0.295,3.440,-1.778,1.55e-13
AC006449.2,ENSG00000279119.1,10.330,24.010,-1.142,3.66e-7
AC006547.13,ENSG00000236540.7,5.290,1.910,1.112,8.45e-19
AC007192.6,ENSG00000269145.2,1.005,3.130,-1.043,6.53e-5
AC007566.10,ENSG00000244055.1,0.220,1.560,-1.069,2.80e-19
AC007879.6,ENSG00000225064.1,31.053,0.770,4.179,6.31e-25
AC009014.3,ENSG00000271824.1,0.040,15.240,-3.965,6.23e-28
AC009065.4,ENSG00000279473.1,5.458,0.000,2.691,1.13e-8
AC009299.3,ENSG00000227403.1,0.030,1.250,-1.127,7.71e-9
AC009403.2,ENSG00000216895.8,2.940,7.150,-1.049,1.26e-11
AC009506.1,ENSG00000224152.1,0.810,3.030,-1.155,2.01e-8
AC010883.5,ENSG00000234936.1,0.245,1.490,-1.000,4.32e-20
AC010890.1,ENSG00000226953.7,3.955,0.390,1.834,3.59e-16
AC011523.2,ENSG00000267968.1,2.495,0.000,1.805,1.05e-25
AC011558.5,ENSG00000279753.1,7.440,19.560,-1.285,2.78e-6
AC012146.7,ENSG00000234327.7,1.305,6.210,-1.645,1.44e-8
AC012499.1,ENSG00000229941.5,3.655,0.510,1.624,6.94e-11
AC013275.2,ENSG00000231013.1,0.050,3.940,-2.234,1.95e-18
AC013472.4,ENSG00000230286.1,1.814,0.000,1.493,2.11e-7
AC016747.3,ENSG00000212978.6,2.170,6.530,-1.248,2.77e-8
AC026471.6,ENSG00000260740.2,0.040,1.910,-1.484,8.96e-16
AC027612.6,ENSG00000143429.9,5.645,29.219,-2.185,6.74e-13
AC068580.6,ENSG00000235027.1,3.890,1.120,1.206,4.97e-16
AC069213.1,ENSG00000224769.1,53.356,7.620,2.657,6.99e-9
AC073283.4,ENSG00000234690.6,0.230,2.450,-1.488,4.04e-20
AC074212.6,ENSG00000267395.5,0.515,2.790,-1.323,1.37e-22
AC074286.1,ENSG00000213963.6,0.945,3.690,-1.270,9.17e-12
AC074289.1,ENSG00000225889.7,0.215,3.900,-2.012,2.27e-27
AC079630.2,ENSG00000223914.1,0.000,2.360,-1.748,7.15e-15
AC079630.4,ENSG00000225342.2,0.130,4.700,-2.335,2.22e-17
AC093326.1,ENSG00000223985.1,0.000,3.170,-2.060,2.42e-17
AC093838.4,ENSG00000152117.17,1.810,5.580,-1.227,1.19e-14
AC098614.2,ENSG00000213846.4,0.885,4.270,-1.484,3.74e-13
AC106869.2,ENSG00000226087.1,7.237,0.050,2.972,6.59e-25
AC107057.1,ENSG00000232835.1,0.000,1.310,-1.208,3.66e-8
AC108488.4,ENSG00000242282.6,1.549,5.670,-1.388,3.63e-12
AC109642.1,ENSG00000235997.2,0.070,1.750,-1.362,5.71e-25
AC118345.1,ENSG00000227293.1,4.894,0.000,2.559,1.05e-20
AC124789.1,ENSG00000276170.4,0.350,4.330,-1.981,5.49e-22
AC124944.5,ENSG00000223783.1,0.000,1.980,-1.575,1.57e-16
AC132217.4,ENSG00000240801.1,0.680,18.400,-3.530,6.65e-28
AC141928.1,ENSG00000250986.1,0.020,1.250,-1.141,8.23e-23
AC147651.5,ENSG00000229380.1,0.040,2.220,-1.630,1.22e-15
AC159540.1,ENSG00000230606.10,1.770,7.460,-1.611,1.96e-9
ACAA1,ENSG00000060971.17,48.115,104.611,-1.105,1.98e-7
ACAA2,ENSG00000167315.17,89.108,179.643,-1.003,9.85e-3
ACAD11,ENSG00000240303.7,4.824,15.350,-1.489,2.84e-10
ACADM,ENSG00000117054.13,24.718,62.582,-1.306,1.16e-6
ACADS,ENSG00000122971.8,83.305,39.530,1.057,1.28e-9
ACADVL,ENSG00000072778.19,160.607,450.535,-1.482,1.45e-9
ACAP3,ENSG00000131584.18,5.010,12.950,-1.215,4.89e-11
ACAT2,ENSG00000120437.8,3.480,10.810,-1.398,9.16e-9
ACBD4,ENSG00000181513.14,5.530,23.720,-1.921,1.08e-17
ACE2,ENSG00000130234.10,0.085,5.010,-2.470,1.00e-23
ACHE,ENSG00000087085.13,0.385,1.800,-1.016,2.21e-10
ACKR1,ENSG00000213088.9,1.210,6.690,-1.799,4.27e-8
ACLY,ENSG00000131473.16,13.725,31.939,-1.162,4.36e-5
ACMSD,ENSG00000153086.13,0.040,25.960,-4.696,4.07e-35
ACO2,ENSG00000100412.15,262.704,117.254,1.157,1.32e-9
ACOT1,ENSG00000184227.7,22.712,9.880,1.124,5.48e-7
ACOX1,ENSG00000161533.11,7.265,16.990,-1.122,2.49e-5
ACOX2,ENSG00000168306.12,5.595,17.289,-1.472,3.62e-8
ACP5,ENSG00000102575.10,6.260,17.240,-1.329,1.17e-3
ACP6,ENSG00000162836.11,9.258,20.700,-1.081,2.25e-4
ACPP,ENSG00000014257.15,1.415,8.890,-2.034,1.23e-10
ACSF2,ENSG00000167107.12,8.060,53.260,-2.582,1.50e-18
ACSL4,ENSG00000068366.19,10.714,28.181,-1.317,2.32e-4
ACSM2A,ENSG00000183747.11,0.020,47.038,-5.558,8.96e-34
ACSM2B,ENSG00000066813.14,0.065,45.129,-5.437,1.21e-31
ACSM5,ENSG00000183549.10,0.245,5.950,-2.481,3.09e-25
ACSS3,ENSG00000111058.7,48.944,9.230,2.288,1.77e-12
ACTA2,ENSG00000107796.12,56.784,167.671,-1.545,1.30e-6
ACTC1,ENSG00000159251.6,3.109,1.020,1.025,7.90e-4
ACTN1,ENSG00000072110.13,10.555,39.409,-1.806,1.37e-7
ACVRL1,ENSG00000139567.12,5.050,17.160,-1.586,5.09e-16
ACY1,ENSG00000243989.7,40.102,103.572,-1.347,3.32e-8
ACY3,ENSG00000132744.7,0.155,14.220,-3.720,9.83e-33
ADAM15,ENSG00000143537.13,13.540,41.040,-1.532,2.40e-9
ADAM2,ENSG00000104755.14,1.670,0.000,1.417,3.85e-11
ADAM33,ENSG00000149451.17,0.040,1.650,-1.349,7.56e-9
