,,,,,
A1CF,ENSG00000148584.14,0.370,1.960,-1.111,7.07e-14
A2M,ENSG00000175899.14,86.085,197.149,-1.186,8.54e-10
ABCA3,ENSG00000167972.13,18.960,6.745,1.366,1.14e-23
ABCB1,ENSG00000085563.14,63.195,28.444,1.124,3.91e-5
ABCC2,ENSG00000023839.10,0.555,4.629,-1.856,6.53e-5
ABCC3,ENSG00000108846.15,46.741,9.465,2.190,9.56e-16
ABCC6P2,ENSG00000255277.3,12.580,5.597,1.042,4.46e-5
ABHD11,ENSG00000106077.18,100.558,32.990,1.579,9.81e-20
ABHD11-AS1,ENSG00000225969.1,4.840,0.630,1.841,7.79e-22
ABI3BP,ENSG00000154175.16,41.878,14.455,1.472,1.27e-7
ABO,ENSG00000175164.13,2.550,7.642,-1.284,8.82e-8
ABR,ENSG00000159842.14,47.230,21.695,1.088,3.50e-15
AC000123.3,ENSG00000279265.1,2.995,0.950,1.035,1.29e-12
AC005255.3,ENSG00000256210.3,3.995,1.180,1.196,9.21e-11
AC006126.4,ENSG00000267045.1,0.560,8.035,-2.534,1.15e-54
AC007283.5,ENSG00000234431.2,5.095,1.045,1.576,3.19e-24
AC009065.4,ENSG00000279473.1,3.175,0.000,2.062,2.64e-10
AC013271.3,ENSG00000186148.11,0.405,2.285,-1.225,5.84e-17
AC013275.2,ENSG00000231013.1,0.445,3.084,-1.499,5.56e-13
AC013463.2,ENSG00000236283.3,2.440,6.950,-1.209,5.31e-7
AC019117.1,ENSG00000236318.1,2.060,0.080,1.502,1.41e-10
AC019181.2,ENSG00000233255.1,0.815,3.530,-1.320,1.52e-10
AC025171.1,ENSG00000215068.7,2.025,0.470,1.041,1.05e-20
AC026471.6,ENSG00000260740.2,0.140,3.424,-1.956,3.05e-31
AC027612.6,ENSG00000143429.9,73.094,34.440,1.064,4.37e-10
AC069213.1,ENSG00000224769.1,0.920,5.208,-1.693,2.25e-22
AC074286.1,ENSG00000213963.6,1.500,9.660,-2.092,2.45e-34
AC079630.2,ENSG00000223914.1,28.494,2.275,3.171,8.15e-27
AC079630.4,ENSG00000225342.2,17.319,4.155,1.829,2.35e-22
AC079767.4,ENSG00000224137.1,1.180,0.065,1.033,1.91e-11
AC092580.4,ENSG00000235576.1,1.885,0.310,1.139,3.99e-6
AC093326.1,ENSG00000223985.1,0.100,9.219,-3.216,7.79e-46
AC093673.5,ENSG00000232533.1,17.775,5.385,1.556,7.30e-32
AC104534.3,ENSG00000268083.5,1.510,0.000,1.328,1.35e-8
AC108142.1,ENSG00000177822.7,1.910,0.395,1.061,1.49e-14
AC110615.1,ENSG00000279909.1,3.150,0.555,1.416,8.67e-8
AC113188.2,ENSG00000279535.1,10.045,3.640,1.251,1.21e-10
AC124789.1,ENSG00000276170.4,0.390,3.795,-1.786,1.46e-38
AC124944.5,ENSG00000223783.1,0.000,1.699,-1.432,4.68e-66
AC132217.4,ENSG00000240801.1,1.615,17.157,-2.796,2.59e-18
AC144831.1,ENSG00000261888.1,0.760,2.840,-1.126,1.45e-17
AC147651.5,ENSG00000229380.1,12.590,1.930,2.214,6.11e-12
AC234582.1,ENSG00000279487.1,1.590,10.399,-2.138,4.51e-11
AC245100.1,ENSG00000280649.1,10.830,4.740,1.043,2.24e-19
ACACB,ENSG00000076555.15,6.410,13.950,-1.013,9.64e-12
ACADSB,ENSG00000196177.12,9.190,22.950,-1.233,3.64e-14
ACE2,ENSG00000130234.10,39.084,11.054,1.734,1.18e-7
ACHE,ENSG00000087085.13,5.715,1.590,1.375,3.02e-9
ACOT11,ENSG00000162390.17,8.130,20.102,-1.209,3.78e-5
ACOT12,ENSG00000172497.8,0.000,1.305,-1.204,2.03e-41
ACPP,ENSG00000014257.15,0.275,14.762,-3.628,2.26e-79
ACRBP,ENSG00000111644.7,4.670,1.540,1.158,1.27e-16
ACSF2,ENSG00000167107.12,22.360,80.649,-1.805,4.48e-18
ACSL1,ENSG00000151726.13,50.676,124.012,-1.275,2.57e-7
ACSM1,ENSG00000166743.9,5.500,0.660,1.969,7.59e-22
ACSM5,ENSG00000183549.10,21.625,9.465,1.112,6.84e-8
ACTA2,ENSG00000107796.12,55.595,157.046,-1.482,1.12e-8
ACTG2,ENSG00000163017.13,0.520,2.400,-1.161,6.05e-5
ACVRL1,ENSG00000139567.12,5.730,14.865,-1.237,3.27e-17
ADAMTS4,ENSG00000158859.9,0.340,1.695,-1.008,1.54e-11
ADAMTS9,ENSG00000163638.13,26.549,10.325,1.283,8.38e-9
ADAMTSL1,ENSG00000178031.15,0.180,2.815,-1.693,3.85e-73
ADAMTSL2,ENSG00000197859.9,1.730,13.935,-2.452,4.25e-40
ADCK2,ENSG00000133597.9,28.590,12.074,1.178,7.59e-37
ADCY1,ENSG00000164742.14,0.090,1.460,-1.174,2.90e-31
ADCY2,ENSG00000078295.15,2.930,0.385,1.505,3.64e-15
ADCY4,ENSG00000129467.13,1.190,13.325,-2.709,4.84e-69
ADCY7,ENSG00000121281.12,4.020,1.225,1.174,4.95e-11
ADGRA2,ENSG00000020181.17,1.065,5.585,-1.673,1.36e-15
ADGRF1,ENSG00000153292.15,4.660,23.125,-2.092,2.37e-15
ADGRF5,ENSG00000069122.18,2.375,35.584,-3.438,4.81e-57
ADGRG1,ENSG00000205336.11,91.791,195.015,-1.079,3.77e-3
ADGRG6,ENSG00000112414.14,8.940,2.679,1.434,8.39e-11
ADGRL4,ENSG00000162618.12,2.190,10.828,-1.891,2.80e-25
ADGRV1,ENSG00000164199.15,0.110,1.460,-1.148,5.26e-52
ADH1B,ENSG00000196616.12,1.060,36.023,-4.168,4.90e-47
ADH1C,ENSG00000248144.5,0.140,9.940,-3.263,5.97e-58
ADH6,ENSG00000172955.17,1.605,8.790,-1.910,1.26e-13
ADM,ENSG00000148926.9,12.630,36.235,-1.450,6.26e-5
ADORA2A,ENSG00000128271.19,1.520,4.600,-1.152,1.65e-26
ADORA2A-AS1,ENSG00000178803.10,0.420,2.080,-1.117,1.34e-19
ADRA2B,ENSG00000274286.1,0.190,1.785,-1.227,9.55e-54
ADRA2C,ENSG00000184160.7,1.230,8.870,-2.146,4.33e-32
ADTRP,ENSG00000111863.12,0.370,3.789,-1.806,3.90e-41
AEN,ENSG00000181026.14,11.865,4.940,1.115,1.61e-30
AF127577.10,ENSG00000229047.1,20.955,6.565,1.537,1.15e-10
AF186192.5,ENSG00000255085.8,0.135,1.665,-1.231,1.52e-30
AFAP1L2,ENSG00000169129.14,0.955,16.435,-3.157,4.78e-46
AFM,ENSG00000079557.4,0.020,3.646,-2.187,2.26e-57
AFP,ENSG00000081051.7,0.300,1.945,-1.180,9.54e-19
AGMAT,ENSG00000116771.5,3.245,27.614,-2.753,5.69e-22
AGPAT9,ENSG00000138678.10,3.920,19.271,-2.043,9.16e-26
AGR2,ENSG00000106541.11,0.385,3.890,-1.820,9.79e-7
AGTR1,ENSG00000144891.17,0.295,5.400,-2.305,2.00e-55
AGXT,ENSG00000172482.4,0.210,5.295,-2.379,4.26e-51
AGXT2,ENSG00000113492.13,9.270,38.646,-1.949,3.35e-7
AHNAK2,ENSG00000185567.6,43.181,1.010,4.458,1.52e-48
AHR,ENSG00000106546.12,16.855,6.172,1.316,2.15e-12
AK8,ENSG00000165695.9,6.445,2.660,1.024,9.95e-21
AKAP2,ENSG00000241978.9,9.100,19.898,-1.049,4.63e-10
AKR1B1,ENSG00000085662.13,222.875,90.036,1.298,1.53e-10
AKR1C1,ENSG00000187134.12,217.338,43.142,2.306,1.12e-15
AKR1C2,ENSG00000151632.16,47.753,7.420,2.534,4.53e-18
AL035610.1,ENSG00000232079.6,22.554,6.510,1.649,2.03e-8
ALB,ENSG00000163631.16,0.420,33.065,-4.584,2.49e-66
ALDH1A1,ENSG00000165092.12,408.671,185.535,1.135,1.10e-15
ALDH1A2,ENSG00000128918.14,2.820,14.185,-1.991,8.60e-6
ALDH3B1,ENSG00000006534.15,41.215,15.395,1.365,6.16e-17
ALDH4A1,ENSG00000159423.16,37.349,106.788,-1.491,6.17e-9
ALDH6A1,ENSG00000119711.12,15.995,43.967,-1.404,1.30e-14
ALDOA,ENSG00000149925.16,2317.172,1076.624,1.105,8.27e-25
ALDOB,ENSG00000136872.17,1.350,982.867,-8.710,2.34e-63
ALOX15B,ENSG00000179593.15,1.235,0.065,1.069,2.57e-9
ALOX5,ENSG00000012779.10,33.579,3.467,2.953,6.91e-32
ALOX5AP,ENSG00000132965.9,18.500,7.019,1.282,1.36e-9
ALPL,ENSG00000162551.13,5.300,24.213,-2.001,6.94e-17
