,,,,,
A2M,ENSG00000175899.14,141.945,41.380,1.754,3.41e-37
A2M-AS1,ENSG00000245105.2,0.460,2.340,-1.194,8.56e-43
A2ML1,ENSG00000166535.19,3.850,10.070,-1.191,4.70e-25
A4GALT,ENSG00000128274.15,45.150,8.440,2.289,1.16e-50
AA06,ENSG00000265544.1,0.000,1.960,-1.566,1.53e-75
AACSP1,ENSG00000250420.8,0.030,6.990,-2.956,1.16e-133
AADACL2-AS1,ENSG00000242908.6,0.300,5.480,-2.317,7.36e-85
AADAT,ENSG00000109576.13,2.670,9.370,-1.499,1.72e-48
AAK1,ENSG00000115977.18,4.280,10.010,-1.060,2.08e-59
AAMDC,ENSG00000087884.14,17.930,56.090,-1.593,4.89e-66
AANAT,ENSG00000129673.9,0.310,6.630,-2.542,5.51e-103
AARD,ENSG00000205002.3,2.720,26.130,-2.867,4.44e-79
AARS2,ENSG00000124608.4,15.899,5.310,1.421,2.62e-72
AARSD1,ENSG00000266967.6,64.350,156.768,-1.272,9.45e-63
AASDHPPT,ENSG00000149313.10,14.480,42.929,-1.505,7.95e-51
AATBC,ENSG00000215458.8,0.560,8.280,-2.573,1.63e-61
AATF,ENSG00000275700.4,67.550,32.651,1.027,2.78e-76
AATK,ENSG00000181409.11,0.390,2.190,-1.198,1.25e-24
AB015752.3,ENSG00000254180.1,0.000,1.890,-1.531,2.50e-99
ABALON,ENSG00000281376.1,0.440,4.470,-1.925,5.86e-91
ABAT,ENSG00000183044.11,3.380,17.019,-2.041,4.73e-60
ABC7-42418200C9.1,ENSG00000268486.5,0.000,2.090,-1.628,2.68e-69
ABCA10,ENSG00000154263.17,0.530,14.500,-3.341,2.66e-160
ABCA11P,ENSG00000251595.7,2.150,5.500,-1.045,8.44e-48
ABCA13,ENSG00000179869.14,0.390,2.170,-1.189,6.89e-65
ABCA17P,ENSG00000238098.8,0.680,76.478,-5.527,1.60e-144
ABCA2,ENSG00000107331.16,11.450,27.080,-1.173,1.28e-52
ABCA3,ENSG00000167972.13,4.300,14.540,-1.552,2.27e-60
ABCA5,ENSG00000154265.15,3.570,25.451,-2.533,1.52e-116
ABCA6,ENSG00000154262.12,0.920,2.870,-1.011,8.37e-28
ABCA8,ENSG00000141338.13,0.790,33.240,-4.258,6.04e-127
ABCA9,ENSG00000154258.16,0.550,4.220,-1.752,7.56e-83
ABCB1,ENSG00000085563.14,1.560,5.000,-1.229,4.40e-31
ABCB11,ENSG00000073734.8,0.000,3.550,-2.186,1.50e-86
ABCB6,ENSG00000115657.12,13.470,60.989,-2.099,5.10e-102
ABCB9,ENSG00000150967.17,4.270,24.750,-2.289,1.22e-111
ABCC11,ENSG00000121270.15,0.140,5.200,-2.443,1.87e-117
ABCC12,ENSG00000140798.15,0.720,15.490,-3.261,5.06e-74
