,,,,,
A1BG,ENSG00000121410.11,41.714,4.030,3.086,1.27e-83
A1BG-AS1,ENSG00000268895.5,4.735,1.210,1.376,5.49e-56
A2M,ENSG00000175899.14,61.950,0.580,5.316,3.56e-203
A4GALT,ENSG00000128274.15,8.207,0.180,2.964,4.21e-94
AAAS,ENSG00000094914.12,50.124,8.050,2.498,9.83e-102
AACS,ENSG00000081760.16,13.870,1.010,2.887,4.13e-151
AACSP1,ENSG00000250420.8,1.135,0.000,1.094,5.47e-51
AADAT,ENSG00000109576.13,1.560,0.010,1.342,9.06e-140
AAED1,ENSG00000158122.11,4.945,0.630,1.867,1.78e-98
AAGAB,ENSG00000103591.12,27.320,4.010,2.499,8.90e-114
AAK1,ENSG00000115977.18,7.540,2.620,1.238,5.14e-37
AAMDC,ENSG00000087884.14,57.651,2.210,4.192,1.17e-189
AAMP,ENSG00000127837.9,113.507,11.540,3.191,6.49e-124
AAR2,ENSG00000131043.11,26.180,3.270,2.670,5.33e-109
AARS,ENSG00000090861.15,54.905,3.550,3.619,5.19e-121
AARS2,ENSG00000124608.4,5.610,0.660,1.994,1.96e-101
AARSD1,ENSG00000266967.6,56.986,4.530,3.390,2.03e-137
AASDH,ENSG00000157426.13,4.910,0.650,1.841,1.26e-109
AASDHPPT,ENSG00000149313.10,14.720,1.980,2.399,3.58e-89
AASS,ENSG00000008311.14,1.255,0.080,1.062,1.71e-66
AATBC,ENSG00000215458.8,9.884,0.960,2.473,9.45e-62
AATF,ENSG00000275700.4,57.946,12.390,2.138,5.85e-91
AATK,ENSG00000181409.11,0.395,14.520,-3.476,2.58e-86
AB019440.50,ENSG00000271201.1,1.475,0.000,1.307,2.73e-77
AB019441.29,ENSG00000225200.2,1.680,0.180,1.183,6.24e-113
ABCA1,ENSG00000165029.15,4.724,1.430,1.236,2.02e-25
ABCA11P,ENSG00000251595.7,3.090,0.150,1.830,2.61e-138
ABCA17P,ENSG00000238098.8,2.520,0.010,1.801,8.54e-153
ABCA3,ENSG00000167972.13,17.211,0.510,3.592,3.38e-172
ABCA5,ENSG00000154265.15,6.290,1.130,1.775,6.10e-82
ABCB10,ENSG00000135776.4,5.220,0.950,1.673,4.88e-60
ABCB6,ENSG00000115657.12,26.910,3.020,2.796,2.83e-121
ABCB7,ENSG00000131269.15,14.800,2.030,2.383,1.73e-109
ABCB8,ENSG00000197150.12,20.210,4.070,2.065,2.04e-89
ABCB9,ENSG00000150967.17,2.495,0.250,1.483,4.59e-107
ABCC1,ENSG00000103222.18,13.524,2.190,2.187,3.19e-77
ABCC10,ENSG00000124574.14,17.755,3.870,1.945,2.90e-74
ABCC5,ENSG00000114770.16,12.565,3.750,1.514,3.03e-48
ABCD1,ENSG00000101986.11,9.960,4.430,1.013,1.19e-27
ABCD3,ENSG00000117528.11,24.090,1.130,3.558,3.13e-137
ABCD4,ENSG00000119688.20,52.430,6.240,2.884,2.97e-104
ABCE1,ENSG00000164163.10,18.874,1.210,3.169,1.30e-125
ABCF1,ENSG00000204574.12,32.969,5.150,2.466,2.33e-86
ABCF2,ENSG00000033050.7,21.810,3.730,2.270,8.30e-96
ABCF3,ENSG00000161204.11,35.705,10.520,1.672,5.92e-61
ABCG1,ENSG00000160179.18,18.330,3.710,2.037,1.55e-56
ABHD10,ENSG00000144827.8,20.604,1.590,3.060,3.83e-141
ABHD11,ENSG00000106077.18,17.455,4.660,1.705,3.16e-68
ABHD12,ENSG00000100997.18,30.854,3.750,2.745,2.54e-115
ABHD13,ENSG00000139826.5,3.960,1.390,1.053,2.09e-23
ABHD14A,ENSG00000248487.8,35.264,2.480,3.381,9.87e-139
ABHD14B,ENSG00000114779.19,73.218,11.660,2.552,3.83e-92
ABHD15,ENSG00000168792.4,4.615,1.430,1.208,1.16e-31
ABHD16B,ENSG00000183260.6,1.110,0.000,1.077,1.53e-29
ABHD17B,ENSG00000107362.13,12.720,1.940,2.222,1.76e-76
ABHD17C,ENSG00000136379.11,3.685,0.460,1.682,2.75e-76
ABHD5,ENSG00000011198.7,5.010,33.160,-2.507,1.28e-72
ABHD8,ENSG00000127220.5,15.725,2.970,2.075,6.36e-73
ABI2,ENSG00000138443.15,14.620,0.890,3.047,5.70e-142
ABL1,ENSG00000097007.17,20.245,1.740,2.955,1.23e-101
ABLIM1,ENSG00000099204.18,10.440,2.170,1.851,5.30e-49
ABLIM2,ENSG00000163995.18,4.729,0.160,2.304,1.34e-141
ABO,ENSG00000175164.13,1.630,0.080,1.284,8.61e-68
ABRACL,ENSG00000146386.7,89.762,13.570,2.639,1.20e-74
ABT1,ENSG00000146109.4,18.715,3.590,2.103,3.19e-82
ABTB1,ENSG00000114626.17,35.589,207.259,-2.509,2.65e-55
ABTB2,ENSG00000166016.5,1.825,0.220,1.211,7.26e-84
AC000089.3,ENSG00000235776.2,4.055,0.100,2.200,1.93e-218
AC000123.3,ENSG00000279265.1,2.730,0.720,1.117,1.39e-45
AC002310.12,ENSG00000235560.3,3.105,0.310,1.648,1.93e-130
AC002398.13,ENSG00000267049.1,2.115,0.320,1.239,1.59e-61
AC002398.9,ENSG00000188223.9,6.585,2.100,1.291,4.76e-47
AC002454.1,ENSG00000237819.5,48.534,0.000,5.630,6.99e-116
AC002467.7,ENSG00000241764.3,7.230,2.070,1.423,8.07e-29
AC004057.1,ENSG00000196656.7,728.784,114.872,2.655,1.38e-50
AC004381.6,ENSG00000005189.19,5.235,0.230,2.342,4.03e-142
AC004453.8,ENSG00000146677.7,4.385,1.280,1.240,2.69e-42
AC004540.5,ENSG00000214870.8,1.990,0.090,1.456,1.04e-115
AC004854.4,ENSG00000234183.1,1.350,0.000,1.233,1.65e-84
AC004893.11,ENSG00000242687.2,6.190,1.380,1.595,2.03e-67
AC004967.7,ENSG00000243554.1,1.285,0.110,1.042,3.56e-122
AC004980.7,ENSG00000205485.13,2.845,0.720,1.161,2.70e-51
AC004987.9,ENSG00000233225.3,2.245,0.150,1.496,1.84e-109
AC005062.2,ENSG00000243004.5,8.770,1.020,2.274,5.73e-93
AC005076.5,ENSG00000224046.1,3.595,0.370,1.746,8.91e-112
AC005083.1,ENSG00000233834.6,1.175,0.030,1.078,4.42e-127
AC005255.3,ENSG00000256210.3,4.145,0.000,2.363,1.47e-87
AC005329.7,ENSG00000248015.6,1.435,0.060,1.200,1.44e-97
AC005339.2,ENSG00000268565.1,7.070,0.330,2.601,4.54e-115
AC005498.3,ENSG00000267421.6,1.740,0.000,1.454,4.54e-147
AC005523.2,ENSG00000269604.1,18.630,2.210,2.612,3.47e-123
AC005537.2,ENSG00000232006.8,2.240,0.000,1.696,5.63e-82
AC005538.3,ENSG00000279809.1,1.600,0.030,1.336,3.59e-84
AC005562.1,ENSG00000214719.11,4.233,0.380,1.923,5.37e-118
AC005606.15,ENSG00000260107.1,1.795,0.040,1.426,5.00e-66
AC005786.7,ENSG00000267436.1,8.455,0.110,3.090,5.94e-85
AC005943.2,ENSG00000267059.2,3.643,0.000,2.215,3.58e-39
AC005943.6,ENSG00000279009.1,7.487,0.000,3.085,1.14e-33
AC005944.2,ENSG00000267469.1,63.359,1.370,4.763,3.54e-159
AC006011.4,ENSG00000244563.1,18.659,1.230,3.140,1.82e-119
AC006077.3,ENSG00000279799.1,4.305,0.380,1.943,5.71e-109
AC006116.20,ENSG00000267710.5,1.130,0.050,1.020,1.27e-73
AC006129.2,ENSG00000268027.5,7.910,2.230,1.464,1.65e-19
AC006277.3,ENSG00000279452.1,1.385,0.060,1.170,2.66e-168
AC006449.2,ENSG00000279119.1,20.134,7.400,1.331,1.11e-3
AC006547.8,ENSG00000243762.1,3.533,0.160,1.966,1.99e-57
AC006978.6,ENSG00000235859.5,7.815,1.530,1.801,1.08e-67
