,,,,,
A1BG,ENSG00000121410.11,9.740,25.790,-1.319,2.16e-11
A1BG-AS1,ENSG00000268895.5,2.010,6.820,-1.377,9.38e-31
A2M,ENSG00000175899.14,79.878,372.268,-2.206,2.36e-42
A2M-AS1,ENSG00000245105.2,0.520,5.290,-2.049,5.58e-89
AADAT,ENSG00000109576.13,3.810,13.060,-1.548,1.15e-23
AAK1,ENSG00000115977.18,3.975,10.150,-1.164,2.16e-30
AASS,ENSG00000008311.14,1.075,34.260,-4.087,4.12e-94
ABAT,ENSG00000183044.11,1.635,4.560,-1.077,2.43e-20
ABC12-49244600F4.4,ENSG00000276144.1,0.170,1.880,-1.300,7.10e-39
ABC7-42404400C24.1,ENSG00000277758.4,0.020,1.170,-1.089,6.42e-59
ABCA10,ENSG00000154263.17,0.410,11.420,-3.139,1.77e-70
ABCA3,ENSG00000167972.13,2.310,5.780,-1.034,1.04e-12
ABCA6,ENSG00000154262.12,0.270,14.650,-3.623,1.28e-91
ABCA7,ENSG00000064687.12,10.315,4.200,1.122,4.61e-12
ABCA8,ENSG00000141338.13,0.325,20.559,-4.024,4.07e-101
ABCA9,ENSG00000154258.16,0.150,12.600,-3.564,1.41e-90
ABCB1,ENSG00000085563.14,1.465,18.280,-2.967,2.88e-72
ABCC3,ENSG00000108846.15,9.689,2.800,1.492,3.51e-14
ABCC5,ENSG00000114770.16,10.790,27.720,-1.284,6.73e-23
ABCC6,ENSG00000091262.14,2.015,0.410,1.096,2.69e-13
ABCC8,ENSG00000006071.11,0.135,2.810,-1.747,1.34e-27
ABCC9,ENSG00000069431.10,0.270,16.100,-3.751,9.78e-141
ABCD1,ENSG00000101986.11,7.040,16.829,-1.149,4.17e-23
ABCG1,ENSG00000160179.18,14.100,4.720,1.400,2.78e-20
ABCG2,ENSG00000118777.10,0.630,14.930,-3.289,4.16e-85
ABHD11,ENSG00000106077.18,75.240,14.050,2.341,1.45e-71
ABHD11-AS1,ENSG00000225969.1,3.605,0.220,1.916,5.78e-28
ABHD17C,ENSG00000136379.11,12.875,2.840,1.853,7.08e-45
ABHD2,ENSG00000140526.16,7.110,15.620,-1.035,3.68e-20
ABHD6,ENSG00000163686.13,2.675,8.090,-1.307,1.42e-31
ABI3BP,ENSG00000154175.16,1.655,42.520,-4.035,4.85e-86
ABL1,ENSG00000097007.17,18.504,67.831,-1.819,1.05e-48
ABLIM1,ENSG00000099204.18,17.659,40.159,-1.141,2.49e-16
ABLIM3,ENSG00000173210.19,0.535,16.670,-3.525,7.38e-86
ABO,ENSG00000175164.13,0.275,2.440,-1.432,4.35e-24
ABR,ENSG00000159842.14,18.568,63.548,-1.722,9.46e-36
ABRACL,ENSG00000146386.7,109.008,14.800,2.800,9.00e-61
ABTB1,ENSG00000114626.17,14.905,73.832,-2.234,1.13e-60
AC000078.5,ENSG00000232926.1,0.060,1.280,-1.105,1.04e-42
AC000089.3,ENSG00000235776.2,3.170,0.650,1.338,3.23e-26
AC000123.3,ENSG00000279265.1,1.745,4.500,-1.003,6.45e-36
AC000123.4,ENSG00000224138.1,0.645,2.410,-1.052,1.24e-45
AC002310.11,ENSG00000261459.1,0.150,1.860,-1.314,1.23e-50
AC002398.12,ENSG00000267328.1,1.075,15.180,-2.963,2.92e-33
AC003090.1,ENSG00000223561.6,0.070,6.360,-2.782,4.11e-89
AC003973.3,ENSG00000279377.1,0.040,4.310,-2.352,2.21e-88
AC004623.3,ENSG00000279488.1,0.140,3.000,-1.811,1.91e-74
AC005062.2,ENSG00000243004.5,3.620,17.019,-1.964,4.67e-37
AC005082.12,ENSG00000226816.2,3.885,0.810,1.432,3.80e-16
AC005104.3,ENSG00000223374.1,0.430,4.850,-2.032,5.58e-59
AC005154.6,ENSG00000196295.11,12.880,49.969,-1.877,4.20e-43
AC005154.7,ENSG00000244480.1,0.240,2.880,-1.646,1.02e-75
AC005253.2,ENSG00000268030.1,0.705,4.890,-1.788,2.90e-54
AC005255.3,ENSG00000256210.3,3.695,0.000,2.231,1.56e-29
AC005339.2,ENSG00000268565.1,14.739,3.610,1.772,1.03e-22
AC005517.3,ENSG00000223878.1,0.335,2.890,-1.543,6.69e-46
AC005519.4,ENSG00000258559.2,0.485,7.080,-2.444,3.48e-62
AC005682.5,ENSG00000228649.8,0.570,5.160,-1.972,1.68e-64
AC005740.6,ENSG00000271871.1,0.120,1.470,-1.141,1.67e-72
AC005786.7,ENSG00000267436.1,8.490,2.360,1.498,8.41e-10
AC005943.6,ENSG00000279009.1,8.826,0.000,3.297,3.01e-9
AC006011.4,ENSG00000244563.1,16.915,5.480,1.467,1.17e-46
AC006116.24,ENSG00000267776.1,0.130,1.540,-1.169,8.15e-55
AC006116.27,ENSG00000267459.1,0.180,2.870,-1.714,2.18e-21
AC006126.4,ENSG00000267045.1,0.500,4.190,-1.791,1.09e-51
AC006128.2,ENSG00000279716.1,3.835,17.019,-1.898,9.67e-27
AC006449.2,ENSG00000279119.1,11.645,32.119,-1.389,8.52e-18
AC006547.13,ENSG00000236540.7,0.790,2.840,-1.101,3.65e-49
AC006547.8,ENSG00000243762.1,2.235,0.000,1.694,1.11e-15
AC006942.4,ENSG00000269194.1,1.265,4.610,-1.308,1.10e-38
AC007009.1,ENSG00000244239.1,8.589,0.770,2.438,7.27e-46
