gene,cancer_type
A1BG,BRCA
A1CF,BRCA
AAAS,BRCA
AACS,BRCA
AADACL2,BRCA
AADAT,BRCA
AAGAB,BRCA
AAMP,BRCA
AAR2,BRCA
AARD,BRCA
AARS,BRCA
AARS2,BRCA
AASDHPPT,BRCA
AASS,BRCA
AATF,BRCA
AATK,BRCA
ABCA1,BRCA
ABCA10,BRCA
ABCA12,BRCA
ABCA13,BRCA
ABCA4,BRCA
ABCA5,BRCA
ABCA6,BRCA
ABCA9,BRCA
ABCB1,BRCA
ABCB4,BRCA
ABCB5,BRCA
ABCB7,BRCA
ABCB8,BRCA
ABCC11,BRCA
ABCC12,BRCA
ABCC2,BRCA
ABCC9,BRCA
ABCD1,BRCA
ABCD3,BRCA
ABCE1,BRCA
ABCF1,BRCA
ABCF2,BRCA
ABCG2,BRCA
ABHD10,BRCA
ABHD13,BRCA
ABHD15,BRCA
ABHD17A,BRCA
ABHD17B,BRCA
ABI1,BRCA
ABI3BP,BRCA
ABLIM1,BRCA
ABLIM3,BRCA
ABT1,BRCA
ACAA2,BRCA
ACACA,BRCA
ACAD8,BRCA
ACAD9,BRCA
ACADSB,BRCA
ACAP2,BRCA
ACAP3,BRCA
ACAT1,BRCA
ACAT2,BRCA
ACBD7,BRCA
ACCSL,BRCA
ACER1,BRCA
ACHE,BRCA
ACIN1,BRCA
ACKR4,BRCA
ACLY,BRCA
ACN9,BRCA
ACO1,BRCA
ACO2,BRCA
ACOT2,BRCA
ACOT4,BRCA
ACOT6,BRCA
ACOT9,BRCA
ACOX1,BRCA
ACOXL,BRCA
ACPL2,BRCA
ACR,BRCA
ACSL1,BRCA
ACSL3,BRCA
ACSL4,BRCA
ACSL5,BRCA
ACSM1,BRCA
ACSM3,BRCA
ACSS2,BRCA
ACTB,BRCA
ACTG1,BRCA
ACTL6A,BRCA
ACTN4,BRCA
ACTR10,BRCA
ACTR1A,BRCA
ACTR2,BRCA
ACTR3,BRCA
ACTR3B,BRCA
ACTR3C,BRCA
ACTR5,BRCA
ACTR6,BRCA
ACTR8,BRCA
ACTRT3,BRCA
ACVR1,BRCA
ACVR1B,BRCA
ACVR2A,BRCA
ACVR2B,BRCA
ACVRL1,BRCA
ADA,BRCA
ADAL,BRCA
ADAM10,BRCA
ADAM11,BRCA
ADAM17,BRCA
ADAM2,BRCA
ADAM21,BRCA
ADAM23,BRCA
ADAM32,BRCA
ADAM33,BRCA
ADAMDEC1,BRCA
ADAMTS10,BRCA
ADAMTS17,BRCA
ADAMTS2,BRCA
ADAMTS3,BRCA
ADAMTS9,BRCA
ADAMTSL4,BRCA
ADAMTSL5,BRCA
ADAP1,BRCA
ADAP2,BRCA
ADAR,BRCA
ADAT2,BRCA
ADAT3,BRCA
ADCK2,BRCA
ADCY2,BRCA
ADCY8,BRCA
ADD3,BRCA
ADH5,BRCA
ADH6,BRCA
ADHFE1,BRCA
ADI1,BRCA
ADIPOR1,BRCA
ADIPOR2,BRCA
ADK,BRCA
ADNP,BRCA
ADORA2A,BRCA
ADPGK,BRCA
ADPRHL2,BRCA
ADPRM,BRCA
ADRBK1,BRCA
ADRM1,BRCA
ADSL,BRCA
ADSS,BRCA
AFF1,BRCA
AFF2,BRCA
AFF4,BRCA
AFG3L2,BRCA
AFP,BRCA
AGA,BRCA
AGAP2,BRCA
AGAP3,BRCA
AGAP5,BRCA
AGAP6,BRCA
AGAP7,BRCA
AGBL3,BRCA
AGK,BRCA
AGL,BRCA
AGO3,BRCA
AGPAT1,BRCA
AGPAT2,BRCA
AGPAT3,BRCA
AGPAT4,BRCA
AGPAT5,BRCA
AGR2,BRCA
AGR3,BRCA
AGRP,BRCA
AGTPBP1,BRCA
AGTR1,BRCA
AGTR2,BRCA
AHCTF1,BRCA
AHCY,BRCA
AHCYL1,BRCA
AHCYL2,BRCA
AHI1,BRCA
AHNAK,BRCA
AHR,BRCA
AHSA1,BRCA
AIFM1,BRCA
AIFM2,BRCA
AIMP2,BRCA
AK1,BRCA
AK2,BRCA
AK3,BRCA
AK4,BRCA
AK6,BRCA
AK9,BRCA
AKAP13,BRCA
AKAP17A,BRCA
AKAP3,BRCA
AKAP4,BRCA
AKAP5,BRCA
AKAP8L,BRCA
AKAP9,BRCA
AKIP1,BRCA
AKIRIN1,BRCA
AKIRIN2,BRCA
AKR1B15,BRCA
AKR1C2,BRCA
AKR1C4,BRCA
AKR1D1,BRCA
AKR7A3,BRCA
AKT1,BRCA
AKT2,BRCA
AKTIP,BRCA
ALAD,BRCA
ALAS1,BRCA
ALAS2,BRCA
ALCAM,BRCA
ALDH16A1,BRCA
ALDH3A2,BRCA
ALDH6A1,BRCA
ALDH8A1,BRCA
ALDH9A1,BRCA
ALDOA,BRCA
ALDOC,BRCA
ALG1,BRCA
ALG10,BRCA
ALG10B,BRCA
ALG11,BRCA
ALG12,BRCA
ALG13,BRCA
ALG14,BRCA
ALG1L,BRCA
ALG2,BRCA
ALG3,BRCA
ALG5,BRCA
ALG6,BRCA
ALG8,BRCA
ALG9,BRCA
ALK,BRCA
ALKBH1,BRCA
ALKBH3,BRCA
ALKBH4,BRCA
ALKBH8,BRCA
ALLC,BRCA
ALMS1,BRCA
ALOX5,BRCA
ALPK3,BRCA
ALS2CR11,BRCA
ALX3,BRCA
ALX4,BRCA
ALYREF,BRCA
AMACR,BRCA
AMBN,BRCA
AMBRA1,BRCA
AMD1,BRCA
AMDHD2,BRCA
AMER1,BRCA
AMER3,BRCA
AMFR,BRCA
AMN,BRCA
AMPD1,BRCA
AMTN,BRCA
AMY1B,BRCA
AMY2A,BRCA
AMY2B,BRCA
AMZ2,BRCA
ANAPC1,BRCA
ANAPC10,BRCA
ANAPC11,BRCA
ANAPC13,BRCA
ANAPC15,BRCA
ANAPC16,BRCA
ANAPC2,BRCA
ANAPC4,BRCA
ANAPC5,BRCA
ANG,BRCA
ANGEL2,BRCA
ANGPT1,BRCA
ANGPTL3,BRCA
ANGPTL5,BRCA
ANK3,BRCA
ANKAR,BRCA
ANKFY1,BRCA
ANKHD1,BRCA
ANKHD1-EIF4EBP3,BRCA
ANKIB1,BRCA
ANKLE2,BRCA
ANKMY2,BRCA
ANKRA2,BRCA
ANKRD1,BRCA
ANKRD11,BRCA
ANKRD17,BRCA
ANKRD18A,BRCA
ANKRD22,BRCA
ANKRD23,BRCA
ANKRD28,BRCA
ANKRD30A,BRCA
ANKRD31,BRCA
ANKRD32,BRCA
ANKRD34B,BRCA
ANKRD34C,BRCA
ANKRD36,BRCA
ANKRD40,BRCA
ANKRD42,BRCA
ANKRD49,BRCA
ANKRD50,BRCA
ANKRD52,BRCA
ANKRD54,BRCA
ANKRD6,BRCA
ANKRD65,BRCA
ANKRD7,BRCA
ANLN,BRCA
ANO1,BRCA
ANO3,BRCA
ANP32A,BRCA
ANP32B,BRCA
ANP32E,BRCA
ANTXR1,BRCA
ANTXR2,BRCA
ANTXRL,BRCA
ANXA1,BRCA
ANXA10,BRCA
ANXA13,BRCA
ANXA2,BRCA
ANXA2R,BRCA
ANXA3,BRCA
ANXA8,BRCA
ANXA8L2,BRCA
AOAH,BRCA
AP1AR,BRCA
AP1B1,BRCA
AP1G1,BRCA
AP1M2,BRCA
AP1S2,BRCA
AP2A1,BRCA
AP2B1,BRCA
AP2M1,BRCA
AP2S1,BRCA
AP3B1,BRCA
AP3M1,BRCA
AP3M2,BRCA
AP3S1,BRCA
AP4S1,BRCA
AP5M1,BRCA
APBA1,BRCA
APBA2,BRCA
APBB1IP,BRCA
APC,BRCA
APC2,BRCA
APCS,BRCA
APEX1,BRCA
APEX2,BRCA
APH1A,BRCA
APH1B,BRCA
API5,BRCA
APIP,BRCA
APITD1,BRCA
APITD1-CORT,BRCA
APLP1,BRCA
APLP2,BRCA
APMAP,BRCA
APOBEC3A,BRCA
APOBEC3D,BRCA
APOBEC4,BRCA
APOC2,BRCA
APOE,BRCA
APOH,BRCA
APOL2,BRCA
APOOL,BRCA
APPBP2,BRCA
APPL2,BRCA
APRT,BRCA
APTX,BRCA
AQP1,BRCA
AQP10,BRCA
AQP12B,BRCA
AQP7,BRCA
AQP9,BRCA
AQR,BRCA
AR,BRCA
ARAP1,BRCA
ARAP2,BRCA
ARCN1,BRCA
ARF1,BRCA
ARF3,BRCA
ARF4,BRCA
ARF6,BRCA
ARFGAP1,BRCA
ARFGEF1,BRCA
ARFIP1,BRCA
ARFRP1,BRCA
ARGLU1,BRCA
ARHGAP1,BRCA
ARHGAP11A,BRCA
ARHGAP11B,BRCA
ARHGAP19,BRCA
ARHGAP21,BRCA
ARHGAP24,BRCA
ARHGAP26,BRCA
ARHGAP29,BRCA
ARHGAP30,BRCA
ARHGAP35,BRCA
ARHGAP5,BRCA
ARHGAP6,BRCA
ARHGAP8,BRCA
ARHGDIB,BRCA
ARHGEF11,BRCA
ARHGEF12,BRCA
ARHGEF2,BRCA
ARHGEF25,BRCA
ARHGEF3,BRCA
ARHGEF33,BRCA
ARHGEF35,BRCA
ARHGEF38,BRCA
ARHGEF5,BRCA
ARHGEF7,BRCA
ARHGEF9,BRCA
ARID1A,BRCA
ARID1B,BRCA
ARID2,BRCA
ARID3A,BRCA
ARID3B,BRCA
ARID4A,BRCA
ARID4B,BRCA
ARID5A,BRCA
ARIH1,BRCA
ARIH2,BRCA
ARL1,BRCA
ARL10,BRCA
ARL11,BRCA
ARL13B,BRCA
ARL14,BRCA
ARL14EP,BRCA
ARL14EPL,BRCA
ARL15,BRCA
ARL2,BRCA
ARL2BP,BRCA
ARL3,BRCA
ARL4A,BRCA
ARL5A,BRCA
ARL5B,BRCA
ARL6IP1,BRCA
ARL6IP6,BRCA
ARL8B,BRCA
ARMC1,BRCA
ARMC10,BRCA
ARMC2,BRCA
ARMC5,BRCA
ARMC7,BRCA
ARMC9,BRCA
ARMCX1,BRCA
ARMCX3,BRCA
ARMCX5,BRCA
ARMCX6,BRCA
ARNT,BRCA
ARNTL,BRCA
ARPC1A,BRCA
ARPC2,BRCA
ARPC3,BRCA
ARPC4,BRCA
ARPC5,BRCA
ARPP19,BRCA
ARRB1,BRCA
ARRB2,BRCA
ARRDC4,BRCA
ARSB,BRCA
ARSK,BRCA
ART3,BRCA
ARTN,BRCA
ARV1,BRCA
AS3MT,BRCA
ASAH1,BRCA
ASB17,BRCA
ASB3,BRCA
ASB6,BRCA
ASB7,BRCA
ASCC1,BRCA
ASCC3,BRCA
ASCL1,BRCA
ASCL2,BRCA
ASF1A,BRCA
ASF1B,BRCA
ASH2L,BRCA
ASIC1,BRCA
ASIP,BRCA
ASMT,BRCA
ASNA1,BRCA
ASNS,BRCA
ASNSD1,BRCA
ASPDH,BRCA
ASPHD2,BRCA
ASPM,BRCA
ASTL,BRCA
ASUN,BRCA
ASXL3,BRCA
ATAD1,BRCA
ATAD2,BRCA
ATAD3A,BRCA
ATAD5,BRCA
ATAT1,BRCA
ATF1,BRCA
ATF2,BRCA
ATF4,BRCA
ATF5,BRCA
ATF6,BRCA
ATF7,BRCA
ATF7IP,BRCA
ATG10,BRCA
ATG12,BRCA
ATG13,BRCA
ATG14,BRCA
ATG2B,BRCA
ATG3,BRCA
ATG4C,BRCA
ATG5,BRCA
ATG9A,BRCA
ATHL1,BRCA
ATIC,BRCA
ATL1,BRCA
ATL2,BRCA
ATL3,BRCA
ATM,BRCA
ATMIN,BRCA
ATOH1,BRCA
ATOX1,BRCA
ATP10A,BRCA
ATP10D,BRCA
ATP11B,BRCA
ATP11C,BRCA
ATP13A1,BRCA
ATP1A1,BRCA
ATP1B1,BRCA
ATP1B3,BRCA
ATP2A2,BRCA
ATP2B1,BRCA
ATP2B4,BRCA
ATP2C1,BRCA
ATP5A1,BRCA
ATP5B,BRCA
ATP5C1,BRCA
ATP5D,BRCA
ATP5F1,BRCA
ATP5G1,BRCA
ATP5G2,BRCA
ATP5H,BRCA
ATP5I,BRCA
ATP5J,BRCA
ATP5J2,BRCA
ATP5J2-PTCD1,BRCA
ATP5L,BRCA
ATP5L2,BRCA
ATP5O,BRCA
ATP5SL,BRCA
ATP6AP1,BRCA
ATP6AP1L,BRCA
ATP6AP2,BRCA
ATP6V0A1,BRCA
ATP6V0B,BRCA
ATP6V0C,BRCA
ATP6V0D1,BRCA
ATP6V0D2,BRCA
ATP6V0E1,BRCA
