gene,cancer_type
A1BG,CHOL
A1CF,CHOL
AAAS,CHOL
AACS,CHOL
AADACL2,CHOL
AADAT,CHOL
AAGAB,CHOL
AAMP,CHOL
AAR2,CHOL
AARD,CHOL
AARS,CHOL
AARS2,CHOL
AASDHPPT,CHOL
AASS,CHOL
AATF,CHOL
AATK,CHOL
ABCA1,CHOL
ABCA10,CHOL
ABCA12,CHOL
ABCA13,CHOL
ABCA4,CHOL
ABCA5,CHOL
ABCA6,CHOL
ABCA9,CHOL
ABCB1,CHOL
ABCB4,CHOL
ABCB5,CHOL
ABCB7,CHOL
ABCB8,CHOL
ABCC11,CHOL
ABCC12,CHOL
ABCC2,CHOL
ABCC9,CHOL
ABCD1,CHOL
ABCD3,CHOL
ABCE1,CHOL
ABCF1,CHOL
ABCF2,CHOL
ABCG2,CHOL
ABHD10,CHOL
ABHD13,CHOL
ABHD15,CHOL
ABHD17A,CHOL
ABHD17B,CHOL
ABI1,CHOL
ABI3BP,CHOL
ABLIM1,CHOL
ABLIM3,CHOL
ABT1,CHOL
ACAA2,CHOL
ACACA,CHOL
ACAD8,CHOL
ACAD9,CHOL
ACADSB,CHOL
ACAP2,CHOL
ACAP3,CHOL
ACAT1,CHOL
ACAT2,CHOL
ACBD7,CHOL
ACCSL,CHOL
ACER1,CHOL
ACHE,CHOL
ACIN1,CHOL
ACKR4,CHOL
ACLY,CHOL
ACN9,CHOL
ACO1,CHOL
ACO2,CHOL
ACOT2,CHOL
ACOT4,CHOL
ACOT6,CHOL
ACOT9,CHOL
ACOX1,CHOL
ACOXL,CHOL
ACPL2,CHOL
ACR,CHOL
ACSL1,CHOL
ACSL3,CHOL
ACSL4,CHOL
ACSL5,CHOL
ACSM1,CHOL
ACSM3,CHOL
ACSS2,CHOL
ACTB,CHOL
ACTG1,CHOL
ACTL6A,CHOL
ACTN4,CHOL
ACTR10,CHOL
ACTR1A,CHOL
ACTR2,CHOL
ACTR3,CHOL
ACTR3B,CHOL
ACTR3C,CHOL
ACTR5,CHOL
ACTR6,CHOL
ACTR8,CHOL
ACTRT3,CHOL
ACVR1,CHOL
ACVR1B,CHOL
ACVR2A,CHOL
ACVR2B,CHOL
ACVRL1,CHOL
ADA,CHOL
ADAL,CHOL
ADAM10,CHOL
ADAM11,CHOL
ADAM17,CHOL
ADAM2,CHOL
ADAM21,CHOL
ADAM23,CHOL
ADAM32,CHOL
ADAM33,CHOL
ADAMDEC1,CHOL
ADAMTS10,CHOL
ADAMTS17,CHOL
ADAMTS2,CHOL
ADAMTS3,CHOL
ADAMTS9,CHOL
ADAMTSL4,CHOL
ADAMTSL5,CHOL
ADAP1,CHOL
ADAP2,CHOL
ADAR,CHOL
ADAT2,CHOL
ADAT3,CHOL
ADCK2,CHOL
ADCY2,CHOL
ADCY8,CHOL
ADD3,CHOL
ADH5,CHOL
ADH6,CHOL
ADHFE1,CHOL
ADI1,CHOL
ADIPOR1,CHOL
ADIPOR2,CHOL
ADK,CHOL
ADNP,CHOL
ADORA2A,CHOL
ADPGK,CHOL
ADPRHL2,CHOL
ADPRM,CHOL
ADRBK1,CHOL
ADRM1,CHOL
ADSL,CHOL
ADSS,CHOL
AFF1,CHOL
AFF2,CHOL
AFF4,CHOL
AFG3L2,CHOL
AFP,CHOL
AGA,CHOL
AGAP2,CHOL
AGAP3,CHOL
AGAP5,CHOL
AGAP6,CHOL
AGAP7,CHOL
AGBL3,CHOL
AGK,CHOL
AGL,CHOL
AGO3,CHOL
AGPAT1,CHOL
AGPAT2,CHOL
AGPAT3,CHOL
AGPAT4,CHOL
AGPAT5,CHOL
AGR2,CHOL
AGR3,CHOL
AGRP,CHOL
AGTPBP1,CHOL
AGTR1,CHOL
AGTR2,CHOL
AHCTF1,CHOL
AHCY,CHOL
AHCYL1,CHOL
AHCYL2,CHOL
AHI1,CHOL
AHNAK,CHOL
AHR,CHOL
AHSA1,CHOL
AIFM1,CHOL
AIFM2,CHOL
AIMP2,CHOL
AK1,CHOL
AK2,CHOL
AK3,CHOL
AK4,CHOL
AK6,CHOL
AK9,CHOL
AKAP13,CHOL
AKAP17A,CHOL
AKAP3,CHOL
AKAP4,CHOL
AKAP5,CHOL
AKAP8L,CHOL
AKAP9,CHOL
AKIP1,CHOL
AKIRIN1,CHOL
AKIRIN2,CHOL
AKR1B15,CHOL
AKR1C2,CHOL
AKR1C4,CHOL
AKR1D1,CHOL
AKR7A3,CHOL
AKT1,CHOL
AKT2,CHOL
AKTIP,CHOL
ALAD,CHOL
ALAS1,CHOL
ALAS2,CHOL
ALCAM,CHOL
ALDH16A1,CHOL
ALDH3A2,CHOL
ALDH6A1,CHOL
ALDH8A1,CHOL
ALDH9A1,CHOL
ALDOA,CHOL
ALDOC,CHOL
ALG1,CHOL
ALG10,CHOL
ALG10B,CHOL
ALG11,CHOL
ALG12,CHOL
ALG13,CHOL
ALG14,CHOL
ALG1L,CHOL
ALG2,CHOL
ALG3,CHOL
ALG5,CHOL
ALG6,CHOL
ALG8,CHOL
ALG9,CHOL
ALK,CHOL
ALKBH1,CHOL
ALKBH3,CHOL
ALKBH4,CHOL
ALKBH8,CHOL
ALLC,CHOL
ALMS1,CHOL
ALOX5,CHOL
ALPK3,CHOL
ALS2CR11,CHOL
ALX3,CHOL
ALX4,CHOL
ALYREF,CHOL
AMACR,CHOL
AMBN,CHOL
AMBRA1,CHOL
AMD1,CHOL
AMDHD2,CHOL
AMER1,CHOL
AMER3,CHOL
AMFR,CHOL
AMN,CHOL
AMPD1,CHOL
AMTN,CHOL
AMY1B,CHOL
AMY2A,CHOL
AMY2B,CHOL
AMZ2,CHOL
ANAPC1,CHOL
ANAPC10,CHOL
ANAPC11,CHOL
ANAPC13,CHOL
ANAPC15,CHOL
ANAPC16,CHOL
ANAPC2,CHOL
ANAPC4,CHOL
ANAPC5,CHOL
ANG,CHOL
ANGEL2,CHOL
ANGPT1,CHOL
ANGPTL3,CHOL
ANGPTL5,CHOL
ANK3,CHOL
ANKAR,CHOL
ANKFY1,CHOL
ANKHD1,CHOL
ANKHD1-EIF4EBP3,CHOL
ANKIB1,CHOL
ANKLE2,CHOL
ANKMY2,CHOL
ANKRA2,CHOL
ANKRD1,CHOL
ANKRD11,CHOL
ANKRD17,CHOL
ANKRD18A,CHOL
ANKRD22,CHOL
ANKRD23,CHOL
ANKRD28,CHOL
ANKRD30A,CHOL
ANKRD31,CHOL
ANKRD32,CHOL
ANKRD34B,CHOL
ANKRD34C,CHOL
ANKRD36,CHOL
ANKRD40,CHOL
ANKRD42,CHOL
ANKRD49,CHOL
ANKRD50,CHOL
ANKRD52,CHOL
ANKRD54,CHOL
ANKRD6,CHOL
