gene,cancer_type
A1BG,COAD
A1CF,COAD
AAAS,COAD
AACS,COAD
AADACL2,COAD
AADAT,COAD
AAGAB,COAD
AAMP,COAD
AAR2,COAD
AARD,COAD
AARS,COAD
AARS2,COAD
AASDHPPT,COAD
AASS,COAD
AATF,COAD
AATK,COAD
ABCA1,COAD
ABCA10,COAD
ABCA12,COAD
ABCA13,COAD
ABCA4,COAD
ABCA5,COAD
ABCA6,COAD
ABCA9,COAD
ABCB1,COAD
ABCB4,COAD
ABCB5,COAD
ABCB7,COAD
ABCB8,COAD
ABCC11,COAD
ABCC12,COAD
ABCC2,COAD
ABCC9,COAD
ABCD1,COAD
ABCD3,COAD
ABCE1,COAD
ABCF1,COAD
ABCF2,COAD
ABCG2,COAD
ABHD10,COAD
ABHD13,COAD
ABHD15,COAD
ABHD17A,COAD
ABHD17B,COAD
ABI1,COAD
ABI3BP,COAD
ABLIM1,COAD
ABLIM3,COAD
ABT1,COAD
ACAA2,COAD
ACACA,COAD
ACAD8,COAD
ACAD9,COAD
ACADSB,COAD
ACAP2,COAD
ACAP3,COAD
ACAT1,COAD
ACAT2,COAD
ACBD7,COAD
ACCSL,COAD
ACER1,COAD
ACHE,COAD
ACIN1,COAD
ACKR4,COAD
ACLY,COAD
ACN9,COAD
ACO1,COAD
ACO2,COAD
ACOT2,COAD
ACOT4,COAD
ACOT6,COAD
ACOT9,COAD
ACOX1,COAD
ACOXL,COAD
ACPL2,COAD
ACR,COAD
ACSL1,COAD
ACSL3,COAD
ACSL4,COAD
ACSL5,COAD
ACSM1,COAD
ACSM3,COAD
ACSS2,COAD
ACTB,COAD
ACTG1,COAD
ACTL6A,COAD
ACTN4,COAD
ACTR10,COAD
ACTR1A,COAD
ACTR2,COAD
ACTR3,COAD
ACTR3B,COAD
ACTR3C,COAD
ACTR5,COAD
ACTR6,COAD
ACTR8,COAD
ACTRT3,COAD
ACVR1,COAD
ACVR1B,COAD
ACVR2A,COAD
ACVR2B,COAD
ACVRL1,COAD
