gene,cancer_type
A1BG,DLBC
A1CF,DLBC
AAAS,DLBC
AACS,DLBC
AADACL2,DLBC
AADAT,DLBC
AAGAB,DLBC
AAMP,DLBC
AAR2,DLBC
AARD,DLBC
AARS,DLBC
AARS2,DLBC
AASDHPPT,DLBC
AASS,DLBC
AATF,DLBC
AATK,DLBC
ABCA1,DLBC
ABCA10,DLBC
ABCA12,DLBC
ABCA13,DLBC
ABCA4,DLBC
ABCA5,DLBC
ABCA6,DLBC
ABCA9,DLBC
ABCB1,DLBC
ABCB4,DLBC
ABCB5,DLBC
ABCB7,DLBC
ABCB8,DLBC
ABCC11,DLBC
ABCC12,DLBC
ABCC2,DLBC
ABCC9,DLBC
ABCD1,DLBC
ABCD3,DLBC
ABCE1,DLBC
ABCF1,DLBC
ABCF2,DLBC
ABCG2,DLBC
ABHD10,DLBC
ABHD13,DLBC
ABHD15,DLBC
ABHD17A,DLBC
ABHD17B,DLBC
ABI1,DLBC
ABI3BP,DLBC
ABLIM1,DLBC
ABLIM3,DLBC
ABT1,DLBC
ACAA2,DLBC
ACACA,DLBC
ACAD8,DLBC
ACAD9,DLBC
ACADSB,DLBC
ACAP2,DLBC
ACAP3,DLBC
ACAT1,DLBC
ACAT2,DLBC
ACBD7,DLBC
ACCSL,DLBC
ACER1,DLBC
ACHE,DLBC
ACIN1,DLBC
ACKR4,DLBC
ACLY,DLBC
ACN9,DLBC
ACO1,DLBC
ACO2,DLBC
ACOT2,DLBC
ACOT4,DLBC
ACOT6,DLBC
ACOT9,DLBC
ACOX1,DLBC
ACOXL,DLBC
ACPL2,DLBC
ACR,DLBC
ACSL1,DLBC
ACSL3,DLBC
ACSL4,DLBC
ACSL5,DLBC
ACSM1,DLBC
ACSM3,DLBC
ACSS2,DLBC
ACTB,DLBC
ACTG1,DLBC
ACTL6A,DLBC
ACTN4,DLBC
ACTR10,DLBC
ACTR1A,DLBC
ACTR2,DLBC
ACTR3,DLBC
ACTR3B,DLBC
ACTR3C,DLBC
ACTR5,DLBC
ACTR6,DLBC
ACTR8,DLBC
ACTRT3,DLBC
ACVR1,DLBC
ACVR1B,DLBC
ACVR2A,DLBC
ACVR2B,DLBC
ACVRL1,DLBC
ADA,DLBC
ADAL,DLBC
ADAM10,DLBC
ADAM11,DLBC
ADAM17,DLBC
ADAM2,DLBC
ADAM21,DLBC
ADAM23,DLBC
ADAM32,DLBC
ADAM33,DLBC
ADAMDEC1,DLBC
ADAMTS10,DLBC
ADAMTS17,DLBC
ADAMTS2,DLBC
ADAMTS3,DLBC
ADAMTS9,DLBC
ADAMTSL4,DLBC
ADAMTSL5,DLBC
ADAP1,DLBC
ADAP2,DLBC
ADAR,DLBC
ADAT2,DLBC
ADAT3,DLBC
ADCK2,DLBC
ADCY2,DLBC
ADCY8,DLBC
ADD3,DLBC
ADH5,DLBC
ADH6,DLBC
ADHFE1,DLBC
ADI1,DLBC
ADIPOR1,DLBC
ADIPOR2,DLBC
ADK,DLBC
ADNP,DLBC
ADORA2A,DLBC
ADPGK,DLBC
ADPRHL2,DLBC
ADPRM,DLBC
ADRBK1,DLBC
ADRM1,DLBC
ADSL,DLBC
ADSS,DLBC
AFF1,DLBC
AFF2,DLBC
AFF4,DLBC
AFG3L2,DLBC
AFP,DLBC
AGA,DLBC
AGAP2,DLBC
AGAP3,DLBC
AGAP5,DLBC
AGAP6,DLBC
AGAP7,DLBC
AGBL3,DLBC
AGK,DLBC
AGL,DLBC
AGO3,DLBC
AGPAT1,DLBC
AGPAT2,DLBC
AGPAT3,DLBC
AGPAT4,DLBC
AGPAT5,DLBC
AGR2,DLBC
AGR3,DLBC
AGRP,DLBC
AGTPBP1,DLBC
AGTR1,DLBC
AGTR2,DLBC
AHCTF1,DLBC
AHCY,DLBC
AHCYL1,DLBC
AHCYL2,DLBC
AHI1,DLBC
AHNAK,DLBC
AHR,DLBC
AHSA1,DLBC
AIFM1,DLBC
AIFM2,DLBC
AIMP2,DLBC
AK1,DLBC
AK2,DLBC
AK3,DLBC
AK4,DLBC
AK6,DLBC
AK9,DLBC
AKAP13,DLBC
AKAP17A,DLBC
AKAP3,DLBC
AKAP4,DLBC
AKAP5,DLBC
AKAP8L,DLBC
AKAP9,DLBC
AKIP1,DLBC
AKIRIN1,DLBC
AKIRIN2,DLBC
AKR1B15,DLBC
AKR1C2,DLBC
AKR1C4,DLBC
AKR1D1,DLBC
AKR7A3,DLBC
AKT1,DLBC
AKT2,DLBC
AKTIP,DLBC
