gene,cancer_type
A1BG,ESCA
A1CF,ESCA
AAAS,ESCA
AACS,ESCA
AADACL2,ESCA
AADAT,ESCA
AAGAB,ESCA
AAMP,ESCA
AAR2,ESCA
AARD,ESCA
AARS,ESCA
AARS2,ESCA
AASDHPPT,ESCA
AASS,ESCA
AATF,ESCA
AATK,ESCA
ABCA1,ESCA
ABCA10,ESCA
ABCA12,ESCA
ABCA13,ESCA
ABCA4,ESCA
ABCA5,ESCA
ABCA6,ESCA
ABCA9,ESCA
ABCB1,ESCA
ABCB4,ESCA
ABCB5,ESCA
ABCB7,ESCA
ABCB8,ESCA
ABCC11,ESCA
ABCC12,ESCA
ABCC2,ESCA
ABCC9,ESCA
ABCD1,ESCA
ABCD3,ESCA
ABCE1,ESCA
ABCF1,ESCA
ABCF2,ESCA
ABCG2,ESCA
ABHD10,ESCA
ABHD13,ESCA
ABHD15,ESCA
ABHD17A,ESCA
ABHD17B,ESCA
ABI1,ESCA
ABI3BP,ESCA
ABLIM1,ESCA
ABLIM3,ESCA
ABT1,ESCA
ACAA2,ESCA
ACACA,ESCA
ACAD8,ESCA
ACAD9,ESCA
ACADSB,ESCA
ACAP2,ESCA
ACAP3,ESCA
ACAT1,ESCA
ACAT2,ESCA
ACBD7,ESCA
ACCSL,ESCA
ACER1,ESCA
ACHE,ESCA
ACIN1,ESCA
ACKR4,ESCA
ACLY,ESCA
ACN9,ESCA
ACO1,ESCA
ACO2,ESCA
ACOT2,ESCA
ACOT4,ESCA
ACOT6,ESCA
ACOT9,ESCA
ACOX1,ESCA
ACOXL,ESCA
ACPL2,ESCA
ACR,ESCA
ACSL1,ESCA
ACSL3,ESCA
ACSL4,ESCA
ACSL5,ESCA
ACSM1,ESCA
ACSM3,ESCA
ACSS2,ESCA
ACTB,ESCA
ACTG1,ESCA
ACTL6A,ESCA
ACTN4,ESCA
ACTR10,ESCA
ACTR1A,ESCA
ACTR2,ESCA
ACTR3,ESCA
ACTR3B,ESCA
ACTR3C,ESCA
ACTR5,ESCA
ACTR6,ESCA
ACTR8,ESCA
ACTRT3,ESCA
ACVR1,ESCA
ACVR1B,ESCA
ACVR2A,ESCA
ACVR2B,ESCA
ACVRL1,ESCA
ADA,ESCA
ADAL,ESCA
ADAM10,ESCA
ADAM11,ESCA
ADAM17,ESCA
ADAM2,ESCA
ADAM21,ESCA
ADAM23,ESCA
ADAM32,ESCA
ADAM33,ESCA
ADAMDEC1,ESCA
ADAMTS10,ESCA
ADAMTS17,ESCA
ADAMTS2,ESCA
ADAMTS3,ESCA
ADAMTS9,ESCA
ADAMTSL4,ESCA
ADAMTSL5,ESCA
ADAP1,ESCA
ADAP2,ESCA
ADAR,ESCA
ADAT2,ESCA
ADAT3,ESCA
ADCK2,ESCA
ADCY2,ESCA
ADCY8,ESCA
ADD3,ESCA
ADH5,ESCA
ADH6,ESCA
ADHFE1,ESCA
ADI1,ESCA
ADIPOR1,ESCA
ADIPOR2,ESCA
ADK,ESCA
ADNP,ESCA
ADORA2A,ESCA
ADPGK,ESCA
ADPRHL2,ESCA
ADPRM,ESCA
ADRBK1,ESCA
ADRM1,ESCA
ADSL,ESCA
ADSS,ESCA
AFF1,ESCA
AFF2,ESCA
