gene,cancer_type
A1BG,GBM
A1CF,GBM
AAAS,GBM
AACS,GBM
AADACL2,GBM
AADAT,GBM
AAGAB,GBM
AAMP,GBM
AAR2,GBM
AARD,GBM
AARS,GBM
AARS2,GBM
AASDHPPT,GBM
AASS,GBM
AATF,GBM
AATK,GBM
ABCA1,GBM
ABCA10,GBM
ABCA12,GBM
ABCA13,GBM
ABCA4,GBM
ABCA5,GBM
ABCA6,GBM
ABCA9,GBM
ABCB1,GBM
ABCB4,GBM
ABCB5,GBM
ABCB7,GBM
ABCB8,GBM
ABCC11,GBM
ABCC12,GBM
ABCC2,GBM
ABCC9,GBM
ABCD1,GBM
ABCD3,GBM
ABCE1,GBM
ABCF1,GBM
ABCF2,GBM
ABCG2,GBM
ABHD10,GBM
ABHD13,GBM
ABHD15,GBM
ABHD17A,GBM
ABHD17B,GBM
ABI1,GBM
ABI3BP,GBM
ABLIM1,GBM
ABLIM3,GBM
ABT1,GBM
ACAA2,GBM
ACACA,GBM
ACAD8,GBM
ACAD9,GBM
ACADSB,GBM
ACAP2,GBM
ACAP3,GBM
ACAT1,GBM
ACAT2,GBM
ACBD7,GBM
ACCSL,GBM
ACER1,GBM
ACHE,GBM
ACIN1,GBM
ACKR4,GBM
ACLY,GBM
ACN9,GBM
ACO1,GBM
ACO2,GBM
ACOT2,GBM
ACOT4,GBM
ACOT6,GBM
ACOT9,GBM
ACOX1,GBM
ACOXL,GBM
ACPL2,GBM
ACR,GBM
ACSL1,GBM
ACSL3,GBM
ACSL4,GBM
ACSL5,GBM
ACSM1,GBM
ACSM3,GBM
ACSS2,GBM
ACTB,GBM
ACTG1,GBM
ACTL6A,GBM
ACTN4,GBM
ACTR10,GBM
ACTR1A,GBM
ACTR2,GBM
ACTR3,GBM
ACTR3B,GBM
ACTR3C,GBM
ACTR5,GBM
ACTR6,GBM
ACTR8,GBM
ACTRT3,GBM
ACVR1,GBM
ACVR1B,GBM
ACVR2A,GBM
ACVR2B,GBM
ACVRL1,GBM
ADA,GBM
ADAL,GBM
ADAM10,GBM
ADAM11,GBM
ADAM17,GBM
ADAM2,GBM
ADAM21,GBM
ADAM23,GBM
ADAM32,GBM
ADAM33,GBM
ADAMDEC1,GBM
