gene,cancer_type
A1BG,HNSC
A1CF,HNSC
AAAS,HNSC
AACS,HNSC
AADACL2,HNSC
AADAT,HNSC
AAGAB,HNSC
AAMP,HNSC
AAR2,HNSC
AARD,HNSC
AARS,HNSC
AARS2,HNSC
AASDHPPT,HNSC
AASS,HNSC
AATF,HNSC
AATK,HNSC
ABCA1,HNSC
ABCA10,HNSC
ABCA12,HNSC
ABCA13,HNSC
ABCA4,HNSC
ABCA5,HNSC
ABCA6,HNSC
ABCA9,HNSC
ABCB1,HNSC
ABCB4,HNSC
ABCB5,HNSC
ABCB7,HNSC
ABCB8,HNSC
ABCC11,HNSC
ABCC12,HNSC
ABCC2,HNSC
ABCC9,HNSC
ABCD1,HNSC
ABCD3,HNSC
ABCE1,HNSC
ABCF1,HNSC
ABCF2,HNSC
ABCG2,HNSC
ABHD10,HNSC
ABHD13,HNSC
ABHD15,HNSC
ABHD17A,HNSC
ABHD17B,HNSC
ABI1,HNSC
ABI3BP,HNSC
ABLIM1,HNSC
ABLIM3,HNSC
ABT1,HNSC
ACAA2,HNSC
ACACA,HNSC
ACAD8,HNSC
ACAD9,HNSC
ACADSB,HNSC
ACAP2,HNSC
ACAP3,HNSC
ACAT1,HNSC
ACAT2,HNSC
ACBD7,HNSC
ACCSL,HNSC
ACER1,HNSC
ACHE,HNSC
ACIN1,HNSC
ACKR4,HNSC
ACLY,HNSC
ACN9,HNSC
ACO1,HNSC
ACO2,HNSC
ACOT2,HNSC
ACOT4,HNSC
ACOT6,HNSC
ACOT9,HNSC
ACOX1,HNSC
ACOXL,HNSC
ACPL2,HNSC
ACR,HNSC
ACSL1,HNSC
ACSL3,HNSC
ACSL4,HNSC
ACSL5,HNSC
ACSM1,HNSC
ACSM3,HNSC
ACSS2,HNSC
ACTB,HNSC
ACTG1,HNSC
ACTL6A,HNSC
ACTN4,HNSC
ACTR10,HNSC
ACTR1A,HNSC
ACTR2,HNSC
ACTR3,HNSC
ACTR3B,HNSC
ACTR3C,HNSC
ACTR5,HNSC
ACTR6,HNSC
ACTR8,HNSC
ACTRT3,HNSC
ACVR1,HNSC
ACVR1B,HNSC
ACVR2A,HNSC
ACVR2B,HNSC
ACVRL1,HNSC
ADA,HNSC
ADAL,HNSC
ADAM10,HNSC
ADAM11,HNSC
ADAM17,HNSC
ADAM2,HNSC
ADAM21,HNSC
ADAM23,HNSC
ADAM32,HNSC
ADAM33,HNSC
ADAMDEC1,HNSC
ADAMTS10,HNSC
ADAMTS17,HNSC
ADAMTS2,HNSC
ADAMTS3,HNSC
ADAMTS9,HNSC
ADAMTSL4,HNSC
ADAMTSL5,HNSC
ADAP1,HNSC
ADAP2,HNSC
ADAR,HNSC
ADAT2,HNSC
ADAT3,HNSC
ADCK2,HNSC
ADCY2,HNSC
ADCY8,HNSC
ADD3,HNSC
ADH5,HNSC
ADH6,HNSC
ADHFE1,HNSC
ADI1,HNSC
ADIPOR1,HNSC
ADIPOR2,HNSC
ADK,HNSC
ADNP,HNSC
ADORA2A,HNSC
ADPGK,HNSC
ADPRHL2,HNSC
ADPRM,HNSC
ADRBK1,HNSC
ADRM1,HNSC
ADSL,HNSC
ADSS,HNSC
AFF1,HNSC
AFF2,HNSC
AFF4,HNSC
AFG3L2,HNSC
AFP,HNSC
AGA,HNSC
AGAP2,HNSC
AGAP3,HNSC
AGAP5,HNSC
AGAP6,HNSC
AGAP7,HNSC
AGBL3,HNSC
AGK,HNSC
AGL,HNSC
AGO3,HNSC
AGPAT1,HNSC
AGPAT2,HNSC
AGPAT3,HNSC
AGPAT4,HNSC
AGPAT5,HNSC
AGR2,HNSC
AGR3,HNSC
AGRP,HNSC
AGTPBP1,HNSC
AGTR1,HNSC
AGTR2,HNSC
AHCTF1,HNSC
AHCY,HNSC
AHCYL1,HNSC
AHCYL2,HNSC
AHI1,HNSC
AHNAK,HNSC
AHR,HNSC
AHSA1,HNSC
AIFM1,HNSC
AIFM2,HNSC
AIMP2,HNSC
AK1,HNSC
AK2,HNSC
AK3,HNSC
AK4,HNSC
AK6,HNSC
AK9,HNSC
AKAP13,HNSC
AKAP17A,HNSC
AKAP3,HNSC
AKAP4,HNSC
AKAP5,HNSC
AKAP8L,HNSC
AKAP9,HNSC
AKIP1,HNSC
AKIRIN1,HNSC
AKIRIN2,HNSC
AKR1B15,HNSC
AKR1C2,HNSC
AKR1C4,HNSC
AKR1D1,HNSC
AKR7A3,HNSC
AKT1,HNSC
AKT2,HNSC
AKTIP,HNSC
ALAD,HNSC
ALAS1,HNSC
ALAS2,HNSC
ALCAM,HNSC
ALDH16A1,HNSC
ALDH3A2,HNSC
ALDH6A1,HNSC
ALDH8A1,HNSC
ALDH9A1,HNSC
ALDOA,HNSC
ALDOC,HNSC
ALG1,HNSC
ALG10,HNSC
ALG10B,HNSC
ALG11,HNSC
ALG12,HNSC
ALG13,HNSC
ALG14,HNSC
ALG1L,HNSC
ALG2,HNSC
ALG3,HNSC
ALG5,HNSC
ALG6,HNSC
ALG8,HNSC
ALG9,HNSC
ALK,HNSC
ALKBH1,HNSC
ALKBH3,HNSC
ALKBH4,HNSC
ALKBH8,HNSC
ALLC,HNSC
ALMS1,HNSC
ALOX5,HNSC
ALPK3,HNSC
ALS2CR11,HNSC
ALX3,HNSC
ALX4,HNSC
ALYREF,HNSC
AMACR,HNSC
AMBN,HNSC
AMBRA1,HNSC
AMD1,HNSC
AMDHD2,HNSC
AMER1,HNSC
AMER3,HNSC
AMFR,HNSC
AMN,HNSC
AMPD1,HNSC
AMTN,HNSC
AMY1B,HNSC
AMY2A,HNSC
AMY2B,HNSC
AMZ2,HNSC
ANAPC1,HNSC
ANAPC10,HNSC
ANAPC11,HNSC
ANAPC13,HNSC
ANAPC15,HNSC
ANAPC16,HNSC
ANAPC2,HNSC
ANAPC4,HNSC
ANAPC5,HNSC
ANG,HNSC
ANGEL2,HNSC
ANGPT1,HNSC
ANGPTL3,HNSC
ANGPTL5,HNSC
ANK3,HNSC
ANKAR,HNSC
ANKFY1,HNSC
ANKHD1,HNSC
ANKHD1-EIF4EBP3,HNSC
ANKIB1,HNSC
ANKLE2,HNSC
ANKMY2,HNSC
ANKRA2,HNSC
ANKRD1,HNSC
ANKRD11,HNSC
ANKRD17,HNSC
ANKRD18A,HNSC
ANKRD22,HNSC
ANKRD23,HNSC
ANKRD28,HNSC
ANKRD30A,HNSC
ANKRD31,HNSC
ANKRD32,HNSC
ANKRD34B,HNSC
ANKRD34C,HNSC
ANKRD36,HNSC
ANKRD40,HNSC
ANKRD42,HNSC
ANKRD49,HNSC
ANKRD50,HNSC
ANKRD52,HNSC
ANKRD54,HNSC
ANKRD6,HNSC
ANKRD65,HNSC
ANKRD7,HNSC
ANLN,HNSC
ANO1,HNSC
ANO3,HNSC
ANP32A,HNSC
ANP32B,HNSC
ANP32E,HNSC
ANTXR1,HNSC
ANTXR2,HNSC
ANTXRL,HNSC
ANXA1,HNSC
ANXA10,HNSC
ANXA13,HNSC
ANXA2,HNSC
ANXA2R,HNSC
ANXA3,HNSC
ANXA8,HNSC
ANXA8L2,HNSC
AOAH,HNSC
AP1AR,HNSC
AP1B1,HNSC
AP1G1,HNSC
AP1M2,HNSC
AP1S2,HNSC
AP2A1,HNSC
AP2B1,HNSC
AP2M1,HNSC
AP2S1,HNSC
AP3B1,HNSC
AP3M1,HNSC
AP3M2,HNSC
AP3S1,HNSC
AP4S1,HNSC
AP5M1,HNSC
APBA1,HNSC
APBA2,HNSC
APBB1IP,HNSC
APC,HNSC
APC2,HNSC
APCS,HNSC
APEX1,HNSC
APEX2,HNSC
APH1A,HNSC
APH1B,HNSC
API5,HNSC
APIP,HNSC
APITD1,HNSC
APITD1-CORT,HNSC
APLP1,HNSC
APLP2,HNSC
APMAP,HNSC
APOBEC3A,HNSC
APOBEC3D,HNSC
APOBEC4,HNSC
APOC2,HNSC
APOE,HNSC
APOH,HNSC
APOL2,HNSC
APOOL,HNSC
APPBP2,HNSC
APPL2,HNSC
APRT,HNSC
APTX,HNSC
AQP1,HNSC
AQP10,HNSC
AQP12B,HNSC
AQP7,HNSC
AQP9,HNSC
AQR,HNSC
AR,HNSC
ARAP1,HNSC
ARAP2,HNSC
ARCN1,HNSC
ARF1,HNSC
ARF3,HNSC
ARF4,HNSC
ARF6,HNSC
ARFGAP1,HNSC
ARFGEF1,HNSC
ARFIP1,HNSC
ARFRP1,HNSC
ARGLU1,HNSC
ARHGAP1,HNSC
ARHGAP11A,HNSC
ARHGAP11B,HNSC
ARHGAP19,HNSC
ARHGAP21,HNSC
ARHGAP24,HNSC
ARHGAP26,HNSC
ARHGAP29,HNSC
ARHGAP30,HNSC
ARHGAP35,HNSC
ARHGAP5,HNSC
ARHGAP6,HNSC
ARHGAP8,HNSC
ARHGDIB,HNSC
ARHGEF11,HNSC
ARHGEF12,HNSC
ARHGEF2,HNSC
ARHGEF25,HNSC
ARHGEF3,HNSC
ARHGEF33,HNSC
ARHGEF35,HNSC
ARHGEF38,HNSC
ARHGEF5,HNSC
ARHGEF7,HNSC
ARHGEF9,HNSC
ARID1A,HNSC
ARID1B,HNSC
ARID2,HNSC
ARID3A,HNSC
ARID3B,HNSC
ARID4A,HNSC
ARID4B,HNSC
ARID5A,HNSC
ARIH1,HNSC
ARIH2,HNSC
ARL1,HNSC
ARL10,HNSC
ARL11,HNSC
ARL13B,HNSC
ARL14,HNSC
ARL14EP,HNSC
ARL14EPL,HNSC
ARL15,HNSC
ARL2,HNSC
ARL2BP,HNSC
ARL3,HNSC
ARL4A,HNSC
ARL5A,HNSC
ARL5B,HNSC
ARL6IP1,HNSC
ARL6IP6,HNSC
ARL8B,HNSC
ARMC1,HNSC
ARMC10,HNSC
ARMC2,HNSC
ARMC5,HNSC
ARMC7,HNSC
ARMC9,HNSC
ARMCX1,HNSC
ARMCX3,HNSC
ARMCX5,HNSC
ARMCX6,HNSC
ARNT,HNSC
ARNTL,HNSC
ARPC1A,HNSC
ARPC2,HNSC
ARPC3,HNSC
ARPC4,HNSC
ARPC5,HNSC
ARPP19,HNSC
ARRB1,HNSC
ARRB2,HNSC
ARRDC4,HNSC
ARSB,HNSC
