gene,cancer_type
A1BG,KICH
A1CF,KICH
AAAS,KICH
AACS,KICH
AADACL2,KICH
AADAT,KICH
AAGAB,KICH
AAMP,KICH
AAR2,KICH
AARD,KICH
AARS,KICH
AARS2,KICH
AASDHPPT,KICH
AASS,KICH
AATF,KICH
AATK,KICH
ABCA1,KICH
ABCA10,KICH
ABCA12,KICH
ABCA13,KICH
ABCA4,KICH
ABCA5,KICH
ABCA6,KICH
ABCA9,KICH
ABCB1,KICH
ABCB4,KICH
ABCB5,KICH
ABCB7,KICH
ABCB8,KICH
ABCC11,KICH
ABCC12,KICH
ABCC2,KICH
ABCC9,KICH
ABCD1,KICH
ABCD3,KICH
ABCE1,KICH
ABCF1,KICH
ABCF2,KICH
ABCG2,KICH
ABHD10,KICH
ABHD13,KICH
ABHD15,KICH
ABHD17A,KICH
ABHD17B,KICH
ABI1,KICH
ABI3BP,KICH
ABLIM1,KICH
ABLIM3,KICH
ABT1,KICH
ACAA2,KICH
ACACA,KICH
ACAD8,KICH
ACAD9,KICH
ACADSB,KICH
ACAP2,KICH
ACAP3,KICH
ACAT1,KICH
ACAT2,KICH
ACBD7,KICH
ACCSL,KICH
ACER1,KICH
ACHE,KICH
ACIN1,KICH
ACKR4,KICH
ACLY,KICH
ACN9,KICH
ACO1,KICH
ACO2,KICH
ACOT2,KICH
ACOT4,KICH
ACOT6,KICH
ACOT9,KICH
ACOX1,KICH
ACOXL,KICH
ACPL2,KICH
ACR,KICH
ACSL1,KICH
ACSL3,KICH
ACSL4,KICH
ACSL5,KICH
ACSM1,KICH
ACSM3,KICH
ACSS2,KICH
ACTB,KICH
ACTG1,KICH
ACTL6A,KICH
ACTN4,KICH
ACTR10,KICH
ACTR1A,KICH
ACTR2,KICH
ACTR3,KICH
ACTR3B,KICH
ACTR3C,KICH
ACTR5,KICH
ACTR6,KICH
ACTR8,KICH
ACTRT3,KICH
ACVR1,KICH
ACVR1B,KICH
ACVR2A,KICH
ACVR2B,KICH
ACVRL1,KICH
ADA,KICH
ADAL,KICH
ADAM10,KICH
ADAM11,KICH
ADAM17,KICH
ADAM2,KICH
ADAM21,KICH
ADAM23,KICH
ADAM32,KICH
ADAM33,KICH
ADAMDEC1,KICH
