gene,cancer_type
A1BG,KIRC
A1CF,KIRC
AAAS,KIRC
AACS,KIRC
AADACL2,KIRC
AADAT,KIRC
AAGAB,KIRC
AAMP,KIRC
AAR2,KIRC
AARD,KIRC
AARS,KIRC
AARS2,KIRC
AASDHPPT,KIRC
AASS,KIRC
AATF,KIRC
AATK,KIRC
ABCA1,KIRC
ABCA10,KIRC
ABCA12,KIRC
ABCA13,KIRC
ABCA4,KIRC
ABCA5,KIRC
ABCA6,KIRC
ABCA9,KIRC
ABCB1,KIRC
ABCB4,KIRC
ABCB5,KIRC
ABCB7,KIRC
ABCB8,KIRC
ABCC11,KIRC
ABCC12,KIRC
ABCC2,KIRC
ABCC9,KIRC
ABCD1,KIRC
ABCD3,KIRC
ABCE1,KIRC
ABCF1,KIRC
ABCF2,KIRC
ABCG2,KIRC
ABHD10,KIRC
ABHD13,KIRC
ABHD15,KIRC
ABHD17A,KIRC
ABHD17B,KIRC
ABI1,KIRC
ABI3BP,KIRC
ABLIM1,KIRC
ABLIM3,KIRC
ABT1,KIRC
ACAA2,KIRC
ACACA,KIRC
ACAD8,KIRC
ACAD9,KIRC
ACADSB,KIRC
ACAP2,KIRC
ACAP3,KIRC
ACAT1,KIRC
ACAT2,KIRC
ACBD7,KIRC
ACCSL,KIRC
ACER1,KIRC
ACHE,KIRC
ACIN1,KIRC
ACKR4,KIRC
ACLY,KIRC
ACN9,KIRC
ACO1,KIRC
ACO2,KIRC
ACOT2,KIRC
ACOT4,KIRC
ACOT6,KIRC
ACOT9,KIRC
ACOX1,KIRC
ACOXL,KIRC
ACPL2,KIRC
ACR,KIRC
ACSL1,KIRC
ACSL3,KIRC
ACSL4,KIRC
ACSL5,KIRC
ACSM1,KIRC
ACSM3,KIRC
ACSS2,KIRC
ACTB,KIRC
ACTG1,KIRC
ACTL6A,KIRC
ACTN4,KIRC
ACTR10,KIRC
ACTR1A,KIRC
ACTR2,KIRC
ACTR3,KIRC
ACTR3B,KIRC
ACTR3C,KIRC
ACTR5,KIRC
ACTR6,KIRC
ACTR8,KIRC
ACTRT3,KIRC
ACVR1,KIRC
ACVR1B,KIRC
ACVR2A,KIRC
ACVR2B,KIRC
ACVRL1,KIRC
ADA,KIRC
ADAL,KIRC
ADAM10,KIRC
ADAM11,KIRC
ADAM17,KIRC
ADAM2,KIRC
ADAM21,KIRC
ADAM23,KIRC
ADAM32,KIRC
ADAM33,KIRC
ADAMDEC1,KIRC
ADAMTS10,KIRC
ADAMTS17,KIRC
ADAMTS2,KIRC
ADAMTS3,KIRC
ADAMTS9,KIRC
ADAMTSL4,KIRC
ADAMTSL5,KIRC
ADAP1,KIRC
ADAP2,KIRC
ADAR,KIRC
ADAT2,KIRC
ADAT3,KIRC
ADCK2,KIRC
ADCY2,KIRC
ADCY8,KIRC
ADD3,KIRC
ADH5,KIRC
ADH6,KIRC
ADHFE1,KIRC
ADI1,KIRC
ADIPOR1,KIRC
ADIPOR2,KIRC
ADK,KIRC
ADNP,KIRC
ADORA2A,KIRC
ADPGK,KIRC
ADPRHL2,KIRC
ADPRM,KIRC
ADRBK1,KIRC
ADRM1,KIRC
ADSL,KIRC
ADSS,KIRC
AFF1,KIRC
AFF2,KIRC
AFF4,KIRC
AFG3L2,KIRC
AFP,KIRC
AGA,KIRC
AGAP2,KIRC
AGAP3,KIRC
AGAP5,KIRC
AGAP6,KIRC
AGAP7,KIRC
AGBL3,KIRC
AGK,KIRC
AGL,KIRC
AGO3,KIRC
AGPAT1,KIRC
AGPAT2,KIRC
AGPAT3,KIRC
AGPAT4,KIRC
AGPAT5,KIRC
AGR2,KIRC
AGR3,KIRC
AGRP,KIRC
AGTPBP1,KIRC
AGTR1,KIRC
AGTR2,KIRC
AHCTF1,KIRC
AHCY,KIRC
AHCYL1,KIRC
AHCYL2,KIRC
AHI1,KIRC
AHNAK,KIRC
AHR,KIRC
AHSA1,KIRC
AIFM1,KIRC
AIFM2,KIRC
AIMP2,KIRC
AK1,KIRC
AK2,KIRC
AK3,KIRC
AK4,KIRC
AK6,KIRC
AK9,KIRC
AKAP13,KIRC
AKAP17A,KIRC
AKAP3,KIRC
AKAP4,KIRC
AKAP5,KIRC
AKAP8L,KIRC
AKAP9,KIRC
AKIP1,KIRC
AKIRIN1,KIRC
AKIRIN2,KIRC
AKR1B15,KIRC
AKR1C2,KIRC
AKR1C4,KIRC
AKR1D1,KIRC
AKR7A3,KIRC
AKT1,KIRC
AKT2,KIRC
AKTIP,KIRC
ALAD,KIRC
ALAS1,KIRC
ALAS2,KIRC
ALCAM,KIRC
ALDH16A1,KIRC
ALDH3A2,KIRC
ALDH6A1,KIRC
ALDH8A1,KIRC
ALDH9A1,KIRC
ALDOA,KIRC
ALDOC,KIRC
ALG1,KIRC
ALG10,KIRC
ALG10B,KIRC
ALG11,KIRC
ALG12,KIRC
ALG13,KIRC
ALG14,KIRC
ALG1L,KIRC
ALG2,KIRC
ALG3,KIRC
ALG5,KIRC
ALG6,KIRC
ALG8,KIRC
