gene,cancer_type
A1BG,KIRP
A1CF,KIRP
AAAS,KIRP
AACS,KIRP
AADACL2,KIRP
AADAT,KIRP
AAGAB,KIRP
AAMP,KIRP
AAR2,KIRP
AARD,KIRP
AARS,KIRP
AARS2,KIRP
AASDHPPT,KIRP
AASS,KIRP
AATF,KIRP
AATK,KIRP
ABCA1,KIRP
ABCA10,KIRP
ABCA12,KIRP
ABCA13,KIRP
ABCA4,KIRP
ABCA5,KIRP
ABCA6,KIRP
ABCA9,KIRP
ABCB1,KIRP
ABCB4,KIRP
ABCB5,KIRP
ABCB7,KIRP
ABCB8,KIRP
ABCC11,KIRP
ABCC12,KIRP
ABCC2,KIRP
ABCC9,KIRP
ABCD1,KIRP
ABCD3,KIRP
ABCE1,KIRP
ABCF1,KIRP
ABCF2,KIRP
ABCG2,KIRP
ABHD10,KIRP
ABHD13,KIRP
ABHD15,KIRP
ABHD17A,KIRP
ABHD17B,KIRP
ABI1,KIRP
ABI3BP,KIRP
ABLIM1,KIRP
ABLIM3,KIRP
ABT1,KIRP
ACAA2,KIRP
ACACA,KIRP
ACAD8,KIRP
ACAD9,KIRP
ACADSB,KIRP
ACAP2,KIRP
ACAP3,KIRP
ACAT1,KIRP
ACAT2,KIRP
ACBD7,KIRP
ACCSL,KIRP
ACER1,KIRP
ACHE,KIRP
ACIN1,KIRP
ACKR4,KIRP
ACLY,KIRP
ACN9,KIRP
ACO1,KIRP
ACO2,KIRP
ACOT2,KIRP
ACOT4,KIRP
ACOT6,KIRP
ACOT9,KIRP
ACOX1,KIRP
ACOXL,KIRP
ACPL2,KIRP
ACR,KIRP
ACSL1,KIRP
ACSL3,KIRP
ACSL4,KIRP
ACSL5,KIRP
ACSM1,KIRP
ACSM3,KIRP
ACSS2,KIRP
ACTB,KIRP
ACTG1,KIRP
ACTL6A,KIRP
ACTN4,KIRP
ACTR10,KIRP
ACTR1A,KIRP
ACTR2,KIRP
ACTR3,KIRP
ACTR3B,KIRP
ACTR3C,KIRP
ACTR5,KIRP
ACTR6,KIRP
ACTR8,KIRP
ACTRT3,KIRP
ACVR1,KIRP
ACVR1B,KIRP
ACVR2A,KIRP
ACVR2B,KIRP
ACVRL1,KIRP
ADA,KIRP
ADAL,KIRP
ADAM10,KIRP
ADAM11,KIRP
ADAM17,KIRP
ADAM2,KIRP
ADAM21,KIRP
ADAM23,KIRP
ADAM32,KIRP
ADAM33,KIRP
ADAMDEC1,KIRP
ADAMTS10,KIRP
ADAMTS17,KIRP
ADAMTS2,KIRP
ADAMTS3,KIRP
ADAMTS9,KIRP
ADAMTSL4,KIRP
ADAMTSL5,KIRP
ADAP1,KIRP
ADAP2,KIRP
ADAR,KIRP
ADAT2,KIRP
ADAT3,KIRP
ADCK2,KIRP
ADCY2,KIRP
ADCY8,KIRP
ADD3,KIRP
ADH5,KIRP
ADH6,KIRP
ADHFE1,KIRP
ADI1,KIRP
ADIPOR1,KIRP
ADIPOR2,KIRP
ADK,KIRP
ADNP,KIRP
ADORA2A,KIRP
ADPGK,KIRP
ADPRHL2,KIRP
ADPRM,KIRP
ADRBK1,KIRP
ADRM1,KIRP
ADSL,KIRP
ADSS,KIRP
AFF1,KIRP
AFF2,KIRP
AFF4,KIRP
AFG3L2,KIRP
AFP,KIRP
AGA,KIRP
AGAP2,KIRP
AGAP3,KIRP
AGAP5,KIRP
AGAP6,KIRP
AGAP7,KIRP
AGBL3,KIRP
AGK,KIRP
AGL,KIRP
AGO3,KIRP
AGPAT1,KIRP
AGPAT2,KIRP
AGPAT3,KIRP
AGPAT4,KIRP
AGPAT5,KIRP
AGR2,KIRP
AGR3,KIRP
AGRP,KIRP
AGTPBP1,KIRP
AGTR1,KIRP
AGTR2,KIRP
AHCTF1,KIRP
AHCY,KIRP
AHCYL1,KIRP
AHCYL2,KIRP
AHI1,KIRP
AHNAK,KIRP
AHR,KIRP
AHSA1,KIRP
AIFM1,KIRP
AIFM2,KIRP
AIMP2,KIRP
AK1,KIRP
AK2,KIRP
AK3,KIRP
AK4,KIRP
AK6,KIRP
AK9,KIRP
AKAP13,KIRP
AKAP17A,KIRP
AKAP3,KIRP
AKAP4,KIRP
AKAP5,KIRP
AKAP8L,KIRP
AKAP9,KIRP
AKIP1,KIRP
AKIRIN1,KIRP
AKIRIN2,KIRP
AKR1B15,KIRP
AKR1C2,KIRP
AKR1C4,KIRP
AKR1D1,KIRP
AKR7A3,KIRP
AKT1,KIRP
AKT2,KIRP
AKTIP,KIRP
ALAD,KIRP
ALAS1,KIRP
ALAS2,KIRP
ALCAM,KIRP
ALDH16A1,KIRP
ALDH3A2,KIRP
ALDH6A1,KIRP
ALDH8A1,KIRP
ALDH9A1,KIRP
ALDOA,KIRP
ALDOC,KIRP
ALG1,KIRP
ALG10,KIRP
ALG10B,KIRP
ALG11,KIRP
ALG12,KIRP
ALG13,KIRP
ALG14,KIRP
ALG1L,KIRP
ALG2,KIRP
ALG3,KIRP
ALG5,KIRP
ALG6,KIRP
ALG8,KIRP
ALG9,KIRP
ALK,KIRP
ALKBH1,KIRP
ALKBH3,KIRP
ALKBH4,KIRP
ALKBH8,KIRP
ALLC,KIRP
ALMS1,KIRP
ALOX5,KIRP
ALPK3,KIRP
ALS2CR11,KIRP
ALX3,KIRP
ALX4,KIRP
ALYREF,KIRP
AMACR,KIRP
AMBN,KIRP
AMBRA1,KIRP
AMD1,KIRP
AMDHD2,KIRP
AMER1,KIRP
AMER3,KIRP
AMFR,KIRP
AMN,KIRP
AMPD1,KIRP
AMTN,KIRP
AMY1B,KIRP
AMY2A,KIRP
AMY2B,KIRP
AMZ2,KIRP
ANAPC1,KIRP
ANAPC10,KIRP
ANAPC11,KIRP
ANAPC13,KIRP
ANAPC15,KIRP
ANAPC16,KIRP
ANAPC2,KIRP
ANAPC4,KIRP
ANAPC5,KIRP
ANG,KIRP
ANGEL2,KIRP
ANGPT1,KIRP
ANGPTL3,KIRP
ANGPTL5,KIRP
ANK3,KIRP
ANKAR,KIRP
ANKFY1,KIRP
ANKHD1,KIRP
ANKHD1-EIF4EBP3,KIRP
ANKIB1,KIRP
ANKLE2,KIRP
ANKMY2,KIRP
ANKRA2,KIRP
ANKRD1,KIRP
ANKRD11,KIRP
ANKRD17,KIRP
ANKRD18A,KIRP
ANKRD22,KIRP
ANKRD23,KIRP
ANKRD28,KIRP
ANKRD30A,KIRP
ANKRD31,KIRP
ANKRD32,KIRP
ANKRD34B,KIRP
ANKRD34C,KIRP
ANKRD36,KIRP
ANKRD40,KIRP
ANKRD42,KIRP
ANKRD49,KIRP
ANKRD50,KIRP
ANKRD52,KIRP
ANKRD54,KIRP
ANKRD6,KIRP
ANKRD65,KIRP
ANKRD7,KIRP
ANLN,KIRP
ANO1,KIRP
ANO3,KIRP
ANP32A,KIRP
ANP32B,KIRP
ANP32E,KIRP
ANTXR1,KIRP
ANTXR2,KIRP
ANTXRL,KIRP
ANXA1,KIRP
ANXA10,KIRP
ANXA13,KIRP
ANXA2,KIRP
ANXA2R,KIRP
ANXA3,KIRP
ANXA8,KIRP
ANXA8L2,KIRP
AOAH,KIRP
AP1AR,KIRP
AP1B1,KIRP
AP1G1,KIRP
AP1M2,KIRP
AP1S2,KIRP
AP2A1,KIRP
AP2B1,KIRP
AP2M1,KIRP
AP2S1,KIRP
AP3B1,KIRP
AP3M1,KIRP
AP3M2,KIRP
AP3S1,KIRP
AP4S1,KIRP
AP5M1,KIRP
APBA1,KIRP
APBA2,KIRP
APBB1IP,KIRP
APC,KIRP
APC2,KIRP
APCS,KIRP
APEX1,KIRP
APEX2,KIRP
APH1A,KIRP
APH1B,KIRP
API5,KIRP
APIP,KIRP
APITD1,KIRP
APITD1-CORT,KIRP
APLP1,KIRP
APLP2,KIRP
APMAP,KIRP
APOBEC3A,KIRP
APOBEC3D,KIRP
APOBEC4,KIRP
APOC2,KIRP
APOE,KIRP
APOH,KIRP
APOL2,KIRP
APOOL,KIRP
APPBP2,KIRP
APPL2,KIRP
APRT,KIRP
APTX,KIRP
AQP1,KIRP
AQP10,KIRP
AQP12B,KIRP
AQP7,KIRP
AQP9,KIRP
AQR,KIRP
AR,KIRP
ARAP1,KIRP
ARAP2,KIRP
ARCN1,KIRP
ARF1,KIRP
ARF3,KIRP
ARF4,KIRP
ARF6,KIRP
ARFGAP1,KIRP
ARFGEF1,KIRP
ARFIP1,KIRP
ARFRP1,KIRP
ARGLU1,KIRP
ARHGAP1,KIRP
ARHGAP11A,KIRP
ARHGAP11B,KIRP
ARHGAP19,KIRP
ARHGAP21,KIRP
ARHGAP24,KIRP
ARHGAP26,KIRP
ARHGAP29,KIRP
ARHGAP30,KIRP
ARHGAP35,KIRP
ARHGAP5,KIRP
ARHGAP6,KIRP
ARHGAP8,KIRP
ARHGDIB,KIRP
ARHGEF11,KIRP
ARHGEF12,KIRP
ARHGEF2,KIRP
ARHGEF25,KIRP
ARHGEF3,KIRP
ARHGEF33,KIRP
ARHGEF35,KIRP
ARHGEF38,KIRP
ARHGEF5,KIRP
ARHGEF7,KIRP
ARHGEF9,KIRP
ARID1A,KIRP
ARID1B,KIRP
ARID2,KIRP
ARID3A,KIRP
ARID3B,KIRP
ARID4A,KIRP
ARID4B,KIRP
ARID5A,KIRP
ARIH1,KIRP
ARIH2,KIRP
ARL1,KIRP
ARL10,KIRP
ARL11,KIRP
ARL13B,KIRP
ARL14,KIRP
ARL14EP,KIRP
ARL14EPL,KIRP
ARL15,KIRP
ARL2,KIRP
ARL2BP,KIRP
ARL3,KIRP
ARL4A,KIRP
ARL5A,KIRP
ARL5B,KIRP
ARL6IP1,KIRP
ARL6IP6,KIRP
ARL8B,KIRP
ARMC1,KIRP
ARMC10,KIRP
ARMC2,KIRP
ARMC5,KIRP
ARMC7,KIRP
ARMC9,KIRP
ARMCX1,KIRP
ARMCX3,KIRP
ARMCX5,KIRP
ARMCX6,KIRP
ARNT,KIRP
ARNTL,KIRP
ARPC1A,KIRP
ARPC2,KIRP
ARPC3,KIRP
ARPC4,KIRP
ARPC5,KIRP
ARPP19,KIRP
ARRB1,KIRP
ARRB2,KIRP
ARRDC4,KIRP
ARSB,KIRP
ARSK,KIRP
ART3,KIRP
ARTN,KIRP
ARV1,KIRP
AS3MT,KIRP
ASAH1,KIRP
ASB17,KIRP
ASB3,KIRP
ASB6,KIRP
ASB7,KIRP
ASCC1,KIRP
ASCC3,KIRP
ASCL1,KIRP
ASCL2,KIRP
ASF1A,KIRP
ASF1B,KIRP
ASH2L,KIRP
ASIC1,KIRP
ASIP,KIRP
ASMT,KIRP
ASNA1,KIRP
ASNS,KIRP
ASNSD1,KIRP
ASPDH,KIRP
ASPHD2,KIRP
ASPM,KIRP
ASTL,KIRP
ASUN,KIRP
ASXL3,KIRP
ATAD1,KIRP
ATAD2,KIRP
ATAD3A,KIRP
ATAD5,KIRP
ATAT1,KIRP
ATF1,KIRP
ATF2,KIRP
ATF4,KIRP
ATF5,KIRP
ATF6,KIRP
ATF7,KIRP
ATF7IP,KIRP
ATG10,KIRP
ATG12,KIRP
ATG13,KIRP
ATG14,KIRP
ATG2B,KIRP
ATG3,KIRP
ATG4C,KIRP
ATG5,KIRP
ATG9A,KIRP
ATHL1,KIRP
ATIC,KIRP
ATL1,KIRP
ATL2,KIRP
ATL3,KIRP
ATM,KIRP
ATMIN,KIRP
ATOH1,KIRP
ATOX1,KIRP
ATP10A,KIRP
ATP10D,KIRP
ATP11B,KIRP
ATP11C,KIRP
ATP13A1,KIRP
ATP1A1,KIRP
ATP1B1,KIRP
ATP1B3,KIRP
ATP2A2,KIRP
ATP2B1,KIRP
ATP2B4,KIRP
ATP2C1,KIRP
ATP5A1,KIRP
ATP5B,KIRP
ATP5C1,KIRP
ATP5D,KIRP
ATP5F1,KIRP
ATP5G1,KIRP
ATP5G2,KIRP
ATP5H,KIRP
ATP5I,KIRP
ATP5J,KIRP
ATP5J2,KIRP
ATP5J2-PTCD1,KIRP
ATP5L,KIRP
ATP5L2,KIRP
ATP5O,KIRP
ATP5SL,KIRP
ATP6AP1,KIRP
ATP6AP1L,KIRP
ATP6AP2,KIRP
ATP6V0A1,KIRP
ATP6V0B,KIRP
ATP6V0C,KIRP
ATP6V0D1,KIRP
ATP6V0D2,KIRP
ATP6V0E1,KIRP
ATP6V0E2,KIRP
ATP6V1A,KIRP
ATP6V1B2,KIRP
ATP6V1C1,KIRP
ATP6V1D,KIRP
ATP6V1E1,KIRP
ATP6V1F,KIRP
ATP6V1G1,KIRP
ATP6V1G3,KIRP
ATP6V1H,KIRP
ATP7A,KIRP
ATP8A1,KIRP
ATP8A2,KIRP
ATP8B2,KIRP
ATPAF2,KIRP
ATPIF1,KIRP
ATR,KIRP
ATRIP,KIRP
ATRN,KIRP
ATRX,KIRP
ATXN10,KIRP
