gene,cancer_type
A1BG,LAML
A1CF,LAML
AAAS,LAML
AACS,LAML
AADACL2,LAML
AADAT,LAML
AAGAB,LAML
AAMP,LAML
AAR2,LAML
AARD,LAML
AARS,LAML
AARS2,LAML
AASDHPPT,LAML
AASS,LAML
AATF,LAML
AATK,LAML
ABCA1,LAML
ABCA10,LAML
ABCA12,LAML
ABCA13,LAML
ABCA4,LAML
ABCA5,LAML
ABCA6,LAML
ABCA9,LAML
ABCB1,LAML
ABCB4,LAML
ABCB5,LAML
ABCB7,LAML
ABCB8,LAML
ABCC11,LAML
ABCC12,LAML
ABCC2,LAML
ABCC9,LAML
ABCD1,LAML
ABCD3,LAML
ABCE1,LAML
ABCF1,LAML
ABCF2,LAML
ABCG2,LAML
ABHD10,LAML
ABHD13,LAML
ABHD15,LAML
ABHD17A,LAML
ABHD17B,LAML
ABI1,LAML
ABI3BP,LAML
ABLIM1,LAML
ABLIM3,LAML
ABT1,LAML
ACAA2,LAML
ACACA,LAML
ACAD8,LAML
ACAD9,LAML
ACADSB,LAML
ACAP2,LAML
ACAP3,LAML
ACAT1,LAML
ACAT2,LAML
ACBD7,LAML
ACCSL,LAML
ACER1,LAML
ACHE,LAML
ACIN1,LAML
ACKR4,LAML
ACLY,LAML
ACN9,LAML
ACO1,LAML
ACO2,LAML
ACOT2,LAML
ACOT4,LAML
ACOT6,LAML
ACOT9,LAML
ACOX1,LAML
ACOXL,LAML
ACPL2,LAML
ACR,LAML
ACSL1,LAML
ACSL3,LAML
ACSL4,LAML
ACSL5,LAML
ACSM1,LAML
ACSM3,LAML
ACSS2,LAML
ACTB,LAML
ACTG1,LAML
ACTL6A,LAML
ACTN4,LAML
ACTR10,LAML
ACTR1A,LAML
ACTR2,LAML
ACTR3,LAML
ACTR3B,LAML
ACTR3C,LAML
ACTR5,LAML
ACTR6,LAML
ACTR8,LAML
ACTRT3,LAML
ACVR1,LAML
ACVR1B,LAML
ACVR2A,LAML
ACVR2B,LAML
ACVRL1,LAML
ADA,LAML
ADAL,LAML
ADAM10,LAML
ADAM11,LAML
ADAM17,LAML
ADAM2,LAML
ADAM21,LAML
ADAM23,LAML
ADAM32,LAML
ADAM33,LAML
ADAMDEC1,LAML
ADAMTS10,LAML
ADAMTS17,LAML
ADAMTS2,LAML
ADAMTS3,LAML
ADAMTS9,LAML
ADAMTSL4,LAML
ADAMTSL5,LAML
ADAP1,LAML
ADAP2,LAML
ADAR,LAML
ADAT2,LAML
ADAT3,LAML
ADCK2,LAML
ADCY2,LAML
ADCY8,LAML
ADD3,LAML
ADH5,LAML
ADH6,LAML
ADHFE1,LAML
ADI1,LAML
ADIPOR1,LAML
ADIPOR2,LAML
ADK,LAML
ADNP,LAML
ADORA2A,LAML
ADPGK,LAML
ADPRHL2,LAML
ADPRM,LAML
ADRBK1,LAML
ADRM1,LAML
ADSL,LAML
ADSS,LAML
AFF1,LAML
AFF2,LAML
AFF4,LAML
AFG3L2,LAML
AFP,LAML
AGA,LAML
AGAP2,LAML
AGAP3,LAML
AGAP5,LAML
AGAP6,LAML
AGAP7,LAML
AGBL3,LAML
AGK,LAML
AGL,LAML
AGO3,LAML
AGPAT1,LAML
AGPAT2,LAML
AGPAT3,LAML
AGPAT4,LAML
AGPAT5,LAML
AGR2,LAML
AGR3,LAML
AGRP,LAML
AGTPBP1,LAML
AGTR1,LAML
AGTR2,LAML
AHCTF1,LAML
AHCY,LAML
AHCYL1,LAML
AHCYL2,LAML
AHI1,LAML
AHNAK,LAML
AHR,LAML
AHSA1,LAML
AIFM1,LAML
AIFM2,LAML
AIMP2,LAML
AK1,LAML
AK2,LAML
AK3,LAML
AK4,LAML
AK6,LAML
AK9,LAML
AKAP13,LAML
AKAP17A,LAML
AKAP3,LAML
AKAP4,LAML
AKAP5,LAML
AKAP8L,LAML
AKAP9,LAML
AKIP1,LAML
AKIRIN1,LAML
AKIRIN2,LAML
AKR1B15,LAML
AKR1C2,LAML
AKR1C4,LAML
AKR1D1,LAML
AKR7A3,LAML
AKT1,LAML
AKT2,LAML
AKTIP,LAML
ALAD,LAML
ALAS1,LAML
ALAS2,LAML
ALCAM,LAML
ALDH16A1,LAML
ALDH3A2,LAML
ALDH6A1,LAML
ALDH8A1,LAML
ALDH9A1,LAML
ALDOA,LAML
ALDOC,LAML
ALG1,LAML
ALG10,LAML
ALG10B,LAML
ALG11,LAML
ALG12,LAML
ALG13,LAML
ALG14,LAML
ALG1L,LAML
ALG2,LAML
ALG3,LAML
ALG5,LAML
ALG6,LAML
ALG8,LAML
ALG9,LAML
ALK,LAML
ALKBH1,LAML
ALKBH3,LAML
ALKBH4,LAML
ALKBH8,LAML
ALLC,LAML
ALMS1,LAML
ALOX5,LAML
ALPK3,LAML
ALS2CR11,LAML
ALX3,LAML
ALX4,LAML
ALYREF,LAML
AMACR,LAML
AMBN,LAML
AMBRA1,LAML
AMD1,LAML
AMDHD2,LAML
AMER1,LAML
AMER3,LAML
AMFR,LAML
AMN,LAML
AMPD1,LAML
AMTN,LAML
AMY1B,LAML
AMY2A,LAML
AMY2B,LAML
AMZ2,LAML
ANAPC1,LAML
ANAPC10,LAML
ANAPC11,LAML
ANAPC13,LAML
ANAPC15,LAML
ANAPC16,LAML
ANAPC2,LAML
ANAPC4,LAML
ANAPC5,LAML
ANG,LAML
ANGEL2,LAML
ANGPT1,LAML
ANGPTL3,LAML
ANGPTL5,LAML
ANK3,LAML
ANKAR,LAML
ANKFY1,LAML
ANKHD1,LAML
ANKHD1-EIF4EBP3,LAML
ANKIB1,LAML
ANKLE2,LAML
ANKMY2,LAML
ANKRA2,LAML
ANKRD1,LAML
ANKRD11,LAML
ANKRD17,LAML
ANKRD18A,LAML
ANKRD22,LAML
ANKRD23,LAML
ANKRD28,LAML
ANKRD30A,LAML
ANKRD31,LAML
ANKRD32,LAML
ANKRD34B,LAML
ANKRD34C,LAML
ANKRD36,LAML
ANKRD40,LAML
ANKRD42,LAML
ANKRD49,LAML
ANKRD50,LAML
ANKRD52,LAML
ANKRD54,LAML
ANKRD6,LAML
ANKRD65,LAML
ANKRD7,LAML
ANLN,LAML
ANO1,LAML
ANO3,LAML
ANP32A,LAML
ANP32B,LAML
ANP32E,LAML
ANTXR1,LAML
ANTXR2,LAML
ANTXRL,LAML
ANXA1,LAML
ANXA10,LAML
ANXA13,LAML
ANXA2,LAML
ANXA2R,LAML
ANXA3,LAML
ANXA8,LAML
ANXA8L2,LAML
AOAH,LAML
AP1AR,LAML
AP1B1,LAML
AP1G1,LAML
AP1M2,LAML
AP1S2,LAML
AP2A1,LAML
AP2B1,LAML
AP2M1,LAML
AP2S1,LAML
AP3B1,LAML
AP3M1,LAML
AP3M2,LAML
AP3S1,LAML
AP4S1,LAML
AP5M1,LAML
APBA1,LAML
APBA2,LAML
APBB1IP,LAML
APC,LAML
APC2,LAML
APCS,LAML
APEX1,LAML
APEX2,LAML
APH1A,LAML
APH1B,LAML
API5,LAML
APIP,LAML
APITD1,LAML
APITD1-CORT,LAML
APLP1,LAML
APLP2,LAML
APMAP,LAML
APOBEC3A,LAML
APOBEC3D,LAML
APOBEC4,LAML
APOC2,LAML
APOE,LAML
APOH,LAML
APOL2,LAML
APOOL,LAML
APPBP2,LAML
APPL2,LAML
APRT,LAML
APTX,LAML
AQP1,LAML
AQP10,LAML
AQP12B,LAML
AQP7,LAML
AQP9,LAML
AQR,LAML
AR,LAML
ARAP1,LAML
ARAP2,LAML
ARCN1,LAML
ARF1,LAML
ARF3,LAML
ARF4,LAML
ARF6,LAML
ARFGAP1,LAML
ARFGEF1,LAML
ARFIP1,LAML
ARFRP1,LAML
ARGLU1,LAML
ARHGAP1,LAML
ARHGAP11A,LAML
ARHGAP11B,LAML
ARHGAP19,LAML
ARHGAP21,LAML
ARHGAP24,LAML
ARHGAP26,LAML
ARHGAP29,LAML
ARHGAP30,LAML
ARHGAP35,LAML
ARHGAP5,LAML
ARHGAP6,LAML
ARHGAP8,LAML
ARHGDIB,LAML
ARHGEF11,LAML
ARHGEF12,LAML
ARHGEF2,LAML
ARHGEF25,LAML
ARHGEF3,LAML
ARHGEF33,LAML
ARHGEF35,LAML
ARHGEF38,LAML
ARHGEF5,LAML
ARHGEF7,LAML
ARHGEF9,LAML
ARID1A,LAML
ARID1B,LAML
ARID2,LAML
ARID3A,LAML
ARID3B,LAML
ARID4A,LAML
ARID4B,LAML
ARID5A,LAML
ARIH1,LAML
ARIH2,LAML
ARL1,LAML
ARL10,LAML
ARL11,LAML
ARL13B,LAML
ARL14,LAML
ARL14EP,LAML
ARL14EPL,LAML
ARL15,LAML
ARL2,LAML
ARL2BP,LAML
ARL3,LAML
ARL4A,LAML
ARL5A,LAML
ARL5B,LAML
ARL6IP1,LAML
ARL6IP6,LAML
ARL8B,LAML
ARMC1,LAML
ARMC10,LAML
ARMC2,LAML
ARMC5,LAML
ARMC7,LAML
ARMC9,LAML
ARMCX1,LAML
ARMCX3,LAML
ARMCX5,LAML
ARMCX6,LAML
ARNT,LAML
ARNTL,LAML
ARPC1A,LAML
ARPC2,LAML
ARPC3,LAML
ARPC4,LAML
ARPC5,LAML
ARPP19,LAML
ARRB1,LAML
ARRB2,LAML
ARRDC4,LAML
ARSB,LAML
ARSK,LAML
ART3,LAML
ARTN,LAML
ARV1,LAML
AS3MT,LAML
ASAH1,LAML
ASB17,LAML
ASB3,LAML
ASB6,LAML
ASB7,LAML
ASCC1,LAML
ASCC3,LAML
ASCL1,LAML
ASCL2,LAML
ASF1A,LAML
ASF1B,LAML
ASH2L,LAML
ASIC1,LAML
ASIP,LAML
ASMT,LAML
ASNA1,LAML
ASNS,LAML
ASNSD1,LAML
ASPDH,LAML
ASPHD2,LAML
ASPM,LAML
ASTL,LAML
ASUN,LAML
ASXL3,LAML
ATAD1,LAML
ATAD2,LAML
ATAD3A,LAML
ATAD5,LAML
ATAT1,LAML
ATF1,LAML
ATF2,LAML
ATF4,LAML
ATF5,LAML
ATF6,LAML
ATF7,LAML
ATF7IP,LAML
ATG10,LAML
ATG12,LAML
ATG13,LAML
ATG14,LAML
ATG2B,LAML
ATG3,LAML
ATG4C,LAML
ATG5,LAML
ATG9A,LAML
ATHL1,LAML
ATIC,LAML
ATL1,LAML
ATL2,LAML
ATL3,LAML
ATM,LAML
ATMIN,LAML
ATOH1,LAML
ATOX1,LAML
ATP10A,LAML
ATP10D,LAML
ATP11B,LAML
ATP11C,LAML
ATP13A1,LAML
ATP1A1,LAML
ATP1B1,LAML
ATP1B3,LAML
ATP2A2,LAML
