gene,cancer_type
A1BG,LGG
A1CF,LGG
AAAS,LGG
AACS,LGG
AADACL2,LGG
AADAT,LGG
AAGAB,LGG
AAMP,LGG
AAR2,LGG
AARD,LGG
AARS,LGG
AARS2,LGG
AASDHPPT,LGG
AASS,LGG
AATF,LGG
AATK,LGG
ABCA1,LGG
ABCA10,LGG
ABCA12,LGG
ABCA13,LGG
ABCA4,LGG
ABCA5,LGG
ABCA6,LGG
ABCA9,LGG
ABCB1,LGG
ABCB4,LGG
ABCB5,LGG
ABCB7,LGG
ABCB8,LGG
ABCC11,LGG
ABCC12,LGG
ABCC2,LGG
ABCC9,LGG
ABCD1,LGG
ABCD3,LGG
ABCE1,LGG
ABCF1,LGG
ABCF2,LGG
ABCG2,LGG
ABHD10,LGG
ABHD13,LGG
ABHD15,LGG
ABHD17A,LGG
ABHD17B,LGG
ABI1,LGG
ABI3BP,LGG
ABLIM1,LGG
ABLIM3,LGG
ABT1,LGG
ACAA2,LGG
ACACA,LGG
ACAD8,LGG
ACAD9,LGG
ACADSB,LGG
ACAP2,LGG
ACAP3,LGG
ACAT1,LGG
ACAT2,LGG
ACBD7,LGG
ACCSL,LGG
ACER1,LGG
ACHE,LGG
ACIN1,LGG
ACKR4,LGG
ACLY,LGG
ACN9,LGG
ACO1,LGG
ACO2,LGG
ACOT2,LGG
ACOT4,LGG
ACOT6,LGG
ACOT9,LGG
ACOX1,LGG
ACOXL,LGG
ACPL2,LGG
ACR,LGG
ACSL1,LGG
ACSL3,LGG
ACSL4,LGG
ACSL5,LGG
ACSM1,LGG
ACSM3,LGG
ACSS2,LGG
ACTB,LGG
ACTG1,LGG
ACTL6A,LGG
ACTN4,LGG
ACTR10,LGG
ACTR1A,LGG
ACTR2,LGG
ACTR3,LGG
ACTR3B,LGG
ACTR3C,LGG
ACTR5,LGG
ACTR6,LGG
ACTR8,LGG
ACTRT3,LGG
ACVR1,LGG
ACVR1B,LGG
ACVR2A,LGG
ACVR2B,LGG
ACVRL1,LGG
ADA,LGG
ADAL,LGG
ADAM10,LGG
ADAM11,LGG
ADAM17,LGG
ADAM2,LGG
ADAM21,LGG
ADAM23,LGG
ADAM32,LGG
ADAM33,LGG
ADAMDEC1,LGG
ADAMTS10,LGG
ADAMTS17,LGG
ADAMTS2,LGG
ADAMTS3,LGG
ADAMTS9,LGG
ADAMTSL4,LGG
ADAMTSL5,LGG
ADAP1,LGG
ADAP2,LGG
ADAR,LGG
ADAT2,LGG
ADAT3,LGG
ADCK2,LGG
ADCY2,LGG
ADCY8,LGG
ADD3,LGG
ADH5,LGG
ADH6,LGG
ADHFE1,LGG
ADI1,LGG
ADIPOR1,LGG
ADIPOR2,LGG
ADK,LGG
ADNP,LGG
ADORA2A,LGG
ADPGK,LGG
ADPRHL2,LGG
ADPRM,LGG
ADRBK1,LGG
ADRM1,LGG
ADSL,LGG
ADSS,LGG
AFF1,LGG
AFF2,LGG
AFF4,LGG
AFG3L2,LGG
AFP,LGG
AGA,LGG
AGAP2,LGG
AGAP3,LGG
AGAP5,LGG
AGAP6,LGG
AGAP7,LGG
AGBL3,LGG
AGK,LGG
AGL,LGG
AGO3,LGG
AGPAT1,LGG
AGPAT2,LGG
AGPAT3,LGG
AGPAT4,LGG
AGPAT5,LGG
AGR2,LGG
AGR3,LGG
AGRP,LGG
AGTPBP1,LGG
AGTR1,LGG
AGTR2,LGG
AHCTF1,LGG
AHCY,LGG
AHCYL1,LGG
AHCYL2,LGG
AHI1,LGG
AHNAK,LGG
AHR,LGG
AHSA1,LGG
AIFM1,LGG
AIFM2,LGG
AIMP2,LGG
AK1,LGG
AK2,LGG
AK3,LGG
AK4,LGG
AK6,LGG
AK9,LGG
AKAP13,LGG
AKAP17A,LGG
AKAP3,LGG
AKAP4,LGG
AKAP5,LGG
AKAP8L,LGG
AKAP9,LGG
AKIP1,LGG
AKIRIN1,LGG
AKIRIN2,LGG
AKR1B15,LGG
AKR1C2,LGG
AKR1C4,LGG
AKR1D1,LGG
AKR7A3,LGG
AKT1,LGG
AKT2,LGG
AKTIP,LGG
