gene,cancer_type
A1BG,LUAD
A1CF,LUAD
AAAS,LUAD
AACS,LUAD
AADACL2,LUAD
AADAT,LUAD
AAGAB,LUAD
AAMP,LUAD
AAR2,LUAD
AARD,LUAD
AARS,LUAD
AARS2,LUAD
AASDHPPT,LUAD
AASS,LUAD
AATF,LUAD
AATK,LUAD
ABCA1,LUAD
ABCA10,LUAD
ABCA12,LUAD
ABCA13,LUAD
ABCA4,LUAD
ABCA5,LUAD
ABCA6,LUAD
ABCA9,LUAD
ABCB1,LUAD
ABCB4,LUAD
ABCB5,LUAD
ABCB7,LUAD
ABCB8,LUAD
ABCC11,LUAD
ABCC12,LUAD
ABCC2,LUAD
ABCC9,LUAD
ABCD1,LUAD
ABCD3,LUAD
ABCE1,LUAD
ABCF1,LUAD
ABCF2,LUAD
ABCG2,LUAD
ABHD10,LUAD
ABHD13,LUAD
ABHD15,LUAD
ABHD17A,LUAD
ABHD17B,LUAD
ABI1,LUAD
ABI3BP,LUAD
ABLIM1,LUAD
ABLIM3,LUAD
ABT1,LUAD
ACAA2,LUAD
ACACA,LUAD
ACAD8,LUAD
ACAD9,LUAD
ACADSB,LUAD
ACAP2,LUAD
ACAP3,LUAD
ACAT1,LUAD
ACAT2,LUAD
ACBD7,LUAD
ACCSL,LUAD
ACER1,LUAD
ACHE,LUAD
ACIN1,LUAD
ACKR4,LUAD
ACLY,LUAD
ACN9,LUAD
ACO1,LUAD
ACO2,LUAD
ACOT2,LUAD
ACOT4,LUAD
ACOT6,LUAD
ACOT9,LUAD
ACOX1,LUAD
ACOXL,LUAD
ACPL2,LUAD
ACR,LUAD
ACSL1,LUAD
ACSL3,LUAD
ACSL4,LUAD
ACSL5,LUAD
ACSM1,LUAD
ACSM3,LUAD
ACSS2,LUAD
ACTB,LUAD
ACTG1,LUAD
ACTL6A,LUAD
ACTN4,LUAD
ACTR10,LUAD
ACTR1A,LUAD
ACTR2,LUAD
ACTR3,LUAD
ACTR3B,LUAD
ACTR3C,LUAD
ACTR5,LUAD
ACTR6,LUAD
ACTR8,LUAD
ACTRT3,LUAD
ACVR1,LUAD
ACVR1B,LUAD
ACVR2A,LUAD
ACVR2B,LUAD
ACVRL1,LUAD
ADA,LUAD
ADAL,LUAD
ADAM10,LUAD
ADAM11,LUAD
ADAM17,LUAD
ADAM2,LUAD
ADAM21,LUAD
ADAM23,LUAD
ADAM32,LUAD
ADAM33,LUAD
ADAMDEC1,LUAD
ADAMTS10,LUAD
ADAMTS17,LUAD
ADAMTS2,LUAD
ADAMTS3,LUAD
ADAMTS9,LUAD
ADAMTSL4,LUAD
ADAMTSL5,LUAD
ADAP1,LUAD
ADAP2,LUAD
ADAR,LUAD
ADAT2,LUAD
ADAT3,LUAD
ADCK2,LUAD
ADCY2,LUAD
ADCY8,LUAD
ADD3,LUAD
ADH5,LUAD
ADH6,LUAD
ADHFE1,LUAD
ADI1,LUAD
ADIPOR1,LUAD
ADIPOR2,LUAD
ADK,LUAD
ADNP,LUAD
ADORA2A,LUAD
ADPGK,LUAD
ADPRHL2,LUAD
ADPRM,LUAD
ADRBK1,LUAD
ADRM1,LUAD
ADSL,LUAD
ADSS,LUAD
AFF1,LUAD
AFF2,LUAD
AFF4,LUAD
AFG3L2,LUAD
AFP,LUAD
AGA,LUAD
AGAP2,LUAD
AGAP3,LUAD
AGAP5,LUAD
AGAP6,LUAD
AGAP7,LUAD
AGBL3,LUAD
AGK,LUAD
AGL,LUAD
