gene,cancer_type
A1BG,LUSC
A1CF,LUSC
AAAS,LUSC
AACS,LUSC
AADACL2,LUSC
AADAT,LUSC
AAGAB,LUSC
AAMP,LUSC
AAR2,LUSC
AARD,LUSC
AARS,LUSC
AARS2,LUSC
AASDHPPT,LUSC
AASS,LUSC
AATF,LUSC
AATK,LUSC
ABCA1,LUSC
ABCA10,LUSC
ABCA12,LUSC
ABCA13,LUSC
ABCA4,LUSC
ABCA5,LUSC
ABCA6,LUSC
ABCA9,LUSC
ABCB1,LUSC
ABCB4,LUSC
ABCB5,LUSC
ABCB7,LUSC
ABCB8,LUSC
ABCC11,LUSC
ABCC12,LUSC
ABCC2,LUSC
ABCC9,LUSC
ABCD1,LUSC
ABCD3,LUSC
ABCE1,LUSC
ABCF1,LUSC
ABCF2,LUSC
ABCG2,LUSC
ABHD10,LUSC
ABHD13,LUSC
ABHD15,LUSC
ABHD17A,LUSC
ABHD17B,LUSC
ABI1,LUSC
ABI3BP,LUSC
ABLIM1,LUSC
ABLIM3,LUSC
ABT1,LUSC
ACAA2,LUSC
ACACA,LUSC
ACAD8,LUSC
ACAD9,LUSC
ACADSB,LUSC
ACAP2,LUSC
ACAP3,LUSC
ACAT1,LUSC
ACAT2,LUSC
ACBD7,LUSC
ACCSL,LUSC
ACER1,LUSC
ACHE,LUSC
ACIN1,LUSC
ACKR4,LUSC
ACLY,LUSC
ACN9,LUSC
ACO1,LUSC
ACO2,LUSC
ACOT2,LUSC
ACOT4,LUSC
ACOT6,LUSC
ACOT9,LUSC
ACOX1,LUSC
ACOXL,LUSC
ACPL2,LUSC
ACR,LUSC
ACSL1,LUSC
ACSL3,LUSC
ACSL4,LUSC
ACSL5,LUSC
ACSM1,LUSC
ACSM3,LUSC
ACSS2,LUSC
ACTB,LUSC
ACTG1,LUSC
ACTL6A,LUSC
ACTN4,LUSC
ACTR10,LUSC
ACTR1A,LUSC
ACTR2,LUSC
ACTR3,LUSC
ACTR3B,LUSC
ACTR3C,LUSC
ACTR5,LUSC
ACTR6,LUSC
ACTR8,LUSC
ACTRT3,LUSC
ACVR1,LUSC
ACVR1B,LUSC
ACVR2A,LUSC
ACVR2B,LUSC
ACVRL1,LUSC
ADA,LUSC
