gene,cancer_type
A1BG,MESO
A1CF,MESO
AAAS,MESO
AACS,MESO
AADACL2,MESO
AADAT,MESO
AAGAB,MESO
AAMP,MESO
AAR2,MESO
AARD,MESO
AARS,MESO
AARS2,MESO
AASDHPPT,MESO
AASS,MESO
AATF,MESO
AATK,MESO
ABCA1,MESO
ABCA10,MESO
ABCA12,MESO
ABCA13,MESO
ABCA4,MESO
ABCA5,MESO
ABCA6,MESO
ABCA9,MESO
ABCB1,MESO
ABCB4,MESO
ABCB5,MESO
ABCB7,MESO
ABCB8,MESO
ABCC11,MESO
ABCC12,MESO
ABCC2,MESO
ABCC9,MESO
ABCD1,MESO
ABCD3,MESO
ABCE1,MESO
ABCF1,MESO
ABCF2,MESO
ABCG2,MESO
ABHD10,MESO
ABHD13,MESO
ABHD15,MESO
ABHD17A,MESO
ABHD17B,MESO
ABI1,MESO
ABI3BP,MESO
ABLIM1,MESO
ABLIM3,MESO
ABT1,MESO
ACAA2,MESO
ACACA,MESO
ACAD8,MESO
ACAD9,MESO
ACADSB,MESO
ACAP2,MESO
ACAP3,MESO
ACAT1,MESO
ACAT2,MESO
ACBD7,MESO
ACCSL,MESO
ACER1,MESO
ACHE,MESO
ACIN1,MESO
ACKR4,MESO
ACLY,MESO
ACN9,MESO
ACO1,MESO
ACO2,MESO
ACOT2,MESO
ACOT4,MESO
ACOT6,MESO
ACOT9,MESO
ACOX1,MESO
ACOXL,MESO
ACPL2,MESO
ACR,MESO
ACSL1,MESO
ACSL3,MESO
ACSL4,MESO
ACSL5,MESO
ACSM1,MESO
ACSM3,MESO
ACSS2,MESO
ACTB,MESO
ACTG1,MESO
ACTL6A,MESO
ACTN4,MESO
ACTR10,MESO
ACTR1A,MESO
ACTR2,MESO
ACTR3,MESO
ACTR3B,MESO
ACTR3C,MESO
ACTR5,MESO
ACTR6,MESO
ACTR8,MESO
ACTRT3,MESO
ACVR1,MESO
ACVR1B,MESO
ACVR2A,MESO
ACVR2B,MESO
ACVRL1,MESO
ADA,MESO
ADAL,MESO
ADAM10,MESO
ADAM11,MESO
ADAM17,MESO
ADAM2,MESO
ADAM21,MESO
ADAM23,MESO
ADAM32,MESO
ADAM33,MESO
ADAMDEC1,MESO
ADAMTS10,MESO
ADAMTS17,MESO
