gene,cancer_type
A1BG,MISC
A1CF,MISC
AAAS,MISC
AACS,MISC
AADACL2,MISC
AADAT,MISC
AAGAB,MISC
AAMP,MISC
AAR2,MISC
AARD,MISC
AARS,MISC
AARS2,MISC
AASDHPPT,MISC
AASS,MISC
AATF,MISC
AATK,MISC
ABCA1,MISC
ABCA10,MISC
ABCA12,MISC
ABCA13,MISC
ABCA4,MISC
ABCA5,MISC
ABCA6,MISC
ABCA9,MISC
ABCB1,MISC
ABCB4,MISC
ABCB5,MISC
ABCB7,MISC
ABCB8,MISC
ABCC11,MISC
ABCC12,MISC
ABCC2,MISC
ABCC9,MISC
ABCD1,MISC
ABCD3,MISC
ABCE1,MISC
ABCF1,MISC
ABCF2,MISC
ABCG2,MISC
ABHD10,MISC
ABHD13,MISC
ABHD15,MISC
ABHD17A,MISC
ABHD17B,MISC
ABI1,MISC
ABI3BP,MISC
ABLIM1,MISC
ABLIM3,MISC
ABT1,MISC
ACAA2,MISC
ACACA,MISC
ACAD8,MISC
ACAD9,MISC
ACADSB,MISC
ACAP2,MISC
ACAP3,MISC
ACAT1,MISC
ACAT2,MISC
ACBD7,MISC
ACCSL,MISC
ACER1,MISC
ACHE,MISC
ACIN1,MISC
ACKR4,MISC
ACLY,MISC
ACN9,MISC
ACO1,MISC
ACO2,MISC
ACOT2,MISC
ACOT4,MISC
ACOT6,MISC
ACOT9,MISC
ACOX1,MISC
ACOXL,MISC
ACPL2,MISC
ACR,MISC
ACSL1,MISC
ACSL3,MISC
ACSL4,MISC
ACSL5,MISC
ACSM1,MISC
ACSM3,MISC
ACSS2,MISC
ACTB,MISC
ACTG1,MISC
ACTL6A,MISC
ACTN4,MISC
ACTR10,MISC
ACTR1A,MISC
ACTR2,MISC
ACTR3,MISC
ACTR3B,MISC
ACTR3C,MISC
ACTR5,MISC
ACTR6,MISC
ACTR8,MISC
ACTRT3,MISC
ACVR1,MISC
ACVR1B,MISC
ACVR2A,MISC
ACVR2B,MISC
ACVRL1,MISC
ADA,MISC
ADAL,MISC
ADAM10,MISC
ADAM11,MISC
ADAM17,MISC
