gene,cancer_type
A1BG,OV
A1CF,OV
AAAS,OV
AACS,OV
AADACL2,OV
AADAT,OV
AAGAB,OV
AAMP,OV
AAR2,OV
AARD,OV
AARS,OV
AARS2,OV
AASDHPPT,OV
AASS,OV
AATF,OV
AATK,OV
ABCA1,OV
ABCA10,OV
ABCA12,OV
ABCA13,OV
ABCA4,OV
ABCA5,OV
ABCA6,OV
ABCA9,OV
ABCB1,OV
ABCB4,OV
ABCB5,OV
ABCB7,OV
ABCB8,OV
ABCC11,OV
ABCC12,OV
ABCC2,OV
ABCC9,OV
ABCD1,OV
ABCD3,OV
ABCE1,OV
ABCF1,OV
ABCF2,OV
ABCG2,OV
ABHD10,OV
ABHD13,OV
ABHD15,OV
ABHD17A,OV
ABHD17B,OV
ABI1,OV
ABI3BP,OV
ABLIM1,OV
ABLIM3,OV
ABT1,OV
ACAA2,OV
ACACA,OV
ACAD8,OV
ACAD9,OV
ACADSB,OV
ACAP2,OV
ACAP3,OV
ACAT1,OV
ACAT2,OV
ACBD7,OV
ACCSL,OV
ACER1,OV
ACHE,OV
ACIN1,OV
ACKR4,OV
ACLY,OV
ACN9,OV
ACO1,OV
ACO2,OV
ACOT2,OV
ACOT4,OV
ACOT6,OV
ACOT9,OV
ACOX1,OV
ACOXL,OV
ACPL2,OV
ACR,OV
ACSL1,OV
ACSL3,OV
ACSL4,OV
ACSL5,OV
ACSM1,OV
ACSM3,OV
ACSS2,OV
ACTB,OV
ACTG1,OV
ACTL6A,OV
ACTN4,OV
ACTR10,OV
ACTR1A,OV
ACTR2,OV
ACTR3,OV
ACTR3B,OV
ACTR3C,OV
ACTR5,OV
ACTR6,OV
ACTR8,OV
ACTRT3,OV
ACVR1,OV
ACVR1B,OV
ACVR2A,OV
ACVR2B,OV
ACVRL1,OV
ADA,OV
ADAL,OV
ADAM10,OV
ADAM11,OV
ADAM17,OV
ADAM2,OV
ADAM21,OV
ADAM23,OV
ADAM32,OV
ADAM33,OV
ADAMDEC1,OV
ADAMTS10,OV
ADAMTS17,OV
ADAMTS2,OV
ADAMTS3,OV
ADAMTS9,OV
ADAMTSL4,OV
ADAMTSL5,OV
ADAP1,OV
ADAP2,OV
ADAR,OV
ADAT2,OV
ADAT3,OV
ADCK2,OV
ADCY2,OV
ADCY8,OV
ADD3,OV
ADH5,OV
ADH6,OV
ADHFE1,OV
ADI1,OV
ADIPOR1,OV
ADIPOR2,OV
ADK,OV
ADNP,OV
ADORA2A,OV
ADPGK,OV
ADPRHL2,OV
ADPRM,OV
ADRBK1,OV
ADRM1,OV
ADSL,OV
ADSS,OV
AFF1,OV
AFF2,OV
AFF4,OV
AFG3L2,OV
AFP,OV
AGA,OV
AGAP2,OV
AGAP3,OV
AGAP5,OV
AGAP6,OV
AGAP7,OV
AGBL3,OV
AGK,OV
AGL,OV
AGO3,OV
AGPAT1,OV
AGPAT2,OV
AGPAT3,OV
AGPAT4,OV
AGPAT5,OV
AGR2,OV
AGR3,OV
AGRP,OV
AGTPBP1,OV
AGTR1,OV
AGTR2,OV
AHCTF1,OV
AHCY,OV
AHCYL1,OV
AHCYL2,OV
AHI1,OV
AHNAK,OV
AHR,OV
AHSA1,OV
AIFM1,OV
AIFM2,OV
AIMP2,OV
AK1,OV
AK2,OV
AK3,OV
AK4,OV
AK6,OV
AK9,OV
AKAP13,OV
AKAP17A,OV
AKAP3,OV
AKAP4,OV
AKAP5,OV
AKAP8L,OV
AKAP9,OV
AKIP1,OV
AKIRIN1,OV
AKIRIN2,OV
AKR1B15,OV
AKR1C2,OV
AKR1C4,OV
AKR1D1,OV
AKR7A3,OV
AKT1,OV
AKT2,OV
AKTIP,OV
ALAD,OV
ALAS1,OV
ALAS2,OV
ALCAM,OV
ALDH16A1,OV
ALDH3A2,OV
ALDH6A1,OV
ALDH8A1,OV
ALDH9A1,OV
ALDOA,OV
ALDOC,OV
ALG1,OV
ALG10,OV
ALG10B,OV
ALG11,OV
ALG12,OV
ALG13,OV
ALG14,OV
ALG1L,OV
ALG2,OV
ALG3,OV
ALG5,OV
ALG6,OV
ALG8,OV
ALG9,OV
ALK,OV
ALKBH1,OV
ALKBH3,OV
ALKBH4,OV
ALKBH8,OV
ALLC,OV
ALMS1,OV
ALOX5,OV
ALPK3,OV
ALS2CR11,OV
ALX3,OV
ALX4,OV
ALYREF,OV
AMACR,OV
AMBN,OV
AMBRA1,OV
AMD1,OV
AMDHD2,OV
AMER1,OV
AMER3,OV
AMFR,OV
AMN,OV
AMPD1,OV
AMTN,OV
AMY1B,OV
AMY2A,OV
AMY2B,OV
AMZ2,OV
ANAPC1,OV
ANAPC10,OV
ANAPC11,OV
ANAPC13,OV
ANAPC15,OV
ANAPC16,OV
ANAPC2,OV
ANAPC4,OV
ANAPC5,OV
ANG,OV
ANGEL2,OV
ANGPT1,OV
ANGPTL3,OV
ANGPTL5,OV
ANK3,OV
ANKAR,OV
ANKFY1,OV
ANKHD1,OV
ANKHD1-EIF4EBP3,OV
ANKIB1,OV
ANKLE2,OV
ANKMY2,OV
ANKRA2,OV
ANKRD1,OV
ANKRD11,OV
ANKRD17,OV
ANKRD18A,OV
ANKRD22,OV
ANKRD23,OV
ANKRD28,OV
ANKRD30A,OV
ANKRD31,OV
ANKRD32,OV
ANKRD34B,OV
ANKRD34C,OV
ANKRD36,OV
ANKRD40,OV
ANKRD42,OV
ANKRD49,OV
ANKRD50,OV
ANKRD52,OV
ANKRD54,OV
ANKRD6,OV
ANKRD65,OV
ANKRD7,OV
ANLN,OV
ANO1,OV
ANO3,OV
ANP32A,OV
ANP32B,OV
ANP32E,OV
ANTXR1,OV
ANTXR2,OV
ANTXRL,OV
ANXA1,OV
ANXA10,OV
ANXA13,OV
ANXA2,OV
ANXA2R,OV
ANXA3,OV
ANXA8,OV
ANXA8L2,OV
AOAH,OV
AP1AR,OV
AP1B1,OV
AP1G1,OV
AP1M2,OV
AP1S2,OV
AP2A1,OV
AP2B1,OV
AP2M1,OV
AP2S1,OV
AP3B1,OV
AP3M1,OV
AP3M2,OV
AP3S1,OV
AP4S1,OV
AP5M1,OV
APBA1,OV
APBA2,OV
APBB1IP,OV
APC,OV
APC2,OV
APCS,OV
APEX1,OV
APEX2,OV
APH1A,OV
APH1B,OV
API5,OV
APIP,OV
APITD1,OV
APITD1-CORT,OV
APLP1,OV
APLP2,OV
APMAP,OV
APOBEC3A,OV
APOBEC3D,OV
APOBEC4,OV
APOC2,OV
APOE,OV
APOH,OV
APOL2,OV
APOOL,OV
APPBP2,OV
APPL2,OV
APRT,OV
APTX,OV
AQP1,OV
AQP10,OV
AQP12B,OV
AQP7,OV
AQP9,OV
AQR,OV
AR,OV
ARAP1,OV
ARAP2,OV
ARCN1,OV
ARF1,OV
ARF3,OV
ARF4,OV
ARF6,OV
ARFGAP1,OV
ARFGEF1,OV
ARFIP1,OV
ARFRP1,OV
ARGLU1,OV
ARHGAP1,OV
ARHGAP11A,OV
ARHGAP11B,OV
ARHGAP19,OV
ARHGAP21,OV
ARHGAP24,OV
ARHGAP26,OV
ARHGAP29,OV
ARHGAP30,OV
ARHGAP35,OV
ARHGAP5,OV
ARHGAP6,OV
ARHGAP8,OV
ARHGDIB,OV
ARHGEF11,OV
ARHGEF12,OV
ARHGEF2,OV
ARHGEF25,OV
ARHGEF3,OV
ARHGEF33,OV
ARHGEF35,OV
ARHGEF38,OV
ARHGEF5,OV
ARHGEF7,OV
ARHGEF9,OV
ARID1A,OV
ARID1B,OV
ARID2,OV
ARID3A,OV
ARID3B,OV
ARID4A,OV
ARID4B,OV
ARID5A,OV
ARIH1,OV
ARIH2,OV
ARL1,OV
ARL10,OV
ARL11,OV
ARL13B,OV
ARL14,OV
ARL14EP,OV
ARL14EPL,OV
ARL15,OV
ARL2,OV
ARL2BP,OV
ARL3,OV
ARL4A,OV
ARL5A,OV
ARL5B,OV
ARL6IP1,OV
ARL6IP6,OV
ARL8B,OV
ARMC1,OV
ARMC10,OV
ARMC2,OV
ARMC5,OV
ARMC7,OV
ARMC9,OV
ARMCX1,OV
ARMCX3,OV
ARMCX5,OV
ARMCX6,OV
ARNT,OV
ARNTL,OV
ARPC1A,OV
ARPC2,OV
ARPC3,OV
ARPC4,OV
ARPC5,OV
ARPP19,OV
ARRB1,OV
ARRB2,OV
ARRDC4,OV
ARSB,OV
ARSK,OV
ART3,OV
ARTN,OV
ARV1,OV
AS3MT,OV
ASAH1,OV
ASB17,OV
ASB3,OV
ASB6,OV
ASB7,OV
ASCC1,OV
ASCC3,OV
ASCL1,OV
ASCL2,OV
ASF1A,OV
ASF1B,OV
ASH2L,OV
ASIC1,OV
ASIP,OV
ASMT,OV
ASNA1,OV
ASNS,OV
ASNSD1,OV
ASPDH,OV
ASPHD2,OV
ASPM,OV
