gene,cancer_type
A1BG,PAAD
A1CF,PAAD
AAAS,PAAD
AACS,PAAD
AADACL2,PAAD
AADAT,PAAD
AAGAB,PAAD
AAMP,PAAD
AAR2,PAAD
AARD,PAAD
AARS,PAAD
AARS2,PAAD
AASDHPPT,PAAD
AASS,PAAD
AATF,PAAD
AATK,PAAD
ABCA1,PAAD
ABCA10,PAAD
ABCA12,PAAD
ABCA13,PAAD
ABCA4,PAAD
ABCA5,PAAD
ABCA6,PAAD
ABCA9,PAAD
ABCB1,PAAD
ABCB4,PAAD
ABCB5,PAAD
ABCB7,PAAD
ABCB8,PAAD
ABCC11,PAAD
ABCC12,PAAD
ABCC2,PAAD
ABCC9,PAAD
ABCD1,PAAD
ABCD3,PAAD
ABCE1,PAAD
ABCF1,PAAD
ABCF2,PAAD
ABCG2,PAAD
ABHD10,PAAD
ABHD13,PAAD
ABHD15,PAAD
ABHD17A,PAAD
ABHD17B,PAAD
ABI1,PAAD
ABI3BP,PAAD
ABLIM1,PAAD
ABLIM3,PAAD
ABT1,PAAD
ACAA2,PAAD
ACACA,PAAD
ACAD8,PAAD
ACAD9,PAAD
ACADSB,PAAD
ACAP2,PAAD
ACAP3,PAAD
ACAT1,PAAD
ACAT2,PAAD
ACBD7,PAAD
ACCSL,PAAD
ACER1,PAAD
ACHE,PAAD
ACIN1,PAAD
ACKR4,PAAD
ACLY,PAAD
ACN9,PAAD
ACO1,PAAD
ACO2,PAAD
ACOT2,PAAD
ACOT4,PAAD
ACOT6,PAAD
ACOT9,PAAD
ACOX1,PAAD
ACOXL,PAAD
ACPL2,PAAD
ACR,PAAD
ACSL1,PAAD
ACSL3,PAAD
ACSL4,PAAD
ACSL5,PAAD
ACSM1,PAAD
ACSM3,PAAD
ACSS2,PAAD
ACTB,PAAD
ACTG1,PAAD
ACTL6A,PAAD
ACTN4,PAAD
ACTR10,PAAD
ACTR1A,PAAD
ACTR2,PAAD
ACTR3,PAAD
ACTR3B,PAAD
ACTR3C,PAAD
ACTR5,PAAD
ACTR6,PAAD
ACTR8,PAAD
ACTRT3,PAAD
ACVR1,PAAD
ACVR1B,PAAD
ACVR2A,PAAD
ACVR2B,PAAD
ACVRL1,PAAD
ADA,PAAD
ADAL,PAAD
ADAM10,PAAD
ADAM11,PAAD
ADAM17,PAAD
ADAM2,PAAD
ADAM21,PAAD
ADAM23,PAAD
ADAM32,PAAD
ADAM33,PAAD
ADAMDEC1,PAAD
ADAMTS10,PAAD
ADAMTS17,PAAD
ADAMTS2,PAAD
ADAMTS3,PAAD
ADAMTS9,PAAD
ADAMTSL4,PAAD
ADAMTSL5,PAAD
ADAP1,PAAD
ADAP2,PAAD
ADAR,PAAD
ADAT2,PAAD
ADAT3,PAAD
ADCK2,PAAD
ADCY2,PAAD
ADCY8,PAAD
ADD3,PAAD
ADH5,PAAD
ADH6,PAAD
ADHFE1,PAAD
ADI1,PAAD
ADIPOR1,PAAD
ADIPOR2,PAAD
ADK,PAAD
ADNP,PAAD
ADORA2A,PAAD
ADPGK,PAAD
ADPRHL2,PAAD
ADPRM,PAAD
ADRBK1,PAAD
ADRM1,PAAD
ADSL,PAAD
ADSS,PAAD
AFF1,PAAD
AFF2,PAAD
AFF4,PAAD
AFG3L2,PAAD
AFP,PAAD
AGA,PAAD
AGAP2,PAAD
AGAP3,PAAD
AGAP5,PAAD
AGAP6,PAAD
AGAP7,PAAD
AGBL3,PAAD
AGK,PAAD
AGL,PAAD
AGO3,PAAD
AGPAT1,PAAD
AGPAT2,PAAD
AGPAT3,PAAD
AGPAT4,PAAD
AGPAT5,PAAD
AGR2,PAAD
AGR3,PAAD
AGRP,PAAD
AGTPBP1,PAAD
AGTR1,PAAD
AGTR2,PAAD
AHCTF1,PAAD
AHCY,PAAD
AHCYL1,PAAD
AHCYL2,PAAD
AHI1,PAAD
AHNAK,PAAD
AHR,PAAD
AHSA1,PAAD
AIFM1,PAAD
AIFM2,PAAD
AIMP2,PAAD
AK1,PAAD
AK2,PAAD
AK3,PAAD
AK4,PAAD
AK6,PAAD
AK9,PAAD
AKAP13,PAAD
AKAP17A,PAAD
AKAP3,PAAD
AKAP4,PAAD
AKAP5,PAAD
AKAP8L,PAAD
AKAP9,PAAD
AKIP1,PAAD
AKIRIN1,PAAD
AKIRIN2,PAAD
AKR1B15,PAAD
AKR1C2,PAAD
AKR1C4,PAAD
AKR1D1,PAAD
AKR7A3,PAAD
AKT1,PAAD
AKT2,PAAD
AKTIP,PAAD
ALAD,PAAD
ALAS1,PAAD
ALAS2,PAAD
ALCAM,PAAD
ALDH16A1,PAAD
ALDH3A2,PAAD
ALDH6A1,PAAD
ALDH8A1,PAAD
ALDH9A1,PAAD
ALDOA,PAAD
ALDOC,PAAD
ALG1,PAAD
ALG10,PAAD
ALG10B,PAAD
ALG11,PAAD
ALG12,PAAD
ALG13,PAAD
ALG14,PAAD
ALG1L,PAAD
ALG2,PAAD
ALG3,PAAD
ALG5,PAAD
ALG6,PAAD
ALG8,PAAD
ALG9,PAAD
ALK,PAAD
ALKBH1,PAAD
ALKBH3,PAAD
ALKBH4,PAAD
ALKBH8,PAAD
ALLC,PAAD
ALMS1,PAAD
ALOX5,PAAD
ALPK3,PAAD
ALS2CR11,PAAD
ALX3,PAAD
ALX4,PAAD
ALYREF,PAAD
AMACR,PAAD
AMBN,PAAD
