gene,cancer_type
A1BG,PRAD
A1CF,PRAD
AAAS,PRAD
AACS,PRAD
AADACL2,PRAD
AADAT,PRAD
AAGAB,PRAD
AAMP,PRAD
AAR2,PRAD
AARD,PRAD
AARS,PRAD
AARS2,PRAD
AASDHPPT,PRAD
AASS,PRAD
AATF,PRAD
AATK,PRAD
ABCA1,PRAD
ABCA10,PRAD
ABCA12,PRAD
ABCA13,PRAD
ABCA4,PRAD
ABCA5,PRAD
ABCA6,PRAD
ABCA9,PRAD
ABCB1,PRAD
ABCB4,PRAD
ABCB5,PRAD
ABCB7,PRAD
ABCB8,PRAD
ABCC11,PRAD
ABCC12,PRAD
ABCC2,PRAD
ABCC9,PRAD
ABCD1,PRAD
ABCD3,PRAD
ABCE1,PRAD
ABCF1,PRAD
ABCF2,PRAD
ABCG2,PRAD
ABHD10,PRAD
ABHD13,PRAD
ABHD15,PRAD
ABHD17A,PRAD
ABHD17B,PRAD
ABI1,PRAD
ABI3BP,PRAD
ABLIM1,PRAD
ABLIM3,PRAD
ABT1,PRAD
ACAA2,PRAD
ACACA,PRAD
ACAD8,PRAD
ACAD9,PRAD
ACADSB,PRAD
ACAP2,PRAD
ACAP3,PRAD
ACAT1,PRAD
ACAT2,PRAD
ACBD7,PRAD
ACCSL,PRAD
ACER1,PRAD
ACHE,PRAD
ACIN1,PRAD
ACKR4,PRAD
ACLY,PRAD
ACN9,PRAD
ACO1,PRAD
ACO2,PRAD
ACOT2,PRAD
ACOT4,PRAD
ACOT6,PRAD
ACOT9,PRAD
ACOX1,PRAD
ACOXL,PRAD
ACPL2,PRAD
ACR,PRAD
ACSL1,PRAD
ACSL3,PRAD
ACSL4,PRAD
ACSL5,PRAD
ACSM1,PRAD
ACSM3,PRAD
ACSS2,PRAD
ACTB,PRAD
ACTG1,PRAD
ACTL6A,PRAD
ACTN4,PRAD
ACTR10,PRAD
ACTR1A,PRAD
ACTR2,PRAD
ACTR3,PRAD
ACTR3B,PRAD
ACTR3C,PRAD
ACTR5,PRAD
ACTR6,PRAD
ACTR8,PRAD
ACTRT3,PRAD
ACVR1,PRAD
ACVR1B,PRAD
ACVR2A,PRAD
ACVR2B,PRAD
ACVRL1,PRAD
ADA,PRAD
ADAL,PRAD
ADAM10,PRAD
ADAM11,PRAD
ADAM17,PRAD
ADAM2,PRAD
ADAM21,PRAD
ADAM23,PRAD
ADAM32,PRAD
ADAM33,PRAD
ADAMDEC1,PRAD
ADAMTS10,PRAD
ADAMTS17,PRAD
ADAMTS2,PRAD
ADAMTS3,PRAD
ADAMTS9,PRAD
ADAMTSL4,PRAD
ADAMTSL5,PRAD
ADAP1,PRAD
ADAP2,PRAD
ADAR,PRAD
ADAT2,PRAD
ADAT3,PRAD
ADCK2,PRAD
ADCY2,PRAD
ADCY8,PRAD
ADD3,PRAD
ADH5,PRAD
ADH6,PRAD
ADHFE1,PRAD
ADI1,PRAD
ADIPOR1,PRAD
ADIPOR2,PRAD
ADK,PRAD
ADNP,PRAD
ADORA2A,PRAD
ADPGK,PRAD
ADPRHL2,PRAD
ADPRM,PRAD
ADRBK1,PRAD
ADRM1,PRAD
ADSL,PRAD
ADSS,PRAD
AFF1,PRAD
AFF2,PRAD
AFF4,PRAD
AFG3L2,PRAD
AFP,PRAD
AGA,PRAD
AGAP2,PRAD
AGAP3,PRAD
AGAP5,PRAD
AGAP6,PRAD
AGAP7,PRAD
AGBL3,PRAD
AGK,PRAD
AGL,PRAD
AGO3,PRAD
AGPAT1,PRAD
AGPAT2,PRAD
AGPAT3,PRAD
AGPAT4,PRAD
AGPAT5,PRAD
AGR2,PRAD
AGR3,PRAD
AGRP,PRAD
AGTPBP1,PRAD
AGTR1,PRAD
AGTR2,PRAD
AHCTF1,PRAD
AHCY,PRAD
AHCYL1,PRAD
AHCYL2,PRAD
AHI1,PRAD
AHNAK,PRAD
AHR,PRAD
AHSA1,PRAD
AIFM1,PRAD
AIFM2,PRAD
AIMP2,PRAD
AK1,PRAD
AK2,PRAD
AK3,PRAD
AK4,PRAD
AK6,PRAD
AK9,PRAD
AKAP13,PRAD
AKAP17A,PRAD
AKAP3,PRAD
AKAP4,PRAD
AKAP5,PRAD
AKAP8L,PRAD
AKAP9,PRAD
AKIP1,PRAD
AKIRIN1,PRAD
AKIRIN2,PRAD
AKR1B15,PRAD
AKR1C2,PRAD
AKR1C4,PRAD
AKR1D1,PRAD
AKR7A3,PRAD
AKT1,PRAD
AKT2,PRAD
AKTIP,PRAD
ALAD,PRAD
ALAS1,PRAD
ALAS2,PRAD
ALCAM,PRAD
ALDH16A1,PRAD
ALDH3A2,PRAD
ALDH6A1,PRAD
ALDH8A1,PRAD
ALDH9A1,PRAD
ALDOA,PRAD
ALDOC,PRAD
ALG1,PRAD
ALG10,PRAD
ALG10B,PRAD
ALG11,PRAD
ALG12,PRAD
ALG13,PRAD
ALG14,PRAD
ALG1L,PRAD
ALG2,PRAD
ALG3,PRAD
ALG5,PRAD
ALG6,PRAD
ALG8,PRAD
ALG9,PRAD
ALK,PRAD
ALKBH1,PRAD
ALKBH3,PRAD
ALKBH4,PRAD
ALKBH8,PRAD
ALLC,PRAD
ALMS1,PRAD
ALOX5,PRAD
ALPK3,PRAD
ALS2CR11,PRAD
ALX3,PRAD
ALX4,PRAD
ALYREF,PRAD
AMACR,PRAD
AMBN,PRAD
AMBRA1,PRAD
AMD1,PRAD
AMDHD2,PRAD
AMER1,PRAD
AMER3,PRAD
AMFR,PRAD
AMN,PRAD
AMPD1,PRAD
AMTN,PRAD
AMY1B,PRAD
AMY2A,PRAD
AMY2B,PRAD
AMZ2,PRAD
ANAPC1,PRAD
ANAPC10,PRAD
ANAPC11,PRAD
ANAPC13,PRAD
ANAPC15,PRAD
ANAPC16,PRAD
ANAPC2,PRAD
ANAPC4,PRAD
ANAPC5,PRAD
ANG,PRAD
ANGEL2,PRAD
ANGPT1,PRAD
ANGPTL3,PRAD
ANGPTL5,PRAD
ANK3,PRAD
ANKAR,PRAD
ANKFY1,PRAD
ANKHD1,PRAD
ANKHD1-EIF4EBP3,PRAD
ANKIB1,PRAD
ANKLE2,PRAD
ANKMY2,PRAD
ANKRA2,PRAD
ANKRD1,PRAD
ANKRD11,PRAD
ANKRD17,PRAD
ANKRD18A,PRAD
ANKRD22,PRAD
ANKRD23,PRAD
ANKRD28,PRAD
ANKRD30A,PRAD
ANKRD31,PRAD
ANKRD32,PRAD
ANKRD34B,PRAD
ANKRD34C,PRAD
ANKRD36,PRAD
ANKRD40,PRAD
ANKRD42,PRAD
ANKRD49,PRAD
ANKRD50,PRAD
ANKRD52,PRAD
ANKRD54,PRAD
ANKRD6,PRAD
ANKRD65,PRAD
ANKRD7,PRAD
ANLN,PRAD
ANO1,PRAD
ANO3,PRAD
ANP32A,PRAD
ANP32B,PRAD
ANP32E,PRAD
ANTXR1,PRAD
ANTXR2,PRAD
ANTXRL,PRAD
ANXA1,PRAD
ANXA10,PRAD
ANXA13,PRAD
ANXA2,PRAD
ANXA2R,PRAD
ANXA3,PRAD
ANXA8,PRAD
ANXA8L2,PRAD
AOAH,PRAD
AP1AR,PRAD
AP1B1,PRAD
AP1G1,PRAD
AP1M2,PRAD
AP1S2,PRAD
AP2A1,PRAD
AP2B1,PRAD
AP2M1,PRAD
AP2S1,PRAD
AP3B1,PRAD
AP3M1,PRAD
AP3M2,PRAD
AP3S1,PRAD
AP4S1,PRAD
AP5M1,PRAD
APBA1,PRAD
APBA2,PRAD
APBB1IP,PRAD
APC,PRAD
APC2,PRAD
APCS,PRAD
APEX1,PRAD
APEX2,PRAD
APH1A,PRAD
APH1B,PRAD
API5,PRAD
APIP,PRAD
APITD1,PRAD
APITD1-CORT,PRAD
APLP1,PRAD
APLP2,PRAD
APMAP,PRAD
APOBEC3A,PRAD
APOBEC3D,PRAD
APOBEC4,PRAD
APOC2,PRAD
APOE,PRAD
APOH,PRAD
APOL2,PRAD
APOOL,PRAD
APPBP2,PRAD
APPL2,PRAD
APRT,PRAD
APTX,PRAD
AQP1,PRAD
AQP10,PRAD
AQP12B,PRAD
AQP7,PRAD
AQP9,PRAD
AQR,PRAD
AR,PRAD
ARAP1,PRAD
ARAP2,PRAD
ARCN1,PRAD
ARF1,PRAD
ARF3,PRAD
ARF4,PRAD
ARF6,PRAD
ARFGAP1,PRAD
ARFGEF1,PRAD
ARFIP1,PRAD
ARFRP1,PRAD
ARGLU1,PRAD
ARHGAP1,PRAD
ARHGAP11A,PRAD
ARHGAP11B,PRAD
ARHGAP19,PRAD
ARHGAP21,PRAD
ARHGAP24,PRAD
ARHGAP26,PRAD
ARHGAP29,PRAD
ARHGAP30,PRAD
ARHGAP35,PRAD
ARHGAP5,PRAD
ARHGAP6,PRAD
ARHGAP8,PRAD
ARHGDIB,PRAD
ARHGEF11,PRAD
ARHGEF12,PRAD
ARHGEF2,PRAD
ARHGEF25,PRAD
ARHGEF3,PRAD
ARHGEF33,PRAD
ARHGEF35,PRAD
ARHGEF38,PRAD
ARHGEF5,PRAD
ARHGEF7,PRAD
ARHGEF9,PRAD
ARID1A,PRAD
ARID1B,PRAD
ARID2,PRAD
ARID3A,PRAD
ARID3B,PRAD
ARID4A,PRAD
ARID4B,PRAD
ARID5A,PRAD
ARIH1,PRAD
ARIH2,PRAD
ARL1,PRAD
ARL10,PRAD
ARL11,PRAD
ARL13B,PRAD
ARL14,PRAD
ARL14EP,PRAD
ARL14EPL,PRAD
ARL15,PRAD
ARL2,PRAD
ARL2BP,PRAD
ARL3,PRAD
ARL4A,PRAD
ARL5A,PRAD
ARL5B,PRAD
ARL6IP1,PRAD
ARL6IP6,PRAD
ARL8B,PRAD
ARMC1,PRAD
ARMC10,PRAD
ARMC2,PRAD
ARMC5,PRAD
ARMC7,PRAD
ARMC9,PRAD
ARMCX1,PRAD
ARMCX3,PRAD
ARMCX5,PRAD
ARMCX6,PRAD
ARNT,PRAD
ARNTL,PRAD
ARPC1A,PRAD
ARPC2,PRAD
ARPC3,PRAD
ARPC4,PRAD
ARPC5,PRAD
ARPP19,PRAD
ARRB1,PRAD
ARRB2,PRAD
ARRDC4,PRAD
ARSB,PRAD
ARSK,PRAD
ART3,PRAD
ARTN,PRAD
ARV1,PRAD
AS3MT,PRAD
ASAH1,PRAD
ASB17,PRAD
ASB3,PRAD
ASB6,PRAD
ASB7,PRAD
ASCC1,PRAD
ASCC3,PRAD
ASCL1,PRAD
ASCL2,PRAD
ASF1A,PRAD
ASF1B,PRAD
ASH2L,PRAD
ASIC1,PRAD
ASIP,PRAD
ASMT,PRAD
ASNA1,PRAD
ASNS,PRAD
ASNSD1,PRAD
ASPDH,PRAD
ASPHD2,PRAD
ASPM,PRAD
ASTL,PRAD
ASUN,PRAD
ASXL3,PRAD
ATAD1,PRAD
ATAD2,PRAD
ATAD3A,PRAD
ATAD5,PRAD
ATAT1,PRAD
ATF1,PRAD
ATF2,PRAD
ATF4,PRAD
ATF5,PRAD
ATF6,PRAD
ATF7,PRAD
ATF7IP,PRAD
ATG10,PRAD
ATG12,PRAD
ATG13,PRAD
ATG14,PRAD
ATG2B,PRAD
ATG3,PRAD
ATG4C,PRAD
ATG5,PRAD
ATG9A,PRAD
ATHL1,PRAD
ATIC,PRAD
ATL1,PRAD
ATL2,PRAD
ATL3,PRAD
ATM,PRAD
ATMIN,PRAD
ATOH1,PRAD
ATOX1,PRAD
ATP10A,PRAD
ATP10D,PRAD
ATP11B,PRAD
ATP11C,PRAD
ATP13A1,PRAD
ATP1A1,PRAD
ATP1B1,PRAD
ATP1B3,PRAD
ATP2A2,PRAD
ATP2B1,PRAD
ATP2B4,PRAD
ATP2C1,PRAD
ATP5A1,PRAD
ATP5B,PRAD
ATP5C1,PRAD
ATP5D,PRAD
ATP5F1,PRAD
ATP5G1,PRAD
ATP5G2,PRAD
ATP5H,PRAD
ATP5I,PRAD
ATP5J,PRAD
ATP5J2,PRAD
ATP5J2-PTCD1,PRAD
ATP5L,PRAD
ATP5L2,PRAD
ATP5O,PRAD
ATP5SL,PRAD
ATP6AP1,PRAD
ATP6AP1L,PRAD
