gene,cancer_type
A1BG,READ
A1CF,READ
AAAS,READ
AACS,READ
AADACL2,READ
AADAT,READ
AAGAB,READ
AAMP,READ
AAR2,READ
AARD,READ
AARS,READ
AARS2,READ
AASDHPPT,READ
AASS,READ
AATF,READ
AATK,READ
ABCA1,READ
ABCA10,READ
ABCA12,READ
ABCA13,READ
ABCA4,READ
ABCA5,READ
ABCA6,READ
ABCA9,READ
ABCB1,READ
ABCB4,READ
ABCB5,READ
ABCB7,READ
ABCB8,READ
ABCC11,READ
ABCC12,READ
ABCC2,READ
ABCC9,READ
ABCD1,READ
ABCD3,READ
ABCE1,READ
ABCF1,READ
ABCF2,READ
ABCG2,READ
ABHD10,READ
ABHD13,READ
ABHD15,READ
ABHD17A,READ
ABHD17B,READ
ABI1,READ
ABI3BP,READ
ABLIM1,READ
ABLIM3,READ
ABT1,READ
ACAA2,READ
ACACA,READ
ACAD8,READ
ACAD9,READ
ACADSB,READ
ACAP2,READ
ACAP3,READ
ACAT1,READ
ACAT2,READ
ACBD7,READ
ACCSL,READ
ACER1,READ
ACHE,READ
ACIN1,READ
ACKR4,READ
ACLY,READ
ACN9,READ
ACO1,READ
ACO2,READ
ACOT2,READ
ACOT4,READ
ACOT6,READ
ACOT9,READ
ACOX1,READ
ACOXL,READ
ACPL2,READ
ACR,READ
ACSL1,READ
ACSL3,READ
ACSL4,READ
ACSL5,READ
ACSM1,READ
ACSM3,READ
ACSS2,READ
ACTB,READ
ACTG1,READ
ACTL6A,READ
ACTN4,READ
ACTR10,READ
ACTR1A,READ
ACTR2,READ
ACTR3,READ
ACTR3B,READ
ACTR3C,READ
ACTR5,READ
ACTR6,READ
ACTR8,READ
ACTRT3,READ
ACVR1,READ
ACVR1B,READ
ACVR2A,READ
ACVR2B,READ
ACVRL1,READ
ADA,READ
ADAL,READ
ADAM10,READ
ADAM11,READ
ADAM17,READ
ADAM2,READ
ADAM21,READ
ADAM23,READ
ADAM32,READ
ADAM33,READ
ADAMDEC1,READ
ADAMTS10,READ
ADAMTS17,READ
ADAMTS2,READ
ADAMTS3,READ
ADAMTS9,READ
ADAMTSL4,READ
ADAMTSL5,READ
ADAP1,READ
ADAP2,READ
ADAR,READ
ADAT2,READ
ADAT3,READ
ADCK2,READ
ADCY2,READ
ADCY8,READ
ADD3,READ
ADH5,READ
ADH6,READ
ADHFE1,READ
ADI1,READ
ADIPOR1,READ
ADIPOR2,READ
ADK,READ
ADNP,READ
ADORA2A,READ
ADPGK,READ
ADPRHL2,READ
ADPRM,READ
ADRBK1,READ
ADRM1,READ
ADSL,READ
ADSS,READ
AFF1,READ
AFF2,READ
AFF4,READ
AFG3L2,READ
AFP,READ
AGA,READ
AGAP2,READ
