gene,cancer_type
A1BG,SARC
A1CF,SARC
AAAS,SARC
AACS,SARC
AADACL2,SARC
AADAT,SARC
AAGAB,SARC
AAMP,SARC
AAR2,SARC
AARD,SARC
AARS,SARC
AARS2,SARC
AASDHPPT,SARC
AASS,SARC
AATF,SARC
AATK,SARC
ABCA1,SARC
ABCA10,SARC
ABCA12,SARC
ABCA13,SARC
ABCA4,SARC
ABCA5,SARC
ABCA6,SARC
ABCA9,SARC
ABCB1,SARC
ABCB4,SARC
ABCB5,SARC
ABCB7,SARC
ABCB8,SARC
ABCC11,SARC
ABCC12,SARC
ABCC2,SARC
ABCC9,SARC
ABCD1,SARC
ABCD3,SARC
ABCE1,SARC
ABCF1,SARC
ABCF2,SARC
ABCG2,SARC
ABHD10,SARC
ABHD13,SARC
ABHD15,SARC
ABHD17A,SARC
ABHD17B,SARC
ABI1,SARC
ABI3BP,SARC
ABLIM1,SARC
ABLIM3,SARC
ABT1,SARC
ACAA2,SARC
ACACA,SARC
ACAD8,SARC
ACAD9,SARC
ACADSB,SARC
ACAP2,SARC
ACAP3,SARC
ACAT1,SARC
ACAT2,SARC
ACBD7,SARC
ACCSL,SARC
ACER1,SARC
ACHE,SARC
ACIN1,SARC
ACKR4,SARC
ACLY,SARC
ACN9,SARC
ACO1,SARC
ACO2,SARC
ACOT2,SARC
ACOT4,SARC
ACOT6,SARC
ACOT9,SARC
ACOX1,SARC
ACOXL,SARC
ACPL2,SARC
ACR,SARC
ACSL1,SARC
ACSL3,SARC
ACSL4,SARC
ACSL5,SARC
ACSM1,SARC
ACSM3,SARC
ACSS2,SARC
ACTB,SARC
ACTG1,SARC
ACTL6A,SARC
ACTN4,SARC
ACTR10,SARC
ACTR1A,SARC
ACTR2,SARC
ACTR3,SARC
ACTR3B,SARC
ACTR3C,SARC
ACTR5,SARC
ACTR6,SARC
ACTR8,SARC
ACTRT3,SARC
ACVR1,SARC
ACVR1B,SARC
ACVR2A,SARC
ACVR2B,SARC
ACVRL1,SARC
ADA,SARC
ADAL,SARC
ADAM10,SARC
ADAM11,SARC
ADAM17,SARC
ADAM2,SARC
ADAM21,SARC
ADAM23,SARC
ADAM32,SARC
ADAM33,SARC
ADAMDEC1,SARC
ADAMTS10,SARC
ADAMTS17,SARC
ADAMTS2,SARC
ADAMTS3,SARC
ADAMTS9,SARC
ADAMTSL4,SARC
ADAMTSL5,SARC
ADAP1,SARC
ADAP2,SARC
ADAR,SARC
ADAT2,SARC
ADAT3,SARC
ADCK2,SARC
ADCY2,SARC
ADCY8,SARC
ADD3,SARC
ADH5,SARC
ADH6,SARC
ADHFE1,SARC
ADI1,SARC
ADIPOR1,SARC
ADIPOR2,SARC
ADK,SARC
ADNP,SARC
ADORA2A,SARC
ADPGK,SARC
ADPRHL2,SARC
ADPRM,SARC
ADRBK1,SARC
ADRM1,SARC
ADSL,SARC
ADSS,SARC
AFF1,SARC
AFF2,SARC
AFF4,SARC
AFG3L2,SARC
AFP,SARC
AGA,SARC
AGAP2,SARC
AGAP3,SARC
AGAP5,SARC
AGAP6,SARC
AGAP7,SARC
AGBL3,SARC
AGK,SARC
AGL,SARC
AGO3,SARC
AGPAT1,SARC
AGPAT2,SARC
AGPAT3,SARC
AGPAT4,SARC
AGPAT5,SARC
AGR2,SARC
AGR3,SARC
AGRP,SARC
AGTPBP1,SARC
AGTR1,SARC
AGTR2,SARC
AHCTF1,SARC
AHCY,SARC
AHCYL1,SARC
AHCYL2,SARC
AHI1,SARC
AHNAK,SARC
AHR,SARC
AHSA1,SARC
AIFM1,SARC
AIFM2,SARC
AIMP2,SARC
AK1,SARC
AK2,SARC
AK3,SARC
AK4,SARC
AK6,SARC
AK9,SARC
AKAP13,SARC
AKAP17A,SARC
AKAP3,SARC
AKAP4,SARC
AKAP5,SARC
AKAP8L,SARC
AKAP9,SARC
AKIP1,SARC
AKIRIN1,SARC
AKIRIN2,SARC
AKR1B15,SARC
AKR1C2,SARC
AKR1C4,SARC
AKR1D1,SARC
AKR7A3,SARC
AKT1,SARC
AKT2,SARC
AKTIP,SARC
ALAD,SARC
ALAS1,SARC
ALAS2,SARC
ALCAM,SARC
ALDH16A1,SARC
ALDH3A2,SARC
ALDH6A1,SARC
ALDH8A1,SARC
ALDH9A1,SARC
ALDOA,SARC
ALDOC,SARC
ALG1,SARC
ALG10,SARC
ALG10B,SARC
ALG11,SARC
ALG12,SARC
ALG13,SARC
ALG14,SARC
ALG1L,SARC
ALG2,SARC
ALG3,SARC
ALG5,SARC
ALG6,SARC
ALG8,SARC
ALG9,SARC
ALK,SARC
ALKBH1,SARC
ALKBH3,SARC
ALKBH4,SARC
ALKBH8,SARC
ALLC,SARC
ALMS1,SARC
ALOX5,SARC
ALPK3,SARC
ALS2CR11,SARC
ALX3,SARC
ALX4,SARC
ALYREF,SARC
AMACR,SARC
AMBN,SARC
AMBRA1,SARC
AMD1,SARC
AMDHD2,SARC
AMER1,SARC
AMER3,SARC
AMFR,SARC
AMN,SARC
AMPD1,SARC
AMTN,SARC
AMY1B,SARC
AMY2A,SARC
AMY2B,SARC
AMZ2,SARC
ANAPC1,SARC
ANAPC10,SARC
ANAPC11,SARC
ANAPC13,SARC
ANAPC15,SARC
ANAPC16,SARC
ANAPC2,SARC
ANAPC4,SARC
ANAPC5,SARC
ANG,SARC
ANGEL2,SARC
ANGPT1,SARC
ANGPTL3,SARC
ANGPTL5,SARC
ANK3,SARC
ANKAR,SARC
ANKFY1,SARC
ANKHD1,SARC
ANKHD1-EIF4EBP3,SARC
ANKIB1,SARC
ANKLE2,SARC
ANKMY2,SARC
ANKRA2,SARC
ANKRD1,SARC
ANKRD11,SARC
ANKRD17,SARC
ANKRD18A,SARC
ANKRD22,SARC
ANKRD23,SARC
ANKRD28,SARC
ANKRD30A,SARC
ANKRD31,SARC
ANKRD32,SARC
ANKRD34B,SARC
ANKRD34C,SARC
ANKRD36,SARC
ANKRD40,SARC
ANKRD42,SARC
ANKRD49,SARC
ANKRD50,SARC
ANKRD52,SARC
ANKRD54,SARC
ANKRD6,SARC
ANKRD65,SARC
ANKRD7,SARC
ANLN,SARC
ANO1,SARC
ANO3,SARC
ANP32A,SARC
ANP32B,SARC
ANP32E,SARC
ANTXR1,SARC
ANTXR2,SARC
ANTXRL,SARC
ANXA1,SARC
ANXA10,SARC
ANXA13,SARC
ANXA2,SARC
ANXA2R,SARC
ANXA3,SARC
ANXA8,SARC
ANXA8L2,SARC
AOAH,SARC
AP1AR,SARC
AP1B1,SARC
AP1G1,SARC
AP1M2,SARC
AP1S2,SARC
AP2A1,SARC
AP2B1,SARC
AP2M1,SARC
AP2S1,SARC
AP3B1,SARC
AP3M1,SARC
AP3M2,SARC
AP3S1,SARC
AP4S1,SARC
AP5M1,SARC
APBA1,SARC
APBA2,SARC
APBB1IP,SARC
APC,SARC
APC2,SARC
APCS,SARC
APEX1,SARC
APEX2,SARC
APH1A,SARC
APH1B,SARC
API5,SARC
APIP,SARC
APITD1,SARC
APITD1-CORT,SARC
APLP1,SARC
APLP2,SARC
APMAP,SARC
