gene,cancer_type
A1BG,SKCM
A1CF,SKCM
AAAS,SKCM
AACS,SKCM
AADACL2,SKCM
AADAT,SKCM
AAGAB,SKCM
AAMP,SKCM
AAR2,SKCM
AARD,SKCM
AARS,SKCM
AARS2,SKCM
AASDHPPT,SKCM
AASS,SKCM
AATF,SKCM
AATK,SKCM
ABCA1,SKCM
ABCA10,SKCM
ABCA12,SKCM
ABCA13,SKCM
ABCA4,SKCM
ABCA5,SKCM
ABCA6,SKCM
ABCA9,SKCM
ABCB1,SKCM
ABCB4,SKCM
ABCB5,SKCM
ABCB7,SKCM
ABCB8,SKCM
ABCC11,SKCM
ABCC12,SKCM
ABCC2,SKCM
ABCC9,SKCM
ABCD1,SKCM
ABCD3,SKCM
ABCE1,SKCM
ABCF1,SKCM
ABCF2,SKCM
ABCG2,SKCM
ABHD10,SKCM
ABHD13,SKCM
ABHD15,SKCM
ABHD17A,SKCM
ABHD17B,SKCM
ABI1,SKCM
ABI3BP,SKCM
ABLIM1,SKCM
ABLIM3,SKCM
ABT1,SKCM
ACAA2,SKCM
ACACA,SKCM
ACAD8,SKCM
ACAD9,SKCM
ACADSB,SKCM
ACAP2,SKCM
ACAP3,SKCM
ACAT1,SKCM
ACAT2,SKCM
ACBD7,SKCM
ACCSL,SKCM
ACER1,SKCM
ACHE,SKCM
ACIN1,SKCM
ACKR4,SKCM
ACLY,SKCM
ACN9,SKCM
ACO1,SKCM
ACO2,SKCM
ACOT2,SKCM
ACOT4,SKCM
ACOT6,SKCM
ACOT9,SKCM
ACOX1,SKCM
ACOXL,SKCM
ACPL2,SKCM
ACR,SKCM
ACSL1,SKCM
ACSL3,SKCM
ACSL4,SKCM
ACSL5,SKCM
ACSM1,SKCM
ACSM3,SKCM
ACSS2,SKCM
ACTB,SKCM
ACTG1,SKCM
ACTL6A,SKCM
ACTN4,SKCM
ACTR10,SKCM
ACTR1A,SKCM
ACTR2,SKCM
ACTR3,SKCM
ACTR3B,SKCM
ACTR3C,SKCM
ACTR5,SKCM
ACTR6,SKCM
ACTR8,SKCM
ACTRT3,SKCM
ACVR1,SKCM
ACVR1B,SKCM
ACVR2A,SKCM
ACVR2B,SKCM
ACVRL1,SKCM
ADA,SKCM
ADAL,SKCM
ADAM10,SKCM
ADAM11,SKCM
ADAM17,SKCM
ADAM2,SKCM
ADAM21,SKCM
ADAM23,SKCM
ADAM32,SKCM
ADAM33,SKCM
ADAMDEC1,SKCM
ADAMTS10,SKCM
ADAMTS17,SKCM
ADAMTS2,SKCM
ADAMTS3,SKCM
ADAMTS9,SKCM
ADAMTSL4,SKCM
ADAMTSL5,SKCM
ADAP1,SKCM
ADAP2,SKCM
ADAR,SKCM
ADAT2,SKCM
ADAT3,SKCM
ADCK2,SKCM
ADCY2,SKCM
ADCY8,SKCM
ADD3,SKCM
ADH5,SKCM
ADH6,SKCM
ADHFE1,SKCM
ADI1,SKCM
ADIPOR1,SKCM
ADIPOR2,SKCM
ADK,SKCM
ADNP,SKCM
ADORA2A,SKCM
ADPGK,SKCM
ADPRHL2,SKCM
ADPRM,SKCM
ADRBK1,SKCM
ADRM1,SKCM
ADSL,SKCM
ADSS,SKCM
AFF1,SKCM
AFF2,SKCM
AFF4,SKCM
AFG3L2,SKCM
AFP,SKCM
AGA,SKCM
AGAP2,SKCM
AGAP3,SKCM
AGAP5,SKCM
AGAP6,SKCM
AGAP7,SKCM
AGBL3,SKCM
AGK,SKCM
AGL,SKCM
AGO3,SKCM
AGPAT1,SKCM
AGPAT2,SKCM
AGPAT3,SKCM
AGPAT4,SKCM
AGPAT5,SKCM
AGR2,SKCM
AGR3,SKCM
AGRP,SKCM
AGTPBP1,SKCM
AGTR1,SKCM
AGTR2,SKCM
AHCTF1,SKCM
AHCY,SKCM
AHCYL1,SKCM
AHCYL2,SKCM
AHI1,SKCM
AHNAK,SKCM
AHR,SKCM
AHSA1,SKCM
AIFM1,SKCM
AIFM2,SKCM
AIMP2,SKCM
AK1,SKCM
AK2,SKCM
AK3,SKCM
AK4,SKCM
AK6,SKCM
AK9,SKCM
AKAP13,SKCM
AKAP17A,SKCM
AKAP3,SKCM
AKAP4,SKCM
AKAP5,SKCM
AKAP8L,SKCM
AKAP9,SKCM
AKIP1,SKCM
AKIRIN1,SKCM
AKIRIN2,SKCM
AKR1B15,SKCM
AKR1C2,SKCM
AKR1C4,SKCM
AKR1D1,SKCM
AKR7A3,SKCM
AKT1,SKCM
AKT2,SKCM
AKTIP,SKCM
ALAD,SKCM
ALAS1,SKCM
ALAS2,SKCM
ALCAM,SKCM
ALDH16A1,SKCM
ALDH3A2,SKCM
ALDH6A1,SKCM
ALDH8A1,SKCM
ALDH9A1,SKCM
ALDOA,SKCM
ALDOC,SKCM
ALG1,SKCM
ALG10,SKCM
ALG10B,SKCM
ALG11,SKCM
ALG12,SKCM
ALG13,SKCM
ALG14,SKCM
ALG1L,SKCM
ALG2,SKCM
ALG3,SKCM
ALG5,SKCM
ALG6,SKCM
ALG8,SKCM
ALG9,SKCM
ALK,SKCM
ALKBH1,SKCM
ALKBH3,SKCM
ALKBH4,SKCM
ALKBH8,SKCM
ALLC,SKCM
ALMS1,SKCM
ALOX5,SKCM
ALPK3,SKCM
ALS2CR11,SKCM
ALX3,SKCM
ALX4,SKCM
ALYREF,SKCM
AMACR,SKCM
AMBN,SKCM
AMBRA1,SKCM
AMD1,SKCM
AMDHD2,SKCM
AMER1,SKCM
AMER3,SKCM
AMFR,SKCM
AMN,SKCM
AMPD1,SKCM
AMTN,SKCM
AMY1B,SKCM
AMY2A,SKCM
AMY2B,SKCM
AMZ2,SKCM
ANAPC1,SKCM
ANAPC10,SKCM
ANAPC11,SKCM
ANAPC13,SKCM
ANAPC15,SKCM
ANAPC16,SKCM
ANAPC2,SKCM
ANAPC4,SKCM
ANAPC5,SKCM
ANG,SKCM
ANGEL2,SKCM
ANGPT1,SKCM
ANGPTL3,SKCM
ANGPTL5,SKCM
ANK3,SKCM
ANKAR,SKCM
ANKFY1,SKCM
ANKHD1,SKCM
ANKHD1-EIF4EBP3,SKCM
ANKIB1,SKCM
ANKLE2,SKCM
ANKMY2,SKCM
ANKRA2,SKCM
ANKRD1,SKCM
ANKRD11,SKCM
ANKRD17,SKCM
ANKRD18A,SKCM
ANKRD22,SKCM
ANKRD23,SKCM
ANKRD28,SKCM
ANKRD30A,SKCM
ANKRD31,SKCM
ANKRD32,SKCM
ANKRD34B,SKCM
ANKRD34C,SKCM
ANKRD36,SKCM
ANKRD40,SKCM
ANKRD42,SKCM
ANKRD49,SKCM
ANKRD50,SKCM
ANKRD52,SKCM
ANKRD54,SKCM
ANKRD6,SKCM
ANKRD65,SKCM
ANKRD7,SKCM
ANLN,SKCM
ANO1,SKCM
ANO3,SKCM
ANP32A,SKCM
ANP32B,SKCM
ANP32E,SKCM
ANTXR1,SKCM
ANTXR2,SKCM
ANTXRL,SKCM
ANXA1,SKCM
ANXA10,SKCM
ANXA13,SKCM
ANXA2,SKCM
ANXA2R,SKCM
ANXA3,SKCM
ANXA8,SKCM
ANXA8L2,SKCM
AOAH,SKCM
AP1AR,SKCM
AP1B1,SKCM
AP1G1,SKCM
AP1M2,SKCM
AP1S2,SKCM
AP2A1,SKCM
AP2B1,SKCM
AP2M1,SKCM
AP2S1,SKCM
AP3B1,SKCM
AP3M1,SKCM
AP3M2,SKCM
AP3S1,SKCM
AP4S1,SKCM
AP5M1,SKCM
APBA1,SKCM
APBA2,SKCM
APBB1IP,SKCM
APC,SKCM
APC2,SKCM
APCS,SKCM
APEX1,SKCM
APEX2,SKCM
APH1A,SKCM
APH1B,SKCM
API5,SKCM
APIP,SKCM
APITD1,SKCM
APITD1-CORT,SKCM
APLP1,SKCM
APLP2,SKCM
APMAP,SKCM
APOBEC3A,SKCM
APOBEC3D,SKCM
APOBEC4,SKCM
APOC2,SKCM
APOE,SKCM
APOH,SKCM
APOL2,SKCM
APOOL,SKCM
APPBP2,SKCM
APPL2,SKCM
APRT,SKCM
APTX,SKCM
AQP1,SKCM
AQP10,SKCM
AQP12B,SKCM
AQP7,SKCM
AQP9,SKCM
AQR,SKCM
AR,SKCM
ARAP1,SKCM
ARAP2,SKCM
ARCN1,SKCM
ARF1,SKCM
ARF3,SKCM
ARF4,SKCM
ARF6,SKCM
ARFGAP1,SKCM
ARFGEF1,SKCM
ARFIP1,SKCM
ARFRP1,SKCM
ARGLU1,SKCM
ARHGAP1,SKCM
ARHGAP11A,SKCM
ARHGAP11B,SKCM
ARHGAP19,SKCM
ARHGAP21,SKCM
ARHGAP24,SKCM
ARHGAP26,SKCM
ARHGAP29,SKCM
ARHGAP30,SKCM
ARHGAP35,SKCM
ARHGAP5,SKCM
ARHGAP6,SKCM
ARHGAP8,SKCM
ARHGDIB,SKCM
ARHGEF11,SKCM
ARHGEF12,SKCM
ARHGEF2,SKCM
ARHGEF25,SKCM
ARHGEF3,SKCM
ARHGEF33,SKCM
ARHGEF35,SKCM
ARHGEF38,SKCM
ARHGEF5,SKCM
ARHGEF7,SKCM
ARHGEF9,SKCM
ARID1A,SKCM
ARID1B,SKCM
ARID2,SKCM
ARID3A,SKCM
ARID3B,SKCM
ARID4A,SKCM
ARID4B,SKCM
ARID5A,SKCM
ARIH1,SKCM
ARIH2,SKCM
ARL1,SKCM
ARL10,SKCM
ARL11,SKCM
ARL13B,SKCM
ARL14,SKCM
ARL14EP,SKCM
ARL14EPL,SKCM
ARL15,SKCM
ARL2,SKCM
ARL2BP,SKCM
ARL3,SKCM
ARL4A,SKCM
ARL5A,SKCM
ARL5B,SKCM
ARL6IP1,SKCM
ARL6IP6,SKCM
ARL8B,SKCM
ARMC1,SKCM
ARMC10,SKCM
ARMC2,SKCM
ARMC5,SKCM
ARMC7,SKCM
ARMC9,SKCM
ARMCX1,SKCM
ARMCX3,SKCM
ARMCX5,SKCM
ARMCX6,SKCM
ARNT,SKCM
ARNTL,SKCM
ARPC1A,SKCM
ARPC2,SKCM
ARPC3,SKCM
ARPC4,SKCM
ARPC5,SKCM
ARPP19,SKCM
ARRB1,SKCM
ARRB2,SKCM
ARRDC4,SKCM
ARSB,SKCM
ARSK,SKCM
ART3,SKCM
ARTN,SKCM
ARV1,SKCM
AS3MT,SKCM
ASAH1,SKCM
ASB17,SKCM
ASB3,SKCM
ASB6,SKCM
ASB7,SKCM
ASCC1,SKCM
ASCC3,SKCM
ASCL1,SKCM
ASCL2,SKCM
ASF1A,SKCM
ASF1B,SKCM
ASH2L,SKCM
ASIC1,SKCM
ASIP,SKCM
ASMT,SKCM
ASNA1,SKCM
ASNS,SKCM
ASNSD1,SKCM
ASPDH,SKCM
ASPHD2,SKCM
ASPM,SKCM
ASTL,SKCM
ASUN,SKCM
ASXL3,SKCM
ATAD1,SKCM
ATAD2,SKCM
ATAD3A,SKCM
ATAD5,SKCM
ATAT1,SKCM
ATF1,SKCM
ATF2,SKCM
ATF4,SKCM
ATF5,SKCM
ATF6,SKCM
ATF7,SKCM
ATF7IP,SKCM
ATG10,SKCM
ATG12,SKCM
ATG13,SKCM
ATG14,SKCM
ATG2B,SKCM
ATG3,SKCM
ATG4C,SKCM
ATG5,SKCM
ATG9A,SKCM
ATHL1,SKCM
ATIC,SKCM
ATL1,SKCM
ATL2,SKCM
ATL3,SKCM
ATM,SKCM
ATMIN,SKCM
ATOH1,SKCM
ATOX1,SKCM
ATP10A,SKCM
ATP10D,SKCM
ATP11B,SKCM
ATP11C,SKCM
ATP13A1,SKCM
ATP1A1,SKCM
ATP1B1,SKCM
ATP1B3,SKCM
ATP2A2,SKCM
ATP2B1,SKCM
ATP2B4,SKCM
ATP2C1,SKCM
ATP5A1,SKCM
ATP5B,SKCM
ATP5C1,SKCM
ATP5D,SKCM
ATP5F1,SKCM
ATP5G1,SKCM
ATP5G2,SKCM
ATP5H,SKCM
ATP5I,SKCM
ATP5J,SKCM
ATP5J2,SKCM
ATP5J2-PTCD1,SKCM
ATP5L,SKCM
ATP5L2,SKCM
ATP5O,SKCM
ATP5SL,SKCM
ATP6AP1,SKCM
ATP6AP1L,SKCM
ATP6AP2,SKCM
ATP6V0A1,SKCM
ATP6V0B,SKCM
ATP6V0C,SKCM
ATP6V0D1,SKCM
ATP6V0D2,SKCM
ATP6V0E1,SKCM
ATP6V0E2,SKCM
ATP6V1A,SKCM
ATP6V1B2,SKCM
ATP6V1C1,SKCM
ATP6V1D,SKCM
ATP6V1E1,SKCM
ATP6V1F,SKCM
ATP6V1G1,SKCM
ATP6V1G3,SKCM
ATP6V1H,SKCM
ATP7A,SKCM
ATP8A1,SKCM
ATP8A2,SKCM
ATP8B2,SKCM
ATPAF2,SKCM
ATPIF1,SKCM
ATR,SKCM
ATRIP,SKCM
ATRN,SKCM
ATRX,SKCM
ATXN10,SKCM
ATXN2L,SKCM
ATXN3L,SKCM
ATXN7,SKCM
ATXN7L3,SKCM
ATXN7L3B,SKCM
AUP1,SKCM
AURKA,SKCM
AURKAIP1,SKCM
AURKB,SKCM
AUTS2,SKCM
AVEN,SKCM
AVIL,SKCM
AVP,SKCM
AVPR1A,SKCM
AXDND1,SKCM
AXIN2,SKCM
AZGP1,SKCM
AZI2,SKCM
AZIN1,SKCM
B3GALNT1,SKCM
B3GALT4,SKCM
B3GNT2,SKCM
B3GNT5,SKCM
B3GNT6,SKCM
B4GALNT1,SKCM
B4GALT3,SKCM
B4GALT4,SKCM
B4GALT7,SKCM
BACH1,SKCM
BAG4,SKCM
BAI2,SKCM
BAK1,SKCM
BAMBI,SKCM
BANF1,SKCM
BANK1,SKCM
BANP,SKCM
BAP1,SKCM
BARD1,SKCM
BATF,SKCM
BATF2,SKCM
BAZ1A,SKCM
BAZ1B,SKCM
BAZ2B,SKCM
BBIP1,SKCM
BBS10,SKCM
BBS12,SKCM
BBS5,SKCM
BCAN,SKCM
BCAP29,SKCM
BCAP31,SKCM
BCAR1,SKCM
BCAR3,SKCM
BCAS1,SKCM
BCAS2,SKCM
BCAT1,SKCM
BCCIP,SKCM
BCDIN3D,SKCM
BCKDHA,SKCM
BCL10,SKCM
BCL11B,SKCM
BCL2,SKCM
BCL2L1,SKCM
BCL2L12,SKCM
BCL2L15,SKCM
BCL2L2-PABPN1,SKCM
BCL6,SKCM
BCL7C,SKCM
BCL9,SKCM
BCL9L,SKCM
BCLAF1,SKCM
BCORL1,SKCM
BCS1L,SKCM
BDH2,SKCM
BDNF,SKCM
BDP1,SKCM
BECN1,SKCM
BEND3,SKCM
BET1,SKCM
BEX2,SKCM
BEX4,SKCM
BFAR,SKCM
BFSP1,SKCM
BGLAP,SKCM
BHLHB9,SKCM
BHLHE22,SKCM
BHLHE40,SKCM
BHLHE41,SKCM
BHMT,SKCM
BICD2,SKCM
BID,SKCM
BIRC2,SKCM
BIRC3,SKCM
BIRC5,SKCM
BIRC6,SKCM
BIRC8,SKCM
BIVM,SKCM
BLM,SKCM
BLOC1S2,SKCM
BLOC1S6,SKCM
BLVRB,SKCM
BLZF1,SKCM
BMF,SKCM
BMI1,SKCM
BMP10,SKCM
BMP2K,SKCM
BMP3,SKCM
BMP4,SKCM
BMP5,SKCM
BMP8A,SKCM
BMP8B,SKCM
BMPR1A,SKCM
BMPR1B,SKCM
BMPR2,SKCM
BMS1,SKCM
BNC1,SKCM
BNC2,SKCM
BNIP1,SKCM
BNIP2,SKCM
BNIP3,SKCM
BOD1L1,SKCM
BOD1L2,SKCM
BOLA3,SKCM
BOP1,SKCM
BORA,SKCM
BPGM,SKCM
BPIFC,SKCM
BPNT1,SKCM
BPTF,SKCM
BPY2C,SKCM
BRAF,SKCM
BRAP,SKCM
BRAT1,SKCM
BRCA1,SKCM
BRCA2,SKCM
BRCC3,SKCM
BRD1,SKCM
BRD2,SKCM
BRD4,SKCM
BRD7,SKCM
BRD8,SKCM
BRD9,SKCM
BRF1,SKCM
BRF2,SKCM
BRI3,SKCM
BRI3BP,SKCM
BRINP2,SKCM
BRIP1,SKCM
BRIX1,SKCM
BRMS1,SKCM
BRMS1L,SKCM
BRPF1,SKCM
BRPF3,SKCM
BRS3,SKCM
BRWD1,SKCM
BRWD3,SKCM
BSCL2,SKCM
BSG,SKCM
BSN,SKCM
BSND,SKCM
BSPH1,SKCM
BST1,SKCM
BTAF1,SKCM
BTBD10,SKCM
BTBD3,SKCM
BTBD6,SKCM
BTBD7,SKCM
BTBD8,SKCM
BTBD9,SKCM
BTC,SKCM
BTD,SKCM
BTF3,SKCM
BTF3L4,SKCM
BTG1,SKCM
BTK,SKCM
BTLA,SKCM
BTRC,SKCM
BUB1,SKCM
BUB1B,SKCM
BUB3,SKCM
BUD13,SKCM
BUD31,SKCM
BYSL,SKCM
BZW1,SKCM
BZW2,SKCM
C10orf10,SKCM
C10orf107,SKCM
C10orf128,SKCM
C10orf129,SKCM
C10orf131,SKCM
C10orf137,SKCM
C10orf2,SKCM
C10orf68,SKCM
C10orf76,SKCM
C10orf82,SKCM
C10orf88,SKCM
C10orf95,SKCM
C11orf30,SKCM
C11orf31,SKCM
C11orf42,SKCM
C11orf49,SKCM
C11orf54,SKCM
C11orf57,SKCM
C11orf58,SKCM
C11orf65,SKCM
C11orf70,SKCM
C11orf73,SKCM
C11orf74,SKCM
C11orf82,SKCM
C11orf83,SKCM
C11orf85,SKCM
C11orf88,SKCM
C11orf91,SKCM
C11orf94,SKCM
C12orf10,SKCM
C12orf4,SKCM
C12orf40,SKCM
C12orf42,SKCM
C12orf43,SKCM
C12orf45,SKCM
C12orf49,SKCM
C12orf50,SKCM
C12orf52,SKCM
C12orf56,SKCM
C12orf57,SKCM
C12orf65,SKCM
C12orf71,SKCM
C12orf75,SKCM
C13orf45,SKCM
C14orf159,SKCM
C14orf164,SKCM
C14orf166,SKCM
C14orf166B,SKCM
C14orf178,SKCM
C14orf2,SKCM
C14orf28,SKCM
C14orf39,SKCM
C14orf80,SKCM
C15orf26,SKCM
C15orf38-AP3S2,SKCM
C15orf41,SKCM
C15orf43,SKCM
C15orf48,SKCM
C15orf57,SKCM
C16orf45,SKCM
C16orf59,SKCM
C16orf62,SKCM
C16orf72,SKCM
C16orf80,SKCM
C16orf87,SKCM
C16orf90,SKCM
C16orf92,SKCM
C17orf102,SKCM
C17orf104,SKCM
C17orf105,SKCM
C17orf49,SKCM
C17orf58,SKCM
C17orf66,SKCM
C17orf70,SKCM
C17orf74,SKCM
C17orf75,SKCM
C17orf80,SKCM
C17orf85,SKCM
C17orf89,SKCM
C17orf96,SKCM
C17orf98,SKCM
C17orf99,SKCM
C18orf21,SKCM
C18orf32,SKCM
C19orf18,SKCM
C19orf25,SKCM
C19orf40,SKCM
C19orf43,SKCM
C19orf48,SKCM
C19orf52,SKCM
C19orf53,SKCM
C19orf70,SKCM
C19orf77,SKCM
C19orf82,SKCM
C19orf83,SKCM
C1D,SKCM
C1GALT1,SKCM
C1GALT1C1,SKCM
C1orf101,SKCM
