gene,cancer_type
A1BG,STAD
A1CF,STAD
AAAS,STAD
AACS,STAD
AADACL2,STAD
AADAT,STAD
AAGAB,STAD
AAMP,STAD
AAR2,STAD
AARD,STAD
AARS,STAD
AARS2,STAD
AASDHPPT,STAD
AASS,STAD
AATF,STAD
AATK,STAD
ABCA1,STAD
ABCA10,STAD
ABCA12,STAD
ABCA13,STAD
ABCA4,STAD
ABCA5,STAD
ABCA6,STAD
ABCA9,STAD
ABCB1,STAD
ABCB4,STAD
ABCB5,STAD
ABCB7,STAD
ABCB8,STAD
ABCC11,STAD
ABCC12,STAD
ABCC2,STAD
ABCC9,STAD
ABCD1,STAD
ABCD3,STAD
ABCE1,STAD
ABCF1,STAD
ABCF2,STAD
ABCG2,STAD
ABHD10,STAD
ABHD13,STAD
ABHD15,STAD
ABHD17A,STAD
ABHD17B,STAD
ABI1,STAD
ABI3BP,STAD
ABLIM1,STAD
ABLIM3,STAD
ABT1,STAD
ACAA2,STAD
ACACA,STAD
ACAD8,STAD
ACAD9,STAD
ACADSB,STAD
ACAP2,STAD
ACAP3,STAD
ACAT1,STAD
ACAT2,STAD
ACBD7,STAD
ACCSL,STAD
ACER1,STAD
ACHE,STAD
ACIN1,STAD
ACKR4,STAD
ACLY,STAD
ACN9,STAD
ACO1,STAD
ACO2,STAD
ACOT2,STAD
ACOT4,STAD
ACOT6,STAD
ACOT9,STAD
ACOX1,STAD
ACOXL,STAD
ACPL2,STAD
ACR,STAD
ACSL1,STAD
ACSL3,STAD
ACSL4,STAD
ACSL5,STAD
ACSM1,STAD
ACSM3,STAD
ACSS2,STAD
ACTB,STAD
ACTG1,STAD
ACTL6A,STAD
ACTN4,STAD
ACTR10,STAD
ACTR1A,STAD
ACTR2,STAD
ACTR3,STAD
ACTR3B,STAD
ACTR3C,STAD
ACTR5,STAD
ACTR6,STAD
ACTR8,STAD
ACTRT3,STAD
ACVR1,STAD
ACVR1B,STAD
ACVR2A,STAD
ACVR2B,STAD
ACVRL1,STAD
ADA,STAD
ADAL,STAD
ADAM10,STAD
ADAM11,STAD
ADAM17,STAD
ADAM2,STAD
ADAM21,STAD
ADAM23,STAD
ADAM32,STAD
ADAM33,STAD
ADAMDEC1,STAD
ADAMTS10,STAD
ADAMTS17,STAD
ADAMTS2,STAD
ADAMTS3,STAD
ADAMTS9,STAD
ADAMTSL4,STAD
ADAMTSL5,STAD
ADAP1,STAD
ADAP2,STAD
ADAR,STAD
ADAT2,STAD
ADAT3,STAD
ADCK2,STAD
ADCY2,STAD
ADCY8,STAD
ADD3,STAD
ADH5,STAD
ADH6,STAD
ADHFE1,STAD
ADI1,STAD
ADIPOR1,STAD
ADIPOR2,STAD
ADK,STAD
ADNP,STAD
ADORA2A,STAD
ADPGK,STAD
ADPRHL2,STAD
ADPRM,STAD
ADRBK1,STAD
ADRM1,STAD
ADSL,STAD
ADSS,STAD
AFF1,STAD
AFF2,STAD
AFF4,STAD
AFG3L2,STAD
AFP,STAD
AGA,STAD
AGAP2,STAD
AGAP3,STAD
AGAP5,STAD
AGAP6,STAD
AGAP7,STAD
AGBL3,STAD
AGK,STAD
AGL,STAD
AGO3,STAD
AGPAT1,STAD
AGPAT2,STAD
AGPAT3,STAD
AGPAT4,STAD
AGPAT5,STAD
AGR2,STAD
AGR3,STAD
AGRP,STAD
AGTPBP1,STAD
AGTR1,STAD
AGTR2,STAD
AHCTF1,STAD
AHCY,STAD
AHCYL1,STAD
AHCYL2,STAD
AHI1,STAD
AHNAK,STAD
AHR,STAD
AHSA1,STAD
AIFM1,STAD
AIFM2,STAD
AIMP2,STAD
AK1,STAD
AK2,STAD
AK3,STAD
AK4,STAD
AK6,STAD
AK9,STAD
AKAP13,STAD
AKAP17A,STAD
AKAP3,STAD
AKAP4,STAD
AKAP5,STAD
AKAP8L,STAD
AKAP9,STAD
AKIP1,STAD
AKIRIN1,STAD
AKIRIN2,STAD
AKR1B15,STAD
AKR1C2,STAD
AKR1C4,STAD
AKR1D1,STAD
AKR7A3,STAD
AKT1,STAD
AKT2,STAD
AKTIP,STAD
ALAD,STAD
ALAS1,STAD
ALAS2,STAD
ALCAM,STAD
ALDH16A1,STAD
ALDH3A2,STAD
ALDH6A1,STAD
ALDH8A1,STAD
ALDH9A1,STAD
ALDOA,STAD
ALDOC,STAD
ALG1,STAD
ALG10,STAD
ALG10B,STAD
ALG11,STAD
ALG12,STAD
ALG13,STAD
ALG14,STAD
ALG1L,STAD
ALG2,STAD
ALG3,STAD
ALG5,STAD
ALG6,STAD
ALG8,STAD
ALG9,STAD
ALK,STAD
ALKBH1,STAD
ALKBH3,STAD
ALKBH4,STAD
ALKBH8,STAD
ALLC,STAD
ALMS1,STAD
ALOX5,STAD
ALPK3,STAD
ALS2CR11,STAD
ALX3,STAD
ALX4,STAD
ALYREF,STAD
AMACR,STAD
AMBN,STAD
AMBRA1,STAD
AMD1,STAD
AMDHD2,STAD
AMER1,STAD
AMER3,STAD
AMFR,STAD
AMN,STAD
AMPD1,STAD
AMTN,STAD
AMY1B,STAD
AMY2A,STAD
AMY2B,STAD
AMZ2,STAD
ANAPC1,STAD
ANAPC10,STAD
ANAPC11,STAD
ANAPC13,STAD
ANAPC15,STAD
ANAPC16,STAD
ANAPC2,STAD
ANAPC4,STAD
ANAPC5,STAD
ANG,STAD
ANGEL2,STAD
ANGPT1,STAD
ANGPTL3,STAD
ANGPTL5,STAD
ANK3,STAD
ANKAR,STAD
ANKFY1,STAD
ANKHD1,STAD
ANKHD1-EIF4EBP3,STAD
ANKIB1,STAD
ANKLE2,STAD
ANKMY2,STAD
ANKRA2,STAD
ANKRD1,STAD
ANKRD11,STAD
ANKRD17,STAD
ANKRD18A,STAD
ANKRD22,STAD
ANKRD23,STAD
ANKRD28,STAD
ANKRD30A,STAD
ANKRD31,STAD
ANKRD32,STAD
ANKRD34B,STAD
ANKRD34C,STAD
ANKRD36,STAD
ANKRD40,STAD
ANKRD42,STAD
ANKRD49,STAD
ANKRD50,STAD
ANKRD52,STAD
ANKRD54,STAD
ANKRD6,STAD
ANKRD65,STAD
ANKRD7,STAD
ANLN,STAD
ANO1,STAD
ANO3,STAD
ANP32A,STAD
ANP32B,STAD
ANP32E,STAD
ANTXR1,STAD
ANTXR2,STAD
ANTXRL,STAD
ANXA1,STAD
ANXA10,STAD
ANXA13,STAD
ANXA2,STAD
ANXA2R,STAD
ANXA3,STAD
ANXA8,STAD
ANXA8L2,STAD
AOAH,STAD
AP1AR,STAD
AP1B1,STAD
AP1G1,STAD
AP1M2,STAD
AP1S2,STAD
AP2A1,STAD
AP2B1,STAD
AP2M1,STAD
AP2S1,STAD
AP3B1,STAD
AP3M1,STAD
AP3M2,STAD
AP3S1,STAD
AP4S1,STAD
AP5M1,STAD
APBA1,STAD
APBA2,STAD
APBB1IP,STAD
APC,STAD
APC2,STAD
APCS,STAD
APEX1,STAD
APEX2,STAD
APH1A,STAD
APH1B,STAD
API5,STAD
APIP,STAD
APITD1,STAD
APITD1-CORT,STAD
APLP1,STAD
APLP2,STAD
APMAP,STAD
APOBEC3A,STAD
APOBEC3D,STAD
APOBEC4,STAD
APOC2,STAD
APOE,STAD
APOH,STAD
APOL2,STAD
APOOL,STAD
APPBP2,STAD
APPL2,STAD
APRT,STAD
APTX,STAD
AQP1,STAD
AQP10,STAD
AQP12B,STAD
AQP7,STAD
AQP9,STAD
AQR,STAD
AR,STAD
ARAP1,STAD
ARAP2,STAD
ARCN1,STAD
ARF1,STAD
ARF3,STAD
ARF4,STAD
ARF6,STAD
ARFGAP1,STAD
ARFGEF1,STAD
ARFIP1,STAD
ARFRP1,STAD
ARGLU1,STAD
ARHGAP1,STAD
ARHGAP11A,STAD
ARHGAP11B,STAD
ARHGAP19,STAD
ARHGAP21,STAD
ARHGAP24,STAD
ARHGAP26,STAD
ARHGAP29,STAD
ARHGAP30,STAD
