gene,cancer_type
A1BG,UCEC
A1CF,UCEC
AAAS,UCEC
AACS,UCEC
AADACL2,UCEC
AADAT,UCEC
AAGAB,UCEC
AAMP,UCEC
AAR2,UCEC
AARD,UCEC
AARS,UCEC
AARS2,UCEC
AASDHPPT,UCEC
AASS,UCEC
AATF,UCEC
AATK,UCEC
ABCA1,UCEC
ABCA10,UCEC
ABCA12,UCEC
ABCA13,UCEC
ABCA4,UCEC
ABCA5,UCEC
ABCA6,UCEC
ABCA9,UCEC
ABCB1,UCEC
ABCB4,UCEC
ABCB5,UCEC
ABCB7,UCEC
ABCB8,UCEC
ABCC11,UCEC
ABCC12,UCEC
ABCC2,UCEC
ABCC9,UCEC
ABCD1,UCEC
ABCD3,UCEC
ABCE1,UCEC
ABCF1,UCEC
ABCF2,UCEC
ABCG2,UCEC
ABHD10,UCEC
ABHD13,UCEC
ABHD15,UCEC
ABHD17A,UCEC
ABHD17B,UCEC
ABI1,UCEC
ABI3BP,UCEC
ABLIM1,UCEC
ABLIM3,UCEC
ABT1,UCEC
ACAA2,UCEC
ACACA,UCEC
ACAD8,UCEC
ACAD9,UCEC
ACADSB,UCEC
ACAP2,UCEC
ACAP3,UCEC
ACAT1,UCEC
ACAT2,UCEC
ACBD7,UCEC
ACCSL,UCEC
ACER1,UCEC
ACHE,UCEC
ACIN1,UCEC
ACKR4,UCEC
ACLY,UCEC
ACN9,UCEC
ACO1,UCEC
ACO2,UCEC
ACOT2,UCEC
ACOT4,UCEC
ACOT6,UCEC
ACOT9,UCEC
ACOX1,UCEC
ACOXL,UCEC
ACPL2,UCEC
ACR,UCEC
ACSL1,UCEC
ACSL3,UCEC
ACSL4,UCEC
ACSL5,UCEC
ACSM1,UCEC
ACSM3,UCEC
ACSS2,UCEC
ACTB,UCEC
ACTG1,UCEC
ACTL6A,UCEC
ACTN4,UCEC
ACTR10,UCEC
ACTR1A,UCEC
ACTR2,UCEC
ACTR3,UCEC
ACTR3B,UCEC
ACTR3C,UCEC
ACTR5,UCEC
ACTR6,UCEC
ACTR8,UCEC
ACTRT3,UCEC
ACVR1,UCEC
ACVR1B,UCEC
ACVR2A,UCEC
ACVR2B,UCEC
ACVRL1,UCEC
ADA,UCEC
