gene,cancers,logrank_p
A1BG,BLCA,0.74
A1CF,BLCA,0.3
AAAS,BLCA,0.98
AACS,BLCA,0.091
AADACL2,BLCA,0.22
AADAT,BLCA,0.086
AAGAB,BLCA,0.35
AAMP,BLCA,0.26
AAR2,BLCA,0.46
AARD,BLCA,0.0012
AARS,BLCA,0.066
AARS2,BLCA,0.46
AASDHPPT,BLCA,0.36
AASS,BLCA,0.31
AATF,BLCA,0.15
AATK,BLCA,0.94
ABCA1,BLCA,0.83
ABCA10,BLCA,0.063
ABCA12,BLCA,0.53
ABCA13,BLCA,0.48
ABCA4,BLCA,0.0075
ABCA5,BLCA,0.68
ABCA6,BLCA,0.87
ABCA9,BLCA,0.18
ABCB1,BLCA,0.74
ABCB4,BLCA,0.084
ABCB5,BLCA,0.052
ABCB7,BLCA,0.44
ABCB8,BLCA,0.065
ABCC11,BLCA,0.074
ABCC12,BLCA,0.16
ABCC2,BLCA,0.19
ABCC9,BLCA,0.0004
ABCD1,BLCA,0.38
ABCD3,BLCA,0.87
ABCE1,BLCA,0.66
ABCF1,BLCA,0.036
ABCF2,BLCA,0.12
ABCG2,BLCA,0.5
ABHD10,BLCA,0.16
ABHD13,BLCA,0.88
ABHD15,BLCA,0.94
ABHD17A,BLCA,0.21
ABHD17B,BLCA,0.55
ABI1,BLCA,0.11
ABI3BP,BLCA,0.0054
ABLIM1,BLCA,0.71
ABLIM3,BLCA,0.16
ABT1,BLCA,0.22
ACAA2,BLCA,0.3
