gene,cancer,logrank_p
A1BG,ACC,0.24
AAAS,ACC,0.4
AACS,ACC,0.022
AADAT,ACC,0.19
AAGAB,ACC,0.069
AAMP,ACC,0.005
AAR2,ACC,0.0015
AARD,ACC,0.37
AARS,ACC,0.21
AARS2,ACC,0.16
AASDHPPT,ACC,0.63
AASS,ACC,0.68
AATF,ACC,0.0011
AATK,ACC,0.00048
ABCA1,ACC,0.59
ABCA10,ACC,0.27
ABCA13,ACC,0.28
ABCA4,ACC,0.7
ABCA5,ACC,0.8
ABCA6,ACC,0.51
ABCA9,ACC,0.24
ABCB1,ACC,0.15
ABCB4,ACC,0.0016
ABCB5,ACC,0.55
ABCB7,ACC,0.59
ABCB8,ACC,0.036
ABCC11,ACC,0.38
ABCC2,ACC,0.43
ABCC9,ACC,0.33
ABCD1,ACC,0.55
ABCD3,ACC,0.14
ABCE1,ACC,0.071
ABCF1,ACC,0.57
ABCF2,ACC,0.22
ABCG2,ACC,0.18
ABHD10,ACC,0.17
ABHD13,ACC,0.088
ABHD15,ACC,0.84
ABHD17A,ACC,8.8e-05
ABHD17B,ACC,0.00092
ABI1,ACC,0.2
ABI3BP,ACC,0.01
ABLIM1,ACC,0.39
ABLIM3,ACC,0.21
ABT1,ACC,0.46
ACAA2,ACC,0.88
ACACA,ACC,0.0031
ACAD8,ACC,0.76
ACAD9,ACC,0.17
ACADSB,ACC,0.19
ACAP2,ACC,0.24
ACAP3,ACC,0.045
ACAT1,ACC,0.44
ACAT2,ACC,0.067
ACBD7,ACC,0.0076
ACER1,ACC,0.71
ACHE,ACC,0.019
ACIN1,ACC,0.0064
ACKR4,ACC,0.47
ACLY,ACC,0.0014
ACO1,ACC,0.69
ACO2,ACC,0.061
ACOT2,ACC,0.63
ACOT4,ACC,0.74
ACOT6,ACC,0.6
ACOT9,ACC,0.015
ACOX1,ACC,0.23
ACOXL,ACC,0.00043
ACR,ACC,0.84
ACSL1,ACC,0.54
ACSL3,ACC,0.011
ACSL4,ACC,0.11
ACSL5,ACC,0.19
ACSM1,ACC,0.77
ACSM3,ACC,0.054
ACSS2,ACC,0.53
ACTB,ACC,0.27
ACTG1,ACC,0.56
ACTL6A,ACC,0.012
ACTN4,ACC,0.23
ACTR10,ACC,0.16
ACTR1A,ACC,0.0044
ACTR2,ACC,0.036
ACTR3,ACC,0.26
ACTR3B,ACC,0.26
ACTR3C,ACC,0.00022
ACTR5,ACC,0.14
ACTR6,ACC,0.98
ACTR8,ACC,0.011
ACTRT3,ACC,0.02
ACVR1,ACC,0.39
ACVR1B,ACC,0.98
ACVR2A,ACC,0.14
ACVR2B,ACC,0.56
ACVRL1,ACC,0.1
ADA,ACC,0.91
ADAL,ACC,0.39
ADAM10,ACC,0.02
ADAM11,ACC,0.0051
ADAM17,ACC,0.011
ADAM21,ACC,0.7
ADAM23,ACC,0.41
ADAM32,ACC,0.43
ADAM33,ACC,0.23
ADAMDEC1,ACC,0.0042
ADAMTS10,ACC,0.5
ADAMTS17,ACC,0.87
ADAMTS2,ACC,0.099
ADAMTS3,ACC,0.17
ADAMTS9,ACC,0.05
ADAMTSL4,ACC,0.76
ADAMTSL5,ACC,0.23
ADAP1,ACC,0.14
ADAP2,ACC,0.9
ADAR,ACC,0.011
ADAT2,ACC,0.19
ADAT3,ACC,0.0052
ADCK2,ACC,0.22
ADCY2,ACC,0.36
ADCY8,ACC,0.71
ADD3,ACC,0.45
ADH5,ACC,0.31
ADHFE1,ACC,0.91
ADI1,ACC,0.069
ADIPOR1,ACC,0.029
ADIPOR2,ACC,0.56
ADK,ACC,0.18
ADNP,ACC,0.095
ADORA2A,ACC,0.25
ADPGK,ACC,0.0095
ADPRHL2,ACC,0.42
ADPRM,ACC,0.058
ADRBK1,ACC,3.4e-06
ADRM1,ACC,0.31
ADSL,ACC,0.0073
ADSS,ACC,0.056
AFF1,ACC,0.21
AFF2,ACC,0.18
AFF4,ACC,0.81
AFG3L2,ACC,0.0051
AFP,ACC,0.12
AGA,ACC,0.36
AGAP2,ACC,0.051
AGAP3,ACC,0.019
AGAP5,ACC,0.0043
AGAP6,ACC,7.9e-05
AGBL3,ACC,0.78
AGK,ACC,0.89
AGL,ACC,0.16
AGO3,ACC,0.0002
AGPAT1,ACC,0.079
AGPAT2,ACC,0.03
AGPAT3,ACC,0.0083
AGPAT4,ACC,0.013
AGPAT5,ACC,0.94
AGRP,ACC,0.15
AGTPBP1,ACC,0.13
AGTR1,ACC,0.62
AHCTF1,ACC,0.067
AHCY,ACC,0.036
AHCYL1,ACC,0.37
AHCYL2,ACC,0.28
AHI1,ACC,0.16
AHNAK,ACC,0.11
AHR,ACC,0.85
AHSA1,ACC,0.014
AIFM1,ACC,0.015
AIFM2,ACC,0.0036
AIMP2,ACC,0.0017
AK1,ACC,0.43
AK2,ACC,0.012
AK3,ACC,0.037
AK4,ACC,0.13
AK6,ACC,0.53
AK9,ACC,0.12
AKAP13,ACC,0.18
AKAP17A,ACC,0.29
AKAP3,ACC,0.96
AKAP5,ACC,0.037
AKAP8L,ACC,0.0018
AKAP9,ACC,0.31
AKIP1,ACC,0.16
AKIRIN1,ACC,0.0028
AKIRIN2,ACC,0.039
AKR1B15,ACC,0.17
AKR1C2,ACC,0.62
AKR1D1,ACC,9.5e-05
AKR7A3,ACC,0.0054
AKT1,ACC,0.8
AKT2,ACC,0.021
AKTIP,ACC,0.22
ALAD,ACC,0.4
ALAS1,ACC,0.25
ALAS2,ACC,0.051
ALCAM,ACC,0.31
ALDH16A1,ACC,0.046
ALDH3A2,ACC,0.4
ALDH6A1,ACC,0.085
ALDH8A1,ACC,0.059
ALDH9A1,ACC,0.38
ALDOA,ACC,0.48
ALDOC,ACC,0.061
ALG1,ACC,0.62
ALG10,ACC,0.32
ALG10B,ACC,0.52
ALG11,ACC,0.22
ALG12,ACC,0.17
ALG13,ACC,0.51
ALG14,ACC,0.34
ALG1L,ACC,0.42
ALG2,ACC,0.13
ALG3,ACC,0.024
ALG5,ACC,0.13
ALG6,ACC,0.07
ALG8,ACC,0.13
ALG9,ACC,0.00024
ALK,ACC,0.38
ALKBH1,ACC,0.72
ALKBH3,ACC,0.29
ALKBH4,ACC,0.3
ALKBH8,ACC,0.54
ALLC,ACC,0.032
ALMS1,ACC,0.00017
ALOX5,ACC,0.4
ALPK3,ACC,0.1
ALS2CR11,ACC,0.28
ALX4,ACC,0.1
ALYREF,ACC,0.0021
AMACR,ACC,0.68
AMBRA1,ACC,0.61
AMD1,ACC,0.2
AMDHD2,ACC,0.51
AMER1,ACC,0.88
AMFR,ACC,0.12
AMN,ACC,0.034
AMY2B,ACC,0.00087
AMZ2,ACC,0.74
ANAPC1,ACC,0.067
ANAPC10,ACC,0.32
ANAPC11,ACC,0.0094
ANAPC13,ACC,0.81
ANAPC15,ACC,0.077
ANAPC16,ACC,0.16
ANAPC2,ACC,0.0021
ANAPC4,ACC,0.42
ANAPC5,ACC,0.06
ANG,ACC,0.00044
ANGEL2,ACC,0.00035
ANGPT1,ACC,0.49
ANGPTL3,ACC,0.28
ANGPTL5,ACC,0.75
ANK3,ACC,0.00012
ANKAR,ACC,0.09
ANKFY1,ACC,0.68
ANKHD1,ACC,0.23
ANKHD1-EIF4EBP3,ACC,0.88
ANKIB1,ACC,0.9
ANKLE2,ACC,0.15
ANKMY2,ACC,0.98
ANKRA2,ACC,0.49
ANKRD1,ACC,0.24
ANKRD11,ACC,0.0062
ANKRD17,ACC,0.082
ANKRD18A,ACC,0.002
ANKRD22,ACC,0.76
ANKRD23,ACC,0.0082
ANKRD28,ACC,0.36
ANKRD31,ACC,0.68
ANKRD32,ACC,0.83
ANKRD36,ACC,0.00059
ANKRD40,ACC,0.49
ANKRD42,ACC,0.68
ANKRD49,ACC,0.24
ANKRD50,ACC,0.36
ANKRD52,ACC,0.81
ANKRD54,ACC,0.31
ANKRD6,ACC,0.92
ANKRD65,ACC,0.94
ANKRD7,ACC,0.038
ANLN,ACC,8.3e-05
ANO1,ACC,0.49
ANO3,ACC,0.62
ANP32A,ACC,0.0023
ANP32B,ACC,6.9e-06
ANP32E,ACC,0.00011
ANTXR1,ACC,0.085
ANTXR2,ACC,0.22
ANTXRL,ACC,1.0
ANXA1,ACC,0.23
ANXA13,ACC,0.81
ANXA2,ACC,0.46
ANXA2R,ACC,0.00079
ANXA3,ACC,0.8
ANXA8,ACC,0.53
AOAH,ACC,0.94
AP1AR,ACC,0.76
AP1B1,ACC,0.088
AP1G1,ACC,0.15
AP1M2,ACC,0.033
AP1S2,ACC,0.34
AP2A1,ACC,0.6
AP2B1,ACC,0.77
AP2M1,ACC,0.34
AP2S1,ACC,0.0035
AP3B1,ACC,0.47
AP3M1,ACC,0.052
AP3M2,ACC,0.23
AP3S1,ACC,0.098
AP4S1,ACC,0.13
AP5M1,ACC,0.66
APBA1,ACC,0.76
APBA2,ACC,0.34
APBB1IP,ACC,0.094
APC,ACC,0.92
APC2,ACC,0.11
APEX1,ACC,0.014
APEX2,ACC,0.19
APH1A,ACC,0.15
APH1B,ACC,0.13
API5,ACC,0.92
APIP,ACC,0.079
APITD1,ACC,0.67
APITD1-CORT,ACC,0.036
APLP1,ACC,0.53
APLP2,ACC,0.05
APMAP,ACC,0.99
APOBEC3A,ACC,0.2
APOBEC3D,ACC,0.033
APOC2,ACC,0.019
APOE,ACC,0.058
APOL2,ACC,0.85
APOOL,ACC,0.0034
APPBP2,ACC,0.73
APPL2,ACC,0.097
APRT,ACC,0.13
APTX,ACC,0.095
AQP1,ACC,0.81
AQP7,ACC,0.18
AQP9,ACC,0.064
AQR,ACC,0.064
AR,ACC,0.016
ARAP1,ACC,0.79
ARAP2,ACC,0.88
ARCN1,ACC,0.058
ARF1,ACC,0.0062
ARF3,ACC,0.62
ARF4,ACC,0.02
ARF6,ACC,0.14
ARFGAP1,ACC,0.11
ARFGEF1,ACC,0.83
ARFIP1,ACC,0.85
ARFRP1,ACC,0.7
ARGLU1,ACC,0.009
ARHGAP1,ACC,0.011
ARHGAP11A,ACC,0.0014
ARHGAP11B,ACC,5.2e-05
ARHGAP19,ACC,0.01
ARHGAP21,ACC,0.9
ARHGAP24,ACC,0.094
ARHGAP26,ACC,0.32
ARHGAP29,ACC,0.51
ARHGAP30,ACC,0.38
ARHGAP35,ACC,0.012
ARHGAP5,ACC,0.75
ARHGAP6,ACC,0.75
ARHGAP8,ACC,0.037
ARHGDIB,ACC,0.59
