gene,cancer,logrank_p
AURKA,LUAD,0.047
AURKB,LUAD,0.0022
BIRC5,LUAD,0.00022
BUB1,LUAD,0.0024
BUB1B,LUAD,3.8e-05
C12orf45,LUAD,0.0011
CCNA2,LUAD,1.6e-05
CCNB1,LUAD,9.4e-05
CCT3,LUAD,0.0024
CCT5,LUAD,0.015
CDC20,LUAD,0.0094
CDC45,LUAD,0.0032
CDC6,LUAD,0.0049
CDCA5,LUAD,0.0056
CDCA8,LUAD,0.0026
CDK1,LUAD,2.6e-05
CDT1,LUAD,0.0019
CENPI,LUAD,0.014
CENPK,LUAD,0.00039
CENPL,LUAD,0.009
CENPM,LUAD,0.0029
CENPN,LUAD,0.00016
CENPW,LUAD,0.019
CHAF1B,LUAD,0.0092
CHEK1,LUAD,0.00062
CLSPN,LUAD,0.0063
DHFR,LUAD,0.04
DTL,LUAD,0.0016
DTYMK,LUAD,0.00057
GEMIN6,LUAD,0.014
GINS1,LUAD,0.011
GINS2,LUAD,0.029
HJURP,LUAD,8.8e-05
HMGA1,LUAD,0.0014
KIF11,LUAD,0.00048
KIF23,LUAD,0.00024
KIF4A,LUAD,0.00092
MAD2L1,LUAD,0.0014
MCM10,LUAD,0.0054
MCM2,LUAD,0.02
MCM4,LUAD,0.0008
NCAPG,LUAD,0.002
NCAPG2,LUAD,0.0063
NCAPH,LUAD,0.0042
NDC80,LUAD,0.0027
NUF2,LUAD,0.0018
OGT,LUAD,0.0065
ORC6,LUAD,0.03
PKMYT1,LUAD,8e-06
PLK1,LUAD,5.6e-05
PLK4,LUAD,0.00032
POLE2,LUAD,0.0016
PRC1,LUAD,0.0012
PSMG3,LUAD,0.035
RAD51,LUAD,0.0026
RCC1,LUAD,0.037
RPP40,LUAD,0.034
RRM2,LUAD,1.5e-05
SGOL1,LUAD,0.00042
SKA1,LUAD,0.00043
SNRPD1,LUAD,0.007
SNRPE,LUAD,0.00027
SPC24,LUAD,0.00043
SPC25,LUAD,0.0011
THOC3,LUAD,0.017
TONSL,LUAD,0.014
TOP2A,LUAD,0.011
TPX2,LUAD,0.0013
TTK,LUAD,0.00029
TUBA1C,LUAD,3.8e-05
UBE2S,LUAD,0.0011
WDHD1,LUAD,0.001
