gene,cancer,logrank_p
AAMP,PAAD,0.2
AATF,PAAD,0.044
ABCB7,PAAD,0.7
ABCF1,PAAD,0.54
ABT1,PAAD,0.65
ACTB,PAAD,0.19
ACTG1,PAAD,0.13
ACTL6A,PAAD,0.00072
ACTR10,PAAD,0.35
ACTR2,PAAD,0.25
ADSS,PAAD,0.01
AFG3L2,PAAD,0.11
AHCTF1,PAAD,0.23
AK6,PAAD,0.73
AKIRIN2,PAAD,0.34
ALDOA,PAAD,0.01
ALG1,PAAD,0.94
ALG11,PAAD,0.74
ALG1L,PAAD,0.93
ALYREF,PAAD,0.55
ANAPC10,PAAD,0.21
ANAPC11,PAAD,0.26
ANKLE2,PAAD,0.95
AP1S2,PAAD,0.35
AQR,PAAD,0.099
ARCN1,PAAD,0.16
ARF4,PAAD,0.13
ARIH1,PAAD,0.26
ARL2,PAAD,0.11
ARMC7,PAAD,0.97
ARPC3,PAAD,0.058
ARPC4,PAAD,0.47
ATP1A1,PAAD,0.82
ATP2A2,PAAD,0.7
ATP5L,PAAD,0.34
ATP6AP2,PAAD,0.65
ATP6V0B,PAAD,0.35
ATP6V0C,PAAD,0.48
ATP6V0D1,PAAD,0.044
ATP6V1A,PAAD,0.92
ATP6V1B2,PAAD,0.013
ATP6V1C1,PAAD,0.24
ATP6V1D,PAAD,0.74
ATP6V1E1,PAAD,0.18
ATP6V1F,PAAD,0.76
ATP6V1G1,PAAD,0.99
ATP6V1H,PAAD,0.78
ATXN10,PAAD,0.22
AURKA,PAAD,0.0059
AURKB,PAAD,0.17
BANF1,PAAD,0.085
BANP,PAAD,0.035
BCAS2,PAAD,0.2
BCCIP,PAAD,0.12
BCL2L1,PAAD,0.0005
BIRC5,PAAD,0.075
BMS1,PAAD,0.34
BRF2,PAAD,0.48
BRIX1,PAAD,0.14
BUB1,PAAD,0.0033
BUB1B,PAAD,0.0026
BUB3,PAAD,0.024
BUD13,PAAD,0.43
BUD31,PAAD,0.49
BYSL,PAAD,0.69
C21orf59,PAAD,0.91
C9orf114,PAAD,0.46
CAPZB,PAAD,0.28
CARS,PAAD,0.26
CASC5,PAAD,0.0022
CCDC59,PAAD,0.7
CCNA2,PAAD,0.0047
CCNB1,PAAD,0.011
CCND1,PAAD,0.017
CCNH,PAAD,0.27
CCNK,PAAD,0.1
CCT2,PAAD,0.27
CCT3,PAAD,0.48
CCT5,PAAD,0.064
CCT6A,PAAD,0.079
CCT7,PAAD,0.29
CDC123,PAAD,0.46
CDC20,PAAD,0.063
CDC23,PAAD,0.45
CDC26,PAAD,0.97
CDC27,PAAD,0.54
CDC37,PAAD,0.72
CDC42,PAAD,0.69
CDC45,PAAD,0.018
CDC6,PAAD,0.008
CDCA8,PAAD,0.046
CDK1,PAAD,0.0006
CDK7,PAAD,0.048
CENPE,PAAD,0.00036
CENPK,PAAD,0.022
CENPL,PAAD,0.0049
CENPM,PAAD,0.048
CENPN,PAAD,0.00073
CLNS1A,PAAD,0.0044
COPS2,PAAD,0.0065
COPS5,PAAD,0.027
CPSF6,PAAD,0.024
CRCP,PAAD,0.03
DAD1,PAAD,0.045
DARS,PAAD,0.0081
DBF4,PAAD,0.012
DCTN3,PAAD,0.0055
DDX10,PAAD,0.018
DDX21,PAAD,0.0089
DHFR,PAAD,0.042
DIEXF,PAAD,0.00021
DR1,PAAD,0.026
DROSHA,PAAD,0.047
DTYMK,PAAD,0.011
ECT2,PAAD,0.005
EIF1AD,PAAD,0.0067
EIF1AX,PAAD,0.029
EIF2S1,PAAD,0.026
EIF2S2,PAAD,0.0076
EIF3M,PAAD,0.0024
EIF6,PAAD,0.025
ELL,PAAD,0.047
GINS4,PAAD,0.019
GMNN,PAAD,0.0028
GMPS,PAAD,0.00041
GNL2,PAAD,0.018
GTF2B,PAAD,0.041
HAUS2,PAAD,0.026
HCFC1,PAAD,0.00089
HIST1H2BC,PAAD,0.0069
HIST1H2BD,PAAD,0.025
HJURP,PAAD,0.0044
HMGA1,PAAD,0.039
HNRNPC,PAAD,0.0058
HNRNPL,PAAD,0.023
INCENP,PAAD,0.0044
INTS1,PAAD,0.031
IPO13,PAAD,0.0036
ISCU,PAAD,0.0021
KANSL2,PAAD,0.026
KARS,PAAD,0.047
KIF11,PAAD,0.0017
KIF23,PAAD,0.0029
KIF4A,PAAD,0.017
KRAS,PAAD,0.013
LDHA,PAAD,0.0002
LIN52,PAAD,0.029
LLPH,PAAD,0.04
LSM10,PAAD,0.012
LSM3,PAAD,0.046
LSM5,PAAD,0.02
MAD2L1,PAAD,0.021
MAGOH,PAAD,0.047
MASTL,PAAD,0.00019
MCM2,PAAD,0.047
MCM4,PAAD,0.012
MED30,PAAD,0.00072
METTL16,PAAD,0.0003
MRPL34,PAAD,0.016
MRPS10,PAAD,0.0048
MZT1,PAAD,0.017
NAA15,PAAD,0.037
NAA38,PAAD,0.004
NAA50,PAAD,0.0013
NAPG,PAAD,0.019
NCAPG,PAAD,0.00067
NCAPG2,PAAD,0.012
NCAPH,PAAD,0.00046
NCBP2,PAAD,0.024
NDC80,PAAD,0.029
NDE1,PAAD,0.023
NIP7,PAAD,0.011
NMD3,PAAD,0.0033
NOL12,PAAD,0.021
NOP10,PAAD,0.032
NPAT,PAAD,0.044
NPLOC4,PAAD,0.0087
NRF1,PAAD,0.0054
NUDT21,PAAD,0.032
NUF2,PAAD,0.011
NUP155,PAAD,0.013
NUP214,PAAD,0.0041
OPA1,PAAD,0.0025
ORC6,PAAD,0.027
PABPC1,PAAD,0.025
PHF5A,PAAD,0.0084
PKM,PAAD,0.0097
PKMYT1,PAAD,0.033
PLK1,PAAD,0.0077
PNO1,PAAD,0.024
POLA2,PAAD,0.023
POLE2,PAAD,0.021
POLR2D,PAAD,0.021
POMP,PAAD,0.021
PPIA,PAAD,0.0047
PPP1CB,PAAD,0.012
PRC1,PAAD,0.0013
PRMT5,PAAD,0.013
PRPF40A,PAAD,0.036
PRPF6,PAAD,0.0074
PRPF8,PAAD,0.00037
PRR13,PAAD,0.041
PSMA3,PAAD,0.041
PSMA5,PAAD,0.032
