,,,,,
A2M,ENSG00000175899.14,183.787,28.300,2.657,4.39e-74
A4GALT,ENSG00000128274.15,17.140,2.200,2.503,5.80e-72
AACS,ENSG00000081760.16,15.640,6.740,1.104,8.78e-54
AADAC,ENSG00000114771.13,4.320,10.680,-1.135,2.93e-11
AAED1,ENSG00000158122.11,7.500,2.080,1.465,9.32e-74
AAGAB,ENSG00000103591.12,24.920,7.610,1.590,2.69e-91
AAMDC,ENSG00000087884.14,42.739,12.780,1.666,7.66e-84
AAMP,ENSG00000127837.9,105.917,34.951,1.572,4.64e-77
AAR2,ENSG00000131043.11,23.610,6.820,1.654,2.90e-95
AASS,ENSG00000008311.14,2.850,9.270,-1.415,4.51e-44
AATF,ENSG00000275700.4,38.239,14.080,1.380,1.07e-66
ABAT,ENSG00000183044.11,6.340,16.710,-1.271,4.10e-20
ABC7-42404400C24.1,ENSG00000277758.4,0.170,1.490,-1.090,5.86e-63
ABCA1,ENSG00000165029.15,4.220,1.430,1.103,1.85e-31
ABCA2,ENSG00000107331.16,27.500,11.580,1.180,4.01e-38
ABCA5,ENSG00000154265.15,7.370,22.880,-1.512,2.54e-50
ABCB1,ENSG00000085563.14,6.290,1.130,1.775,9.19e-47
ABCB10,ENSG00000135776.4,6.340,2.460,1.085,8.14e-60
ABCB4,ENSG00000005471.15,1.210,0.050,1.074,2.01e-54
ABCB6,ENSG00000115657.12,15.620,5.350,1.388,8.14e-63
ABCB7,ENSG00000131269.15,9.760,4.320,1.016,8.77e-59
ABCB8,ENSG00000197150.12,18.840,7.230,1.269,8.70e-62
ABCB9,ENSG00000150967.17,4.540,1.260,1.294,5.74e-71
ABCC1,ENSG00000103222.18,14.650,3.980,1.652,1.06e-73
ABCC4,ENSG00000125257.13,2.980,0.760,1.177,1.35e-53
ABCC5,ENSG00000114770.16,10.890,4.720,1.056,6.36e-33
ABCC6,ENSG00000091262.14,3.270,7.650,-1.018,1.02e-31
ABCD4,ENSG00000119688.20,36.839,16.999,1.072,4.29e-35
ABCF1,ENSG00000204574.12,32.599,13.650,1.198,3.56e-60
ABCF2,ENSG00000033050.7,20.201,6.500,1.499,1.37e-77
ABCG1,ENSG00000160179.18,16.660,1.210,2.998,5.46e-113
ABHD11-AS1,ENSG00000225969.1,10.200,1.070,2.436,9.64e-55
ABHD13,ENSG00000139826.5,4.950,1.420,1.298,2.35e-90
ABHD14A,ENSG00000248487.8,20.100,8.290,1.184,4.28e-53
ABHD14B,ENSG00000114779.19,54.761,26.339,1.028,1.20e-47
ABHD15,ENSG00000168792.4,8.360,2.950,1.245,3.29e-54
ABHD16A,ENSG00000204427.11,41.020,16.420,1.270,1.89e-58
ABHD17A,ENSG00000129968.15,39.461,18.880,1.025,3.27e-22
ABHD17B,ENSG00000107362.13,6.620,2.220,1.243,5.22e-66
ABHD17C,ENSG00000136379.11,35.111,2.480,3.375,8.09e-110
ABHD2,ENSG00000140526.16,47.500,13.680,1.724,7.70e-56
ABHD3,ENSG00000158201.9,17.019,5.200,1.539,4.83e-61
ABHD4,ENSG00000100439.10,22.221,6.380,1.654,4.78e-78
ABHD6,ENSG00000163686.13,4.420,0.990,1.446,2.13e-75
ABI1,ENSG00000136754.16,28.541,7.010,1.883,2.85e-86
ABI2,ENSG00000138443.15,15.470,3.100,2.006,1.90e-89
ABI3,ENSG00000108798.8,10.110,1.390,2.217,9.18e-70
ABI3BP,ENSG00000154175.16,12.850,2.500,1.984,5.07e-44
ABL1,ENSG00000097007.17,23.620,8.120,1.433,1.40e-53
ABL2,ENSG00000143322.19,4.800,1.620,1.146,6.12e-57
ABLIM1,ENSG00000099204.18,31.600,8.390,1.796,2.17e-66
ABLIM2,ENSG00000163995.18,8.280,2.010,1.624,7.03e-52
ABLIM3,ENSG00000173210.19,15.770,1.150,2.963,6.07e-96
ABR,ENSG00000159842.14,41.920,9.110,2.086,1.35e-81
ABRACL,ENSG00000146386.7,45.351,5.660,2.799,1.73e-95
ABT1,ENSG00000146109.4,10.850,3.580,1.371,1.03e-94
ABTB1,ENSG00000114626.17,32.110,12.620,1.282,8.29e-41
ABTB2,ENSG00000166016.5,4.570,0.800,1.630,1.59e-65
AC000089.3,ENSG00000235776.2,2.440,0.340,1.360,4.30e-108
AC000111.4,ENSG00000237974.1,0.000,1.180,-1.124,1.39e-27
AC002398.12,ENSG00000267328.1,3.360,0.550,1.492,5.86e-25
AC002398.9,ENSG00000188223.9,6.050,1.620,1.428,5.45e-76
AC002467.7,ENSG00000241764.3,2.930,0.900,1.049,3.93e-64
AC005152.3,ENSG00000228639.6,0.320,4.910,-2.163,4.87e-61
AC005255.3,ENSG00000256210.3,5.780,0.000,2.761,1.23e-97
AC005339.2,ENSG00000268565.1,5.630,0.470,2.173,2.33e-81
AC005355.2,ENSG00000251169.2,2.540,0.210,1.549,4.44e-76
AC005562.1,ENSG00000214719.11,3.900,1.380,1.042,8.22e-69
AC005786.7,ENSG00000267436.1,8.190,0.260,2.867,4.28e-48
AC005943.2,ENSG00000267059.2,4.190,0.000,2.376,2.47e-29
AC005943.6,ENSG00000279009.1,5.180,0.000,2.628,1.74e-18
AC005944.2,ENSG00000267469.1,19.401,2.320,2.619,1.28e-61
AC006011.4,ENSG00000244563.1,8.350,2.310,1.498,2.02e-52
AC007192.6,ENSG00000269145.2,6.750,2.470,1.159,1.13e-25
AC007229.3,ENSG00000267544.1,1.680,0.180,1.183,3.24e-91
