,,,,,
ABAT,ENSG00000183044.11,4.370,22.650,-2.139,1.86e-48
ABCA1,ENSG00000165029.15,11.660,3.680,1.436,3.69e-45
ABCA8,ENSG00000141338.13,1.310,5.354,-1.460,2.90e-28
ABCB1,ENSG00000085563.14,13.890,39.091,-1.429,2.61e-15
ABCB4,ENSG00000005471.15,2.020,0.405,1.104,1.32e-25
ABCB6,ENSG00000115657.12,34.040,11.940,1.437,1.79e-41
ABCC3,ENSG00000108846.15,51.360,8.465,2.468,7.51e-52
ABCG1,ENSG00000160179.18,27.389,8.928,1.516,1.57e-49
ABHD11-AS1,ENSG00000225969.1,2.650,0.550,1.236,2.60e-29
ABHD17C,ENSG00000136379.11,3.720,15.182,-1.778,8.12e-62
ABI3,ENSG00000108798.8,19.590,7.360,1.300,6.40e-37
ABLIM3,ENSG00000173210.19,37.491,8.295,2.050,1.27e-45
ABO,ENSG00000175164.13,2.870,7.984,-1.215,3.43e-9
ABTB2,ENSG00000166016.5,2.120,8.965,-1.675,3.55e-43
AC002398.12,ENSG00000267328.1,0.720,3.225,-1.297,6.35e-16
AC004540.4,ENSG00000225792.1,2.790,8.805,-1.371,2.52e-26
AC005082.12,ENSG00000226816.2,0.240,4.440,-2.133,6.81e-71
AC005281.2,ENSG00000225606.1,0.070,1.300,-1.104,7.12e-71
AC005355.2,ENSG00000251169.2,3.210,0.800,1.226,1.77e-30
AC007009.1,ENSG00000244239.1,0.620,3.345,-1.423,2.05e-58
AC007283.5,ENSG00000234431.2,4.950,1.495,1.254,3.76e-40
AC007326.9,ENSG00000271275.1,1.420,0.000,1.275,5.48e-32
AC007620.3,ENSG00000242539.2,6.230,2.525,1.036,4.08e-18
AC009014.3,ENSG00000271824.1,3.380,16.120,-1.967,1.58e-15
AC013463.2,ENSG00000236283.3,0.310,8.325,-2.832,1.56e-109
AC019117.1,ENSG00000236318.1,7.520,0.125,2.921,2.22e-22
AC019181.2,ENSG00000233255.1,0.120,5.435,-2.522,3.39e-116
AC021066.1,ENSG00000281415.1,0.000,55.274,-5.814,1.77e-40
AC026471.6,ENSG00000260740.2,0.130,1.385,-1.077,7.59e-53
